,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
OG0,270.0,371.0,180.0,288.0,304.0,261.0,352.0,263.0,329.0,276.0,98.0,333.0,738.0,584.0,530.0,44.0,41.0,70.0
OG1,9.0,7.0,5.0,10.0,10.0,3.0,12.0,9.0,8.0,12.0,4.0,6.0,9.0,9.0,3.0,6.0,7.0,8.0
OG2,268.0,366.0,283.0,200.0,176.0,229.0,97.0,72.0,96.0,551.0,166.0,574.0,190.0,631.0,770.0,514.0,357.0,788.0
OG3,12.0,13.0,18.0,5.0,18.0,12.0,13.0,5.0,9.0,16.0,3.0,20.0,11.0,22.0,8.0,8.0,5.0,16.0
OG4,13.0,19.0,7.0,18.0,9.0,6.0,25.0,12.0,14.0,0.0,0.0,0.0,18.0,18.0,24.0,5.0,5.0,5.0
OG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG6,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
OG7,40.0,43.0,31.0,29.0,51.0,29.0,56.0,46.0,43.0,0.0,0.0,1.0,45.0,64.0,37.0,26.0,17.0,22.0
OG8,319.0,488.0,433.0,458.0,415.0,313.0,40.0,30.0,36.0,916.0,260.0,1075.0,666.0,1745.0,1418.0,618.0,549.0,958.0
OG9,3.0,3.0,7.0,4.0,3.0,0.0,2.0,0.0,1.0,4.0,3.0,5.0,4.0,3.0,4.0,0.0,0.0,1.0
OG10,20.0,20.0,13.0,18.0,16.0,13.0,33.0,21.0,33.0,27.0,7.0,43.0,50.0,49.0,36.0,0.0,0.0,0.0
OG11,14.0,25.0,18.0,18.0,12.0,8.0,4.0,7.0,4.0,26.0,8.0,40.0,4.0,12.0,13.0,0.0,0.0,0.0
OG12,4.0,9.0,2.0,3.0,7.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,10.0,9.0,8.0,5.0,0.0,9.0
OG13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG14,160.0,149.0,83.0,406.0,384.0,229.0,280.0,207.0,297.0,157.0,99.0,161.0,220.0,228.0,250.0,156.0,173.0,195.0
OG15,59.0,87.0,61.0,127.0,97.0,62.0,100.0,87.0,135.0,77.0,20.0,52.0,87.0,151.0,200.0,84.0,87.0,130.0
OG16,1.0,1.0,3.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
OG17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG18,22.0,16.0,10.0,17.0,17.0,13.0,7.0,5.0,7.0,22.0,7.0,22.0,13.0,37.0,24.0,10.0,14.0,29.0
OG19,32.0,47.0,39.0,31.0,55.0,30.0,58.0,25.0,45.0,2.0,0.0,0.0,59.0,73.0,58.0,25.0,5.0,36.0
OG20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG21,110.0,147.0,82.0,70.0,122.0,59.0,209.0,108.0,181.0,60.0,24.0,97.0,99.0,90.0,71.0,74.0,63.0,114.0
OG22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OG23,22.0,12.0,5.0,18.0,15.0,12.0,16.0,10.0,25.0,10.0,7.0,17.0,10.0,5.0,6.0,12.0,7.0,8.0
OG24,13.0,8.0,6.0,5.0,24.0,5.0,18.0,15.0,21.0,0.0,0.0,1.0,32.0,29.0,16.0,7.0,6.0,17.0
OG25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0
OG26,514.0,723.0,526.0,841.0,820.0,622.0,711.0,567.0,737.0,869.0,332.0,938.0,781.0,1375.0,1404.0,585.0,610.0,941.0
OG27,39.0,35.0,32.0,85.0,95.0,60.0,77.0,61.0,85.0,49.0,11.0,51.0,19.0,10.0,12.0,21.0,20.0,28.0
