0,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
NLANBGKA_00001,240,396,12,0,0,0,25,225,74,247,64,25,964,118,87,4,8,14
NLANBGKA_00002,51,96,10,0,0,0,5,66,25,54,15,8,273,27,25,1,0,4
NLANBGKA_00003,89,221,16,0,0,0,19,165,33,124,25,12,560,88,54,2,3,12
NLANBGKA_00004,148,275,14,0,0,0,17,216,57,200,29,30,880,107,67,3,2,17
NLANBGKA_00005,545,1003,76,0,0,0,59,595,165,634,166,88,3449,422,313,17,24,66
NLANBGKA_00006,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
NLANBGKA_00007,68,86,7,0,0,0,6,18,13,30,7,14,87,17,10,0,0,2
NLANBGKA_00008,25,38,4,0,0,0,2,6,1,8,3,3,47,4,3,2,0,1
NLANBGKA_00009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NLANBGKA_00010,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NLANBGKA_00011,2,1,0,0,0,0,0,0,1,5,0,0,1,1,1,0,0,0
NLANBGKA_00012,883,1274,69,0,0,0,42,348,101,465,69,94,1375,206,213,15,19,63
NLANBGKA_00013,208,300,12,0,0,0,11,81,23,109,24,22,382,41,45,2,6,16
NLANBGKA_00014,9635,13813,749,1,0,0,436,3613,1146,4890,818,930,13803,1560,1598,120,224,602
NLANBGKA_00015,5184,7624,438,0,0,0,273,2110,654,2818,527,618,9700,1126,1164,76,113,334
NLANBGKA_00016,216,341,22,0,0,0,11,79,28,117,22,27,408,43,47,5,6,7
NLANBGKA_00017,533,904,49,0,0,0,41,249,111,351,56,55,828,136,159,6,22,52
NLANBGKA_00018,732,1060,49,0,0,0,31,244,99,389,84,82,1026,147,208,14,32,83
NLANBGKA_00019,562,863,58,0,0,0,33,233,68,306,54,58,883,98,149,16,16,33
NLANBGKA_00020,692,1226,75,0,0,0,34,275,82,382,90,81,1451,195,192,7,22,36
NLANBGKA_00021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NLANBGKA_00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLANBGKA_00023,12,20,0,0,0,0,0,2,4,4,1,1,19,2,0,0,1,0
NLANBGKA_00024,1,2,1,0,0,0,0,1,1,2,0,1,3,0,0,0,0,0
NLANBGKA_00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLANBGKA_00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLANBGKA_00027,1195,1480,85,0,0,0,55,499,191,700,102,121,1613,220,385,37,56,137
NLANBGKA_00028,2,6,0,0,0,0,2,1,1,2,1,0,2,0,3,0,0,1
NLANBGKA_00029,1831,2570,121,0,0,0,64,562,150,886,172,156,1716,256,292,20,44,130
NLANBGKA_00030,494,677,42,0,0,0,12,199,54,271,68,40,561,89,69,12,17,33
NLANBGKA_00031,400,472,23,0,0,0,21,146,49,168,27,43,404,64,54,7,10,34
NLANBGKA_00032,147,251,16,0,0,0,7,49,12,61,16,19,184,20,14,2,2,6
NLANBGKA_00035,222,286,17,0,0,0,11,97,25,108,16,27,225,41,34,6,3,21
NLANBGKA_00036,183,297,9,0,0,0,7,88,28,125,39,14,185,37,38,2,7,21
NLANBGKA_00037,64,130,9,0,0,0,3,35,6,36,6,6,93,9,9,0,0,7
NLANBGKA_00038,1127,1529,94,0,0,0,55,432,132,599,92,96,1461,209,215,22,41,104
NLANBGKA_00039,756,1128,59,0,0,1,24,286,96,378,73,75,967,120,131,8,16,67
NLANBGKA_00040,335,542,22,0,0,0,20,139,39,207,40,31,386,53,59,9,8,30
NLANBGKA_00041,106,147,11,0,0,0,4,44,12,50,11,10,99,23,11,0,5,12
NLANBGKA_00042,494,786,32,0,0,0,22,188,59,288,63,56,459,66,67,10,16,49
NLANBGKA_00043,42,64,3,0,0,0,0,18,8,29,5,2,85,12,14,1,3,4
NLANBGKA_00044,464,575,31,0,0,0,19,145,43,239,32,48,901,125,107,6,19,32
NLANBGKA_00045,2023,2640,152,0,0,0,105,667,164,1013,206,205,2520,427,300,32,57,128
NLANBGKA_00046,445,643,31,0,0,0,28,146,34,185,47,40,618,67,81,5,11,24
NLANBGKA_00047,370,500,32,0,0,0,11,126,42,186,45,36,517,69,73,5,6,31
NLANBGKA_00048,724,820,45,0,0,0,37,251,79,409,78,55,1145,189,230,13,29,65
NLANBGKA_00049,1369,2035,120,0,0,0,63,533,190,786,131,156,2077,357,456,28,57,129
NLANBGKA_00050,1133,1844,93,0,0,1,54,488,176,664,129,124,1630,257,450,21,39,142
NLANBGKA_00051,56,81,10,0,0,0,10,45,19,42,10,15,228,47,38,6,7,19
NLANBGKA_00052,99,157,14,0,0,0,15,84,31,71,15,21,525,66,72,3,10,45
NLANBGKA_00053,74,93,14,0,0,0,9,62,24,44,12,11,313,39,45,3,6,14
NLANBGKA_00054,64,110,8,0,0,0,20,54,25,39,12,13,428,69,66,3,13,27
NLANBGKA_00055,29,52,3,0,0,0,9,34,16,40,5,11,243,37,60,6,4,12
NLANBGKA_00056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NLANBGKA_00057,2,1,0,0,0,0,1,0,0,0,0,0,11,3,0,0,0,0
NLANBGKA_00058,2,3,1,0,0,0,0,1,2,3,0,2,28,5,1,0,0,0
NLANBGKA_00059,1,3,2,0,0,0,0,2,0,0,0,0,12,0,1,0,0,0
NLANBGKA_00060,242,301,20,0,0,0,10,85,29,108,21,15,373,35,39,3,9,9
NLANBGKA_00061,187,224,14,0,0,0,6,73,13,90,23,20,302,32,43,0,5,9
NLANBGKA_00062,616,974,35,0,0,0,30,248,46,264,57,55,1037,132,102,4,4,23
NLANBGKA_00063,209,385,18,0,0,0,12,100,28,137,17,19,373,38,42,1,6,8
NLANBGKA_00064,197,392,15,0,0,0,8,83,31,114,18,20,456,35,50,0,2,22
NLANBGKA_00065,30,44,2,0,0,0,2,8,5,12,5,6,108,8,5,0,0,0
NLANBGKA_00066,28,21,0,0,0,0,1,9,0,5,3,4,82,13,9,0,0,1
NLANBGKA_00067,784,1088,60,0,0,0,31,305,117,420,80,79,1475,170,351,19,39,84
NLANBGKA_00068,1427,1810,86,0,0,0,52,481,149,625,118,112,2082,229,289,11,49,95
NLANBGKA_00069,752,1181,58,0,0,1,31,303,95,416,74,70,1644,198,348,19,35,75
NLANBGKA_00070,436,585,22,0,0,0,12,112,43,211,32,31,510,51,37,8,7,25
NLANBGKA_00071,335,422,15,0,0,0,14,111,36,168,27,34,499,48,44,8,3,16
NLANBGKA_00072,200,278,15,0,0,0,13,74,18,94,15,19,374,40,47,2,2,15
NLANBGKA_00073,39,75,3,0,0,0,0,18,8,20,1,6,84,9,10,0,1,2
NLANBGKA_00074,46,36,1,0,0,0,1,15,7,33,4,9,52,10,11,1,5,9
NLANBGKA_00075,1863,2738,100,0,0,0,86,657,194,938,175,169,2209,242,252,15,40,126
NLANBGKA_00076,489,793,51,0,0,0,31,190,48,253,37,51,549,89,56,3,12,31
NLANBGKA_00077,203,398,16,0,0,0,9,90,19,141,21,30,237,42,15,4,4,10
NLANBGKA_00078,544,677,32,0,0,0,14,191,50,241,32,46,735,95,105,7,18,37
NLANBGKA_00079,422,817,38,0,0,0,22,188,35,240,52,53,588,65,75,6,8,29
NLANBGKA_00080,1029,1457,75,0,0,0,36,367,118,560,121,107,1426,142,121,11,16,51
NLANBGKA_00081,477,732,34,0,0,0,23,181,40,257,66,51,761,94,81,9,10,21
NLANBGKA_00082,521,821,44,0,0,0,17,205,51,268,54,43,1561,149,174,8,13,41
NLANBGKA_00083,929,1616,83,0,0,0,50,329,99,509,117,83,2266,296,214,16,21,58
NLANBGKA_00084,57,89,3,0,0,0,7,23,8,27,6,7,96,16,17,3,2,8
NLANBGKA_00085,1,3,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0
NLANBGKA_00086,6023,8655,462,0,0,0,293,2388,750,3085,599,553,14738,1750,2063,119,228,664
NLANBGKA_00087,21986,29583,1551,1,1,0,845,7098,2035,10000,1660,1785,37234,4149,4745,237,515,1445
NLANBGKA_00088,1214,1673,90,0,0,0,61,471,130,609,118,144,2664,247,297,14,24,64
NLANBGKA_00089,154,174,10,0,0,0,22,64,21,72,21,13,228,22,47,3,8,22
NLANBGKA_00090,64,135,5,0,0,0,6,27,16,31,9,17,154,22,20,0,1,11
NLANBGKA_00091,138,176,15,0,0,0,15,72,23,69,9,25,139,23,31,3,3,12
NLANBGKA_00092,28,30,0,0,0,0,1,9,3,10,2,1,54,7,6,0,1,1
NLANBGKA_00093,1172,1897,90,0,0,0,59,529,182,733,165,104,2614,293,477,20,48,139
NLANBGKA_00094,257,363,29,0,0,0,14,117,31,125,28,34,670,78,87,4,4,22
NLANBGKA_00095,5,2,0,0,0,0,0,0,1,3,0,0,10,1,0,0,0,0
NLANBGKA_00096,37,57,0,0,0,0,3,15,3,14,4,8,60,6,6,2,2,4
NLANBGKA_00097,7,11,0,0,0,0,1,3,1,2,1,0,13,4,2,0,0,1
NLANBGKA_00098,359,599,21,0,0,0,16,137,51,162,39,27,637,86,100,7,10,33
NLANBGKA_00099,45,59,1,0,0,0,2,17,8,23,3,7,110,12,8,0,1,2
NLANBGKA_00100,199,334,17,0,0,0,11,76,22,117,30,19,322,35,34,9,5,17
NLANBGKA_00101,1072,1537,80,0,0,0,51,401,154,592,119,108,1805,227,239,22,42,118
NLANBGKA_00102,5484,8376,492,0,1,0,240,2145,779,2974,675,561,14585,1755,3402,115,244,663
NLANBGKA_00103,600,799,40,0,0,0,20,233,75,293,55,71,830,106,124,8,24,67
NLANBGKA_00104,101,146,9,0,0,0,7,36,15,54,13,6,187,23,33,5,9,9
NLANBGKA_00105,62,124,16,0,0,0,10,53,17,53,18,8,162,26,9,4,6,19
NLANBGKA_00106,4,15,1,0,0,0,2,4,0,14,1,2,20,3,3,0,0,3
NLANBGKA_00107,2,3,0,0,0,0,1,1,1,4,0,1,6,0,2,0,0,0
NLANBGKA_00108,62,91,3,0,0,0,6,38,16,49,14,5,143,24,16,5,2,22
NLANBGKA_00109,13,12,0,0,0,0,1,6,4,9,0,1,17,2,4,1,1,0
NLANBGKA_00110,2,13,2,0,0,0,1,2,1,6,1,2,13,3,1,1,1,1
NLANBGKA_00111,189,424,20,0,0,0,9,49,24,100,21,29,509,68,90,2,8,15
NLANBGKA_00112,145,380,10,0,0,0,5,46,15,70,14,16,191,16,15,0,0,6
NLANBGKA_00113,3148,4381,264,0,0,0,107,1263,395,1412,285,253,3722,460,532,34,71,245
NLANBGKA_00114,983,1425,87,0,0,0,39,386,105,444,94,64,1287,115,145,9,15,54
NLANBGKA_00115,1789,2683,143,0,0,0,65,810,222,909,143,160,2975,326,349,18,39,106
NLANBGKA_00116,2664,3442,189,0,2,0,100,761,270,1165,198,204,2316,299,364,32,67,215
NLANBGKA_00117,373,400,15,0,0,0,11,101,37,141,30,33,381,50,55,3,8,17
NLANBGKA_00118,815,1232,66,0,1,0,45,358,164,469,105,67,2509,287,422,22,29,114
NLANBGKA_00119,472,819,42,0,0,0,32,252,81,332,70,55,1450,203,202,20,35,81
NLANBGKA_00120,17,32,4,0,0,0,7,13,5,20,3,3,73,20,12,0,2,0
NLANBGKA_00123,4034,5620,315,0,0,0,160,1564,377,2122,399,311,7762,943,834,39,66,255
NLANBGKA_00124,281,278,13,0,0,0,9,56,17,93,18,18,559,53,38,2,3,4
NLANBGKA_00125,657,914,51,0,0,0,34,218,62,290,44,35,944,137,123,8,13,46
NLANBGKA_00126,38,51,5,0,0,0,1,19,7,25,6,7,69,15,8,0,0,2
NLANBGKA_00127,760,1050,46,0,0,0,28,254,62,340,63,69,975,108,121,10,20,47
NLANBGKA_00128,6897,9189,454,0,0,0,289,2653,701,3625,720,648,9243,1355,1028,77,168,574
NLANBGKA_00129,112,140,6,0,0,0,6,72,29,61,14,6,398,66,75,1,16,32
NLANBGKA_00130,218,394,23,0,0,0,10,86,30,126,23,23,508,65,68,3,4,16
NLANBGKA_00131,904,1545,75,0,0,0,64,430,97,476,98,105,1747,224,182,10,24,62
NLANBGKA_00132,325,352,38,0,1,0,16,133,40,208,45,42,720,85,73,6,7,28
NLANBGKA_00133,1076,1514,91,0,0,0,58,511,172,697,117,110,2115,307,298,23,52,124
NLANBGKA_00134,101,159,18,0,0,0,3,56,11,74,17,14,287,49,35,3,1,8
NLANBGKA_00135,3537,5158,254,0,0,0,192,1449,359,1908,418,311,6988,911,809,33,86,293
NLANBGKA_00136,3353,5560,266,0,0,0,164,1516,341,1861,336,338,5723,825,727,44,60,256
NLANBGKA_00137,2707,3484,196,0,1,0,148,1057,274,1391,235,236,4603,596,468,28,48,193
NLANBGKA_00138,2159,3188,149,0,0,0,93,921,259,1030,230,167,3657,446,477,32,47,161
NLANBGKA_00139,481,657,37,0,0,0,22,217,67,333,66,49,1017,120,122,12,17,48
NLANBGKA_00140,155,181,17,0,0,0,3,63,26,70,18,17,282,30,63,1,9,26
NLANBGKA_00141,3241,4487,270,0,0,0,116,1265,366,1577,373,248,5238,680,726,40,68,308
NLANBGKA_00142,1047,1486,83,0,0,0,35,432,135,528,81,110,1753,239,223,14,17,63
NLANBGKA_00143,442,685,40,0,0,0,17,160,57,250,46,42,843,116,178,7,7,40
NLANBGKA_00144,352,467,20,0,0,0,16,145,44,208,37,38,693,99,150,9,15,38
NLANBGKA_00145,13,38,2,0,0,0,0,6,6,14,0,2,101,16,22,0,1,0
NLANBGKA_00146,508,688,41,0,0,0,30,220,59,316,65,57,1181,162,159,10,33,87
NLANBGKA_00147,5,9,0,0,0,0,0,2,1,1,0,0,5,0,4,0,1,0
NLANBGKA_00148,1103,1552,82,0,0,0,56,417,119,551,116,149,1894,257,270,19,51,76
NLANBGKA_00149,966,1854,92,0,0,0,80,495,120,615,118,151,1732,258,195,14,11,59
NLANBGKA_00150,219,279,22,0,0,0,13,86,38,109,17,27,351,57,53,3,8,29
NLANBGKA_00151,903,1181,87,0,0,0,50,400,130,482,76,119,1261,165,228,16,49,107
NLANBGKA_00152,55,68,4,0,0,0,4,29,7,45,6,11,72,7,18,3,2,11
NLANBGKA_00153,676,834,53,0,0,0,37,338,103,352,73,77,1456,219,249,16,25,66
NLANBGKA_00154,197,368,22,0,0,0,6,84,24,112,26,23,367,36,79,2,10,19
NLANBGKA_00155,298,655,28,0,0,0,14,136,22,187,44,50,827,115,151,13,10,20
NLANBGKA_00156,246,353,16,0,0,0,17,97,36,149,26,34,314,57,64,7,6,31
NLANBGKA_00157,284,446,22,0,0,0,17,125,35,192,42,33,419,60,61,9,8,23
NLANBGKA_00158,844,1269,77,0,0,0,48,406,114,434,71,103,1062,181,168,15,16,73
NLANBGKA_00159,253,422,22,0,0,0,20,116,27,126,25,24,338,44,62,6,10,35
NLANBGKA_00160,14,18,0,0,0,0,2,3,4,12,3,2,25,3,1,1,2,2
NLANBGKA_00161,1307,2006,126,0,0,0,124,622,210,863,200,222,3062,550,589,50,131,227
NLANBGKA_00162,507,634,50,0,0,0,51,205,113,384,53,85,1228,179,305,26,56,161
NLANBGKA_00163,208,305,10,0,0,0,6,91,26,106,22,13,242,42,35,5,6,18
NLANBGKA_00164,110,143,6,0,0,0,5,32,13,50,8,11,193,19,24,2,5,11
NLANBGKA_00165,880,1145,59,0,0,0,50,314,98,451,79,80,1322,196,178,15,29,90
NLANBGKA_00166,916,1247,68,0,0,0,55,369,105,540,97,90,1298,171,198,13,40,93
NLANBGKA_00167,663,799,42,0,0,0,26,230,74,328,74,57,862,107,143,13,30,56
NLANBGKA_00168,105,173,9,0,0,0,13,53,12,72,10,13,189,18,28,1,3,11
NLANBGKA_00169,2562,3385,183,0,0,0,93,924,254,1212,199,205,3086,483,447,26,43,133
NLANBGKA_00170,5,5,0,0,0,0,0,3,0,1,0,1,2,1,1,0,0,0
NLANBGKA_00171,6,4,1,0,0,0,0,2,2,3,0,0,3,0,0,0,4,0
NLANBGKA_00172,7079,10286,538,0,0,0,403,3477,1147,4036,718,677,12369,1758,1685,115,201,774
NLANBGKA_00173,80,111,7,0,0,0,1,24,14,44,7,4,158,17,25,1,0,5
NLANBGKA_00174,29,63,4,0,0,0,1,9,5,18,5,3,46,4,2,0,1,3
NLANBGKA_00175,186,251,13,0,0,0,10,67,30,97,15,16,193,36,22,2,8,15
NLANBGKA_00176,131,234,18,0,0,0,3,60,23,77,15,19,162,25,31,4,3,10
NLANBGKA_00177,36,34,2,0,0,0,2,18,6,14,2,1,45,5,6,1,1,2
NLANBGKA_00178,56,103,5,0,0,0,6,18,6,39,9,8,67,16,11,0,0,3
NLANBGKA_00179,668,969,54,0,0,0,35,225,68,338,57,61,1254,175,206,8,21,57
