Id,log2FoldChange.minusSTvsAll
OG0,-0.363
OG1,-0.375
OG10,-0.635
OG100,0.447
OG1000,-0.17300000000000001
OG1001,-0.218
OG1002,1.2670000000000001
OG1003,-0.5660000000000001
OG1004,0.433
OG1005,0.247
OG1006,-0.11
OG1007,1.074
OG1008,-0.42200000000000004
OG1009,0.098
OG101,-0.945
OG1010,0.16899999999999998
OG1011,-0.042
OG1012,-0.049
OG1013,0.525
OG1014,0.523
OG1015,0.031
OG1016,-0.387
OG1017,0.051
OG1018,0.147
OG1019,0.41200000000000003
OG102,0.47100000000000003
OG1020,0.446
OG1021,-0.373
OG1022,-0.345
OG1023,-0.037000000000000005
OG1024,0.021
OG1025,-0.312
OG1026,0.28600000000000003
OG1027,-0.34700000000000003
OG1028,-0.51
OG1029,0.35200000000000004
OG103,0.053
OG1030,0.677
OG1031,-0.084
OG1032,-1.179
OG1033,-0.19699999999999998
OG1034,-0.762
OG1035,-0.038
OG1036,-0.72
OG1037,-1.3219999999999998
OG1038,0.249
OG1039,-0.597
OG104,-0.127
OG1040,0.026000000000000002
OG1041,0.10800000000000001
OG1042,-0.111
OG1043,-2.008
OG1044,-1.247
OG1045,0.494
OG1046,-0.475
OG1047,-0.098
OG1048,-1.114
OG1049,-0.14
OG105,-0.9
OG1050,-0.7509999999999999
OG1051,0.878
OG1052,-2.9930000000000003
OG1053,1.3090000000000002
OG1054,0.23399999999999999
OG1055,-0.445
OG1056,0.302
OG1057,-0.45
OG1058,0.0
OG1059,0.856
OG106,-0.019
OG1060,-0.5479999999999999
OG1061,-0.366
OG1062,0.077
OG1063,0.156
OG1064,1.225
OG1065,0.7290000000000001
OG1066,-1.196
OG1067,-0.27
OG1068,0.048
OG1069,-0.314
OG107,-0.037000000000000005
OG1070,0.741
OG1071,0.987
OG1072,-0.223
OG1073,0.431
OG1074,0.40700000000000003
OG1075,0.257
OG1076,-0.19
OG1077,0.064
OG1078,1.516
OG1079,-0.365
OG108,0.0
OG1080,-0.619
OG1081,-0.385
OG1082,-0.593
OG1083,-0.223
OG1084,-0.8390000000000001
OG1085,0.076
OG1086,0.494
OG1087,-0.036000000000000004
OG1088,-1.081
OG1089,-0.31
OG109,-1.139
OG1090,-0.805
OG1091,-1.4040000000000001
OG1092,0.047
OG1093,-0.741
OG1094,-0.294
OG1095,-0.217
OG1096,0.11699999999999999
OG1097,-0.34299999999999997
OG1098,0.938
OG1099,-0.099
OG11,-1.062
OG110,-0.552
OG1100,0.332
OG1101,-0.46299999999999997
OG1102,0.076
OG1103,0.35
OG1104,-0.6920000000000001
OG1105,0.166
OG1106,-0.28600000000000003
OG1107,-1.052
OG1108,0.094
OG1109,-0.853
OG111,0.20600000000000002
OG1110,0.45899999999999996
OG1111,-0.11599999999999999
OG1112,-0.256
OG1113,-0.009000000000000001
OG1114,-0.182
OG1115,-0.639
OG1116,-0.4
OG1117,0.525
OG1118,-0.27699999999999997
OG1119,-0.14800000000000002
OG112,0.055999999999999994
OG1120,-0.39
OG1121,-0.115
OG1122,-0.223
OG1123,2.101
OG1124,0.192
OG1125,0.603
OG1126,0.23199999999999998
OG1127,0.363
