Id,log2FoldChange.minus6086vsAll
OG0,-0.14400000000000002
OG1,0.16
OG10,0.522
OG100,0.401
OG1000,-1.1
OG1001,0.504
OG1002,0.10800000000000001
OG1003,1.0390000000000001
OG1004,0.19699999999999998
OG1005,-0.14800000000000002
OG1006,-0.091
OG1007,-0.05
OG1008,-0.214
OG1009,0.513
OG101,-3.925
OG1010,0.133
OG1011,0.040999999999999995
OG1012,0.8240000000000001
OG1013,-0.2
OG1014,-0.408
OG1015,0.061
OG1016,0.146
OG1017,-0.075
OG1018,0.45299999999999996
OG1019,0.185
OG102,0.308
OG1020,-0.349
OG1021,0.493
OG1022,0.521
OG1023,0.036000000000000004
OG1024,0.221
OG1025,0.18899999999999997
OG1026,-0.122
OG1027,-0.06
OG1028,-0.102
OG1029,1.4480000000000002
OG103,-0.027000000000000003
OG1030,0.507
OG1031,-2.9160000000000004
OG1032,0.637
OG1033,-1.234
OG1034,0.308
OG1035,0.292
OG1036,-0.7909999999999999
OG1037,-3.217
OG1038,-0.051
OG1039,-0.085
OG104,-0.105
OG1040,-0.309
OG1041,0.41700000000000004
OG1042,-0.5870000000000001
OG1043,-3.23
OG1044,-1.537
OG1045,1.868
OG1046,-1.085
OG1047,-0.132
OG1048,0.6459999999999999
OG1049,-0.307
OG105,0.062
OG1050,0.7759999999999999
OG1051,-1.604
OG1052,-3.415
OG1053,0.5329999999999999
OG1054,0.258
OG1055,-0.145
OG1056,0.09300000000000001
OG1057,-0.21100000000000002
OG1058,1.224
OG1059,-0.038
OG106,-0.737
OG1060,0.092
OG1061,0.46299999999999997
OG1062,0.065
OG1063,-0.079
OG1064,-0.447
OG1065,0.253
OG1066,0.6629999999999999
OG1067,-0.937
OG1068,0.155
OG1069,0.5329999999999999
OG107,0.397
OG1070,-0.45399999999999996
OG1071,0.369
OG1072,-0.17
OG1073,-0.098
OG1074,0.098
OG1075,0.40399999999999997
OG1076,-0.10099999999999999
OG1077,-0.02
OG1078,0.425
OG1079,0.428
OG108,0.0
OG1080,0.7390000000000001
OG1081,-0.371
OG1082,-0.627
OG1083,-0.425
OG1084,-0.69
OG1085,-0.409
OG1086,0.0
OG1087,0.298
OG1088,-0.581
OG1089,0.0
OG109,-1.101
OG1090,-0.5429999999999999
OG1091,0.629
OG1092,0.168
OG1093,-0.42700000000000005
OG1094,-0.057999999999999996
OG1095,-0.268
OG1096,0.406
OG1097,-1.486
OG1098,0.763
OG1099,-0.225
OG11,0.373
OG110,1.359
OG1100,0.07400000000000001
OG1101,-0.38799999999999996
OG1102,0.483
OG1103,-0.182
OG1104,0.32799999999999996
OG1105,-0.18899999999999997
OG1106,0.563
OG1107,-1.248
OG1108,-0.41
OG1109,0.36200000000000004
OG111,-1.936
OG1110,-0.063
OG1111,-0.045
OG1112,-0.249
OG1113,0.09699999999999999
OG1114,-0.155
OG1115,0.304
OG1116,-0.9129999999999999
OG1117,0.102
OG1118,-0.31
OG1119,-0.033
OG112,0.364
OG1120,0.2
OG1121,-0.098
OG1122,0.006999999999999999
OG1123,0.7040000000000001
OG1124,-0.245
OG1125,0.358
OG1126,0.128
OG1127,-0.044000000000000004
OG1128,-0.091
OG1129,-0.725
OG113,0.237
OG1130,0.10400000000000001
OG1131,-0.354
OG1132,0.111
OG1133,0.168
OG1134,-0.484
OG1135,-0.068
OG1136,0.048
OG1137,-0.626
OG1138,0.517
OG1139,-0.111
OG114,0.8270000000000001
OG1140,0.027000000000000003
OG1141,-0.061
OG1142,0.373
OG1143,0.281
OG1144,0.08800000000000001
OG1145,-0.29100000000000004
OG1146,-0.20199999999999999
OG1147,0.021
OG1148,0.46
OG1149,-0.1
OG115,-1.6780000000000002
OG1150,0.552
OG1151,-0.002
OG1152,-0.019
OG1153,0.395
OG1154,0.06
OG1155,-0.614
OG1156,0.08900000000000001
OG1157,0.53
OG1158,-0.31
OG1159,0.594
OG116,-0.402
OG1160,0.079
OG1161,0.145
OG1162,-0.14
OG1163,0.083
OG1164,0.242
OG1165,0.063
OG1166,0.07400000000000001
OG1167,0.01
OG1168,0.24100000000000002
OG1169,0.267
OG117,-0.758
OG1170,0.054000000000000006
OG1171,-0.22399999999999998
OG1172,-0.10300000000000001
