Id,log2FoldChange.minusSICOvsAll
OG0,-2.5580000000000003
OG1,-0.166
OG10,-6.731
OG100,0.221
OG1000,-0.201
OG1001,-0.141
OG1002,0.451
OG1003,0.067
OG1004,0.519
OG1005,0.23199999999999998
OG1006,-0.5529999999999999
OG1007,-0.086
OG1008,-0.848
OG1009,0.474
OG101,-0.945
OG1010,-0.23800000000000002
OG1011,0.017
OG1012,0.496
OG1013,-0.046
OG1014,0.008
OG1015,0.126
OG1016,-0.115
OG1017,0.292
OG1018,0.38
OG1019,0.27699999999999997
OG102,-0.08800000000000001
OG1020,-0.11900000000000001
OG1021,-0.04
OG1022,0.467
OG1023,0.062
OG1024,0.27399999999999997
OG1025,-0.39799999999999996
OG1026,0.441
OG1027,-0.11699999999999999
OG1028,-1.194
OG1029,-0.1
OG103,-0.152
OG1030,-1.173
OG1031,-0.687
OG1032,-0.223
OG1033,-0.578
OG1034,-0.001
OG1035,-0.612
OG1036,-2.376
OG1037,-2.6239999999999997
OG1038,0.363
OG1039,-0.461
OG104,-0.626
OG1040,-0.397
OG1041,0.275
OG1042,-0.5920000000000001
OG1043,0.182
OG1044,-1.906
OG1045,1.879
OG1046,-0.59
OG1047,0.145
OG1048,0.716
OG1049,-0.402
OG105,-2.367
OG1050,0.418
OG1051,1.4169999999999998
OG1052,-2.405
OG1053,0.23800000000000002
OG1054,0.099
OG1055,-0.665
OG1056,-0.319
OG1057,-0.14
OG1058,0.0
OG1059,0.924
OG106,0.365
OG1060,-0.247
OG1061,0.327
OG1062,0.284
OG1063,-0.185
OG1064,0.128
OG1065,0.337
OG1066,-0.872
OG1067,-1.214
OG1068,-2.2319999999999998
OG1069,-1.3430000000000002
OG107,0.818
OG1070,0.33399999999999996
OG1071,0.613
OG1072,-0.467
OG1073,0.747
OG1074,0.05
OG1075,-0.002
OG1076,-0.389
OG1077,-0.12
OG1078,0.096
OG1079,-0.386
OG108,0.0
OG1080,0.518
OG1081,-0.6709999999999999
OG1082,-0.7390000000000001
OG1083,-0.779
OG1084,-0.8290000000000001
OG1085,-0.171
OG1086,2.142
OG1087,0.44799999999999995
OG1088,-1.338
OG1089,-0.542
OG109,-3.1460000000000004
OG1090,-0.9790000000000001
OG1091,0.948
OG1092,-0.068
OG1093,-1.8030000000000002
OG1094,-0.9440000000000001
OG1095,-0.489
OG1096,0.556
OG1097,-1.006
OG1098,1.24
OG1099,-0.19399999999999998
OG11,-6.836
OG110,-2.037
OG1100,0.19
OG1101,-0.408
OG1102,1.194
OG1103,0.581
OG1104,0.6559999999999999
OG1105,0.209
OG1106,0.083
OG1107,-0.545
OG1108,-0.406
OG1109,-0.182
OG111,-0.507
OG1110,-0.6779999999999999
OG1111,-0.153
OG1112,-1.041
OG1113,-0.049
OG1114,-0.184
OG1115,-0.16399999999999998
OG1116,-0.209
OG1117,0.624
OG1118,-0.945
OG1119,-0.618
OG112,0.09699999999999999
OG1120,-0.20800000000000002
OG1121,-0.483
OG1122,-0.6940000000000001
OG1123,1.536
OG1124,-0.038
OG1125,0.513
OG1126,0.366
OG1127,-0.7879999999999999
OG1128,0.047
OG1129,-0.319
OG113,-0.049
OG1130,0.32299999999999995
OG1131,-1.454
OG1132,0.7
OG1133,-0.001
OG1134,-3.0639999999999996
OG1135,0.08
OG1136,-0.067
OG1137,-0.317
OG1138,0.715
OG1139,-0.038
OG114,-3.765
OG1140,-0.002
OG1141,-0.598
OG1142,-0.955
OG1143,0.28600000000000003
OG1144,-0.156
OG1145,-0.293
OG1146,-0.61
OG1147,0.46399999999999997
OG1148,-0.22899999999999998
OG1149,-0.297
OG115,-2.046
OG1150,-0.24100000000000002
OG1151,-0.016
OG1152,-0.26
OG1153,-0.574
OG1154,-0.642
OG1155,0.161
OG1156,0.7340000000000001
OG1157,1.141
OG1158,-0.07
OG1159,0.45399999999999996
OG116,-0.002
OG1160,0.215
OG1161,0.47100000000000003
OG1162,0.20600000000000002
OG1163,0.11
OG1164,-0.111
OG1165,-0.022000000000000002
OG1166,1.329
OG1167,0.941
OG1168,0.276
OG1169,-0.154
OG117,-1.127
OG1170,0.048
OG1171,-0.745
OG1172,-0.231
OG1173,0.008
OG1174,0.318
OG1175,0.53
OG1176,-0.47200000000000003
OG1177,0.156
OG1178,0.6779999999999999
OG1179,0.46799999999999997
OG118,0.747
OG1180,0.159
OG1181,-0.081
OG1182,-0.11699999999999999
OG1183,0.51
OG1184,0.231
OG1185,1.091
OG1186,0.259
OG1187,0.244
OG1188,0.282
OG1189,0.153
OG119,-2.1180000000000003
OG1190,0.299
OG1191,0.534
OG1192,0.858
OG1193,0.7090000000000001
OG1194,-0.303
OG1195,-0.583
OG1196,0.38299999999999995
OG1197,2.356
OG1198,0.521
OG1199,-0.495
OG12,-0.273
OG120,-0.963
OG1200,0.094
OG1201,0.045
OG1202,0.841
OG1203,0.41100000000000003
OG1204,0.109
OG1205,0.703
OG1206,0.484
OG1207,0.498
OG1208,0.223
OG1209,0.39
OG121,-1.5330000000000001
OG1210,0.11199999999999999
OG1211,0.5920000000000001
OG1212,0.21600000000000003
OG1213,-0.152
OG1214,0.49200000000000005
OG1215,-0.028999999999999998
OG1216,1.597
OG1217,0.7929999999999999
OG1218,0.46
OG1219,0.64
OG122,-0.09300000000000001
OG1220,-0.258
OG1221,0.07200000000000001
OG1222,0.41
OG1223,-0.142
OG1224,0.135
OG1225,0.386
OG1226,0.152
OG1227,0.129
OG1228,0.46799999999999997
OG1229,0.341
OG123,0.512
OG1230,-0.084
OG1231,0.096
OG1232,0.485
OG1233,0.256
OG1234,0.096
OG1235,0.522
OG1236,0.35
OG1237,1.421
OG1238,0.442
