,Knumber,log2FoldChange.minusSTvsAll
OG4650,K01208,-0.46799999999999997
OG4662,K00817,-0.20199999999999999
OG4663,K00817,0.003
OG4665,K21449,1.605
OG4666,K02810,-0.33799999999999997
OG4667,K02810,-0.312
OG4668,K00020,-0.795
OG4669,K00134,0.687
OG4673,K24041,0.4
OG4681,K21636,-0.526
OG4695,K01223,0.494
OG4698,K10804,-1.43
OG4701,K04096,
OG4716,K04485,0.737
OG4719,K02952,-0.335
OG4731,K20265,-0.158
OG4739,K01154,
OG4745,K20345,0.046
OG4770,K00852,-2.467
OG4771,K01703,
OG4772,K01703,0.0
OG4773,K00878,-0.46799999999999997
OG4774,K00878,
OG4784,K02004,1.247
OG4790,K00793,
OG4795,K06919,0.494
OG4797,K01154,0.0
OG4808,K00773,1.716
OG4812,K08151,0.494
OG4813,K08151,-2.218
OG4814,K01992,
OG4815,K01990,
OG4820,K12992,
OG4823,K07271,
OG4824,K21030,
OG4825,K05352,
OG4826,K19424,
OG4831,K01154,-0.298
OG4834,K01208,-1.43
OG4841,K18908,0.494
OG4842,K02035,-1.304
OG4889,K02864,0.251
OG4891,K00001,-0.226
OG4896,K07386,0.36
OG4897,K02982,0.8370000000000001
OG4901,K01160,
OG4902,K11741,
OG4904,K09815,0.494
OG4908,K02761,0.494
OG4916,K03070,1.247
OG4918,K16786,0.006
OG4921,K12952,0.42200000000000004
OG4922,K01635,-0.493
OG4923,K01635,-0.078
OG4930,K14260,-0.138
OG4934,K02988,0.877
OG4936,K00067,1.4409999999999998
OG4948,K03070,2.086
OG4965,K20444,-0.624
OG4967,K08678,-0.8240000000000001
OG4968,K00991,-1.172
OG4969,K07271,-0.8740000000000001
OG4972,K12997,-0.9420000000000001
OG4975,K00754,-0.762
OG4978,K01990,-0.8759999999999999
OG4989,K03299,-0.114
OG4990,K03299,-0.353
OG4998,K14155,-1.01
OG5000,K08217,-1.065
OG5001,K01784,-1.1059999999999999
OG5007,K20374,-1.101
OG5013,K18104,0.132
OG5040,K03111,0.8320000000000001
OG5045,K07284,-2.26
OG5049,K03697,-0.625
OG5051,K03169,0.139
OG5053,K03657,-0.6509999999999999
OG5057,K03424,-1.074
OG5064,K15051,-0.821
OG5075,K02027,-1.1079999999999999
OG5076,K02027,0.494
OG5077,K01153,-0.8240000000000001
OG5078,K01154,-0.759
OG5081,K03427,-0.449
OG5082,K20861,-0.40700000000000003
OG5087,K01421,0.11900000000000001
OG5091,K03496,-0.43700000000000006
OG5095,K15580,-0.402
OG5103,K00558,-1.167
OG5109,K01198,1.452
OG5151,K03169,-1.17
OG5153,K03696,-0.773
OG5157,K02372,-0.63
OG5159,K09458,-1.11
OG5164,K00648,-0.992
OG5177,K20866,-0.9590000000000001
OG5186,K03111,-0.542
OG5203,K07497,-3.116
OG5205,K07052,-0.7659999999999999
OG5216,K07485,-5.252999999999999
OG5221,K19424,-0.6779999999999999
OG5226,K12996,-0.7140000000000001
OG5239,K07386,-0.831
OG5242,K07455,0.0
OG5246,K10117,0.326
OG5247,K10117,0.0
OG5261,K03763,1.9680000000000002
OG5266,K03602,0.337
OG5268,K03601,1.413
OG5276,K03657,0.054000000000000006
OG5297,K03657,
OG5299,K02314,1.25
OG5306,K07272,-0.20600000000000002
OG5309,K07272,0.087
OG5314,K12990,-0.621
OG5315,K20444,-0.205
OG5318,K07316,-0.087
OG5319,K07316,0.183
OG5359,K01520,0.0
OG5372,K01200,-1.199
OG5374,K01200,-2.335
OG5379,K02803,-1.43
OG5382,K02800,
OG5383,K00849,-0.46799999999999997
OG5390,K00013,
OG5392,K19972,-0.635
OG5393,K01520,2.4930000000000003
OG5394,K07482,0.494
OG5396,K02004,-1.065
OG5397,K02004,-0.46799999999999997
OG5408,K07483,-2.537
OG5419,K00012,-0.46799999999999997
OG5422,K03502,-0.7759999999999999
OG5424,K03553,-0.628
OG5429,K01154,-0.489
OG5443,K01154,-0.529
OG5446,K09693,0.0
OG5447,K20486,-1.942
OG5448,K20489,-1.271
OG5449,K20484,0.24
OG5460,K01005,0.494
OG5464,K16566,-0.46799999999999997
OG5469,K19426,0.0
OG5476,K03502,-2.344
OG5494,K00158,-1.473
