Knumber,log2FoldChange.minusSTvsAll
K01208,-0.46799999999999997
K00817,-0.20199999999999999
K00817,0.003
K21449,1.605
K02810,-0.33799999999999997
K02810,-0.312
K00020,-0.795
K00134,0.687
K24041,0.4
K21636,-0.526
K01223,0.494
K10804,-1.43
K04096,
K04485,0.737
K02952,-0.335
K20265,-0.158
K01154,
K20345,0.046
K00852,-2.467
K01703,
K01703,0.0
K00878,-0.46799999999999997
K00878,
K02004,1.247
K00793,
K06919,0.494
K01154,0.0
K00773,1.716
K08151,0.494
K08151,-2.218
K01992,
K01990,
K12992,
K07271,
K21030,
K05352,
K19424,
K01154,-0.298
K01208,-1.43
K18908,0.494
K02035,-1.304
K02864,0.251
K00001,-0.226
K07386,0.36
K02982,0.8370000000000001
K01160,
K11741,
K09815,0.494
K02761,0.494
K03070,1.247
K16786,0.006
K12952,0.42200000000000004
K01635,-0.493
K01635,-0.078
K14260,-0.138
K02988,0.877
K00067,1.4409999999999998
K03070,2.086
K20444,-0.624
K08678,-0.8240000000000001
K00991,-1.172
K07271,-0.8740000000000001
K12997,-0.9420000000000001
K00754,-0.762
K01990,-0.8759999999999999
K03299,-0.114
K03299,-0.353
K14155,-1.01
K08217,-1.065
K01784,-1.1059999999999999
K20374,-1.101
K18104,0.132
K03111,0.8320000000000001
K07284,-2.26
K03697,-0.625
K03169,0.139
K03657,-0.6509999999999999
K03424,-1.074
K15051,-0.821
K02027,-1.1079999999999999
K02027,0.494
K01153,-0.8240000000000001
K01154,-0.759
K03427,-0.449
K20861,-0.40700000000000003
K01421,0.11900000000000001
K03496,-0.43700000000000006
K15580,-0.402
K00558,-1.167
K01198,1.452
K03169,-1.17
K03696,-0.773
K02372,-0.63
K09458,-1.11
K00648,-0.992
K20866,-0.9590000000000001
K03111,-0.542
K07497,-3.116
K07052,-0.7659999999999999
K07485,-5.252999999999999
K19424,-0.6779999999999999
K12996,-0.7140000000000001
K07386,-0.831
K07455,0.0
K10117,0.326
K10117,0.0
K03763,1.9680000000000002
K03602,0.337
K03601,1.413
K03657,0.054000000000000006
K03657,
K02314,1.25
K07272,-0.20600000000000002
K07272,0.087
K12990,-0.621
K20444,-0.205
K07316,-0.087
K07316,0.183
K01520,0.0
K01200,-1.199
K01200,-2.335
K02803,-1.43
K02800,
K00849,-0.46799999999999997
K00013,
K19972,-0.635
K01520,2.4930000000000003
K07482,0.494
K02004,-1.065
K02004,-0.46799999999999997
K07483,-2.537
K00012,-0.46799999999999997
K03502,-0.7759999999999999
K03553,-0.628
K01154,-0.489
K01154,-0.529
K09693,0.0
K20486,-1.942
K20489,-1.271
K20484,0.24
K01005,0.494
K16566,-0.46799999999999997
K19426,0.0
K03502,-2.344
K00158,-1.473
K06217,0.415
K12999,
K03427,-0.314
K06200,-0.445
K03427,1.22
K07052,
K01854,-1.43
K15580,
K15580,
K07483,
K07497,
K07497,
K01154,
K07493,
K07493,
K07497,
K07483,
K07497,
K00874,
K07483,
K07493,
K07493,
K05350,
K07493,
K07493,
K03488,
K20373,
K07497,
K07483,
K01750,
K18907,
K07493,
K07493,
K07483,
K07483,
K07497,
K01649,
K00012,
K07493,
K07493,
K07483,
K07493,
K07493,
K00626,
K02032,
K07493,
K07493,
K07493,
K07493,
K19338,0.0
K01153,-0.653
K18704,0.385
K07441,0.147
K19350,-1.43
K03111,
K00847,-0.185
K01488,
K07271,
K03328,
K06139,
K00703,
K00033,-0.46799999999999997
K03328,
K00012,
K03475,0.0
K01575,1.9580000000000002
K03596,-0.494
K03596,0.816
K17686,
K06200,-0.354
K02238,
K07741,
K01154,-0.35200000000000004
K22409,-0.8420000000000001
K07448,-1.188
K07497,
K07467,0.706
K01154,0.494
K00558,
K01154,0.494
K01154,0.652
K07482,
K01154,-1.435
K01101,-1.278
K06885,-0.718
K06885,-1.349
K07497,0.993
K21449,-2.37
K07443,0.0
K08679,
K00067,-1.964
K01790,
K01297,1.4909999999999999
K07497,1.051
K07192,-2.9939999999999998
K06148,-0.295
K01154,0.0
K02761,-1.956
K01154,
K07483,
K07497,
K01580,-2.924
K01361,-0.433
K03502,-0.057
K03305,0.494
K02042,1.837
K01154,0.0
K07030,-0.597
K07030,-1.48
K01814,-0.46799999999999997
K01735,-0.78
K01154,
K00851,-0.9590000000000001
K01126,-0.456
K18888,-1.43
K01215,-0.46799999999999997
K01215,-1.43
K03322,-0.691
K09962,-1.571
K01210,1.23
K01210,
K06139,
K11041,0.494
K00040,0.11800000000000001
K00854,
K01361,-0.5770000000000001
K20265,-2.0269999999999997
K02238,-3.071
K07504,-0.773
K01223,-2.2119999999999997
K02334,-1.6880000000000002
K06400,-3.5239999999999996
K00158,-1.3559999999999999
K09988,-1.9769999999999999
K08302,0.201
K02538,-0.191
K00012,-1.492
K00012,-1.329
K02529,-0.9309999999999999
K01154,-0.624
K00694,-2.029
K01154,
K03205,-0.7090000000000001
K01153,1.25
K07316,
K07727,
K01154,-2.3409999999999997
K19426,
K01154,-1.944
K07498,-1.3969999999999998
K01154,0.494
K01154,0.494
K01854,-0.9259999999999999
K07483,
K07497,
K01154,0.121
K07106,1.137
K02073,-1.105
K02073,-1.3090000000000002
K03707,-0.6729999999999999
K00926,1.686
K07474,-0.45299999999999996
K01681,-0.493
K01154,-0.066
K01176,0.42200000000000004
K01176,-0.395
K06978,-0.083
K07316,0.23
K07646,0.574
K07646,0.632
K02035,0.373
K07025,1.2570000000000001
K03486,0.0
K01154,-1.43
K03777,-0.364
K03777,-0.23399999999999999
K00688,-0.096
K01154,-0.038
K19265,0.47100000000000003
K19265,0.494
K12952,-1.276
K01512,
K02029,-0.25
K02029,-0.245
K02113,-0.574
K03758,1.925
K03758,-0.16699999999999998
K01703,
K02115,-0.401
K00700,
K07272,
K07271,
K07455,
K01154,
K07497,
K07482,
K07482,
K03529,
K07482,
K01071,
K12952,
K00027,
K01910,
K01646,
K01644,
K01643,
K05966,
K06219,
K04096,
K07482,
K07482,
K07482,
K03183,
K03183,
K07482,
K07482,
K07482,
K03322,
K07482,
K07482,
K07482,
K07482,
K07482,
K03299,
K07482,
K01154,0.19899999999999998
K11617,1.311
K11617,-0.46799999999999997
K03111,0.0
K02031,
K01652,0.0
K01790,0.185
K20265,1.77
K01580,-0.501
K02316,0.508
K01421,2.46
K02445,
K07316,
K01156,
K05845,-1.2690000000000001
K05846,-1.2690000000000001
K03524,0.19399999999999998
K16566,
K03695,-1.206
K07482,
K00689,-0.46799999999999997
K00012,
K01154,-2.3169999999999997
K01785,-2.114
K01534,
K01534,0.0
K16169,-0.922
K01356,-1.43
K00691,1.021
K01681,-0.375
K20276,-1.025
K03427,-1.062
K00014,0.903
K02761,-0.013999999999999999
K10716,-0.511
K00633,-0.899
K02240,-0.251
K17319,-1.43
K07451,-1.137
K01735,0.536
K01805,-0.433
K02031,0.506
K01154,-0.625
K02788,-1.065
K18926,-0.231
K02004,-0.514
K09815,-0.059000000000000004
K07316,0.0
K02248,-2.158
K04068,-0.171
K00298,-0.7120000000000001
K03475,-0.752
K09799,0.091
K07213,0.012
K06148,0.447
K00980,0.47100000000000003
K02810,0.053
K22132,-1.139
K00626,0.28
K21449,0.43200000000000005
K08152,-0.616
K07483,0.33299999999999996
K02236,-1.4480000000000002
K02315,
K03284,-0.46799999999999997
K07441,0.02
K00854,-0.289
K07005,0.43
K01992,-0.47200000000000003
K02238,-0.763
K07483,0.413
K11752,0.152
K00765,-1.175
K00874,-0.611
K06919,-0.49
K01805,0.139
K04041,0.556
K05970,0.494
K19972,-0.313
K07052,-1.705
K02237,-5.236000000000001
K12952,0.028999999999999998
K10830,-0.33299999999999996
K02238,0.0
K07284,-0.304
K08728,0.9209999999999999
K19971,-1.004
K03524,-0.332
K03523,0.10800000000000001
K06950,-0.162
K01060,-1.253
K08602,-0.037000000000000005
K07032,-0.501
K01200,-0.146
K18940,-0.581
K19350,-0.179
K01187,-0.696
K00703,-0.386
K13530,0.16
K01421,0.096
K07095,0.10300000000000001
K00145,-1.192
K00882,-0.10099999999999999
K21613,0.006999999999999999
K01575,0.375
K06999,-0.365
K00111,-1.0090000000000001
K09155,-0.113
K07493,-0.8420000000000001
K01347,-1.5390000000000001
