Id,Description,baseMean,All_norm,minus.ST_norm,minus.5614_norm,minus.6086_norm,minus.10675_norm,minus.SICO_norm,FoldChange.minusSTvsAll,log2FoldChange.minusSTvsAll,stat.minusSTvsAll,pvalue.minusSTvsAll,padj.minusSTvsAll,FoldChange.minus5614vsAll,log2FoldChange.minus5614vsAll,stat.minus5614vsAll,pvalue.minus5614vsAll,padj.minus5614vsAll,FoldChange.minus6086vsAll,log2FoldChange.minus6086vsAll,stat.minus6086vsAll,pvalue.minus6086vsAll,padj.minus6086vsAll,FoldChange.minus10675vsAll,log2FoldChange.minus10675vsAll,stat.minus10675vsAll,pvalue.minus10675vsAll,padj.minus10675vsAll,FoldChange.minusSICOvsAll,log2FoldChange.minusSICOvsAll,stat.minusSICOvsAll,pvalue.minusSICOvsAll,padj.minusSICOvsAll
OG0,hypothetical protein,278.41,27.61011011,21.52652653,24.8958959,24.98948949,52.5995996,4.67967968,0.777,-0.363,-1.596,0.11044596,0.213561985,0.901,-0.151,-0.666,0.505694606,0.660905671,0.905,-0.144,-0.624,0.53240266,0.715377731,1.895,0.922,4.104,4.06E-05,0.000161976,0.17,-2.558,-10.174,2.60E-24,1.55E-21
OG1,Aconitate hydratase A,7.38,3.52,2.64,3.52,3.96,2.64,3.08,0.771,-0.375,-0.593,0.553208631,0.682919668,1.06,0.084,0.136,0.891851633,0.932619329,1.117,0.16,0.251,0.801997998,0.896678318,0.792,-0.336,-0.529,0.59687847,0.704537789,0.891,-0.166,-0.261,0.794288204,0.865668623
OG10,hypothetical protein,20.55,24.28571429,14.57142857,29.14285714,31.57142857,48.57142857,0,0.644,-0.635,-1.515,0.129648718,0.240286949,1.252,0.324,0.823,0.41031906,0.573405126,1.436,0.522,1.291,0.196758238,0.399513311,2.038,1.027,2.687,0.007201246,0.017686435,0.009,-6.731,-5.462,4.70E-08,7.83E-07
OG100,putative ABC transporter ATP-binding protein AND Putative multidrug export ATP-binding/permease protein,718.52,215.173258,293.7062147,253.2071563,283.1412429,221.5122411,251.094162,1.363,0.447,3.915,9.05E-05,0.000666582,1.176,0.234,2.043,0.041047449,0.09374592,1.32,0.401,3.442,0.000577796,0.004204524,1.028,0.04,0.348,0.728152844,0.816243922,1.166,0.221,1.915,0.055448339,0.127680711
OG1000,DNA-invertase hin,487.29,529.4945652,469.5326087,620.9619565,244.9293478,646.3695652,461.4021739,0.887,-0.173,-0.981,0.326403946,0.467768556,1.172,0.229,1.305,0.191744693,0.326387223,0.467,-1.1,-5.985,2.16E-09,4.10E-08,1.214,0.28,1.597,0.110342579,0.187835781,0.87,-0.201,-1.135,0.25622562,0.398382755
OG1001,putative glucose uptake protein GlcU AND Glucose uptake protein GlcU,11393.1,6967.810169,5991.60678,10011.15593,9883.108475,4160.274576,6318.698305,0.86,-0.218,-1.732,0.08318778,0.173543439,1.437,0.523,4.16,3.18E-05,0.000179907,1.418,0.504,4.006,6.19E-05,0.000606817,0.597,-0.744,-5.91,3.43E-09,2.54E-08,0.907,-0.141,-1.123,0.261586136,0.404014911
OG1002,Protein DedA,263.37,154.8461538,373.1538462,262.3076923,168.3846154,165,212.3846154,2.407,1.267,8.164,3.25E-16,1.93E-14,1.685,0.753,4.786,1.70E-06,1.23E-05,1.078,0.108,0.651,0.515319208,0.702856838,1.062,0.087,0.54,0.58925436,0.697870721,1.367,0.451,2.816,0.004857447,0.018065386
OG1003,hypothetical protein,24.68,29.17730496,19.89361702,1.326241135,61.0070922,55.70212766,30.5035461,0.676,-0.566,-1.309,0.190428705,0.319987238,0.026,-5.254,-4.837,1.32E-06,9.60E-06,2.054,1.039,2.522,0.011674034,0.049733703,1.958,0.969,2.404,0.016218712,0.036074026,1.048,0.067,0.159,0.873862349,0.920776718
OG1004,Transcriptional regulator LytR AND Biofilm regulatory protein A,1785.9,550.8590022,743.537961,537.0672451,634.0151844,1092.388286,789.3752711,1.35,0.433,4.228,2.36E-05,0.00022561,0.975,-0.036,-0.353,0.723840499,0.824768151,1.147,0.197,1.898,0.057702862,0.168694103,1.983,0.988,9.685,3.48E-22,1.02E-20,1.433,0.519,5.061,4.17E-07,5.23E-06
OG1005,putative protein,1885.88,1949.988439,2317.50289,2582.32948,1764.069364,1323.052023,2292.641618,1.187,0.247,2.984,0.002847204,0.011355784,1.323,0.404,4.877,1.08E-06,8.07E-06,0.902,-0.148,-1.747,0.080699247,0.214016396,0.677,-0.562,-6.674,2.48E-11,2.52E-10,1.175,0.232,2.792,0.005231848,0.01918497
