OG	sample_3A
OG0	352.0
OG1	12.0
OG2	97.0
OG3	13.0
OG4	25.0
OG5	0.0
OG6	0.0
OG7	56.0
OG8	40.0
OG9	2.0
OG10	33.0
OG11	4.0
OG12	5.0
OG13	0.0
OG14	280.0
OG15	100.0
OG16	1.0
OG17	0.0
OG18	7.0
OG19	58.0
OG20	0.0
OG21	209.0
OG22	0.0
OG23	16.0
OG24	18.0
OG25	0.0
OG26	711.0
OG27	77.0
OG28	3.0
OG29	714.0
OG30	0.0
OG31	6.0
OG32	0.0
OG33	3.0
OG34	17.0
OG35	307.0
OG36	1278.0
OG37	39.0
OG38	37.0
OG39	467.0
OG40	3.0
OG41	618.0
OG42	0.0
OG43	120.0
OG44	636.0
OG45	0.0
OG46	17.0
OG47	78.0
OG48	135.0
OG49	41.0
OG50	211.0
OG51	0.0
OG52	0.0
OG53	7.0
OG54	0.0
OG55	0.0
OG56	3.0
OG57	8.0
OG58	584.0
OG59	25.0
OG60	11.0
OG61	0.0
OG62	1.0
OG63	0.0
OG64	5.0
OG65	0.0
OG66	6.0
OG67	24.0
OG68	0.0
OG69	5.0
OG70	4.0
OG71	740.0
OG72	0.0
OG73	281.0
OG74	2.0
OG75	92.0
OG76	0.0
OG77	11.0
OG78	5.0
OG79	8.0
OG80	433.0
OG81	154.0
OG82	321.0
OG83	4.0
OG84	41.0
OG85	16.0
OG86	0.0
OG87	3.0
OG88	1.0
OG89	3.0
OG90	58.0
OG91	13.0
OG92	2.0
OG93	11.0
OG94	164.0
OG95	1.0
OG96	4.0
OG97	29.0
OG98	0.0
OG99	264.0
OG100	1043.0
OG101	0.0
OG102	458.0
OG103	621.0
OG104	358.0
OG105	0.0
OG106	11.0
OG107	0.0
OG108	0.0
OG109	0.0
OG110	2.0
OG111	7.0
OG112	477.0
OG113	188.0
OG114	3.0
OG115	1.0
OG116	52.0
OG117	0.0
OG118	15.0
OG119	2.0
OG120	90.0
OG121	14.0
OG122	70.0
OG123	6.0
OG124	2971.0
OG125	6.0
OG126	8.0
OG127	0.0
OG128	131.0
OG129	19.0
OG130	197.0
OG131	42.0
OG132	491.0
OG133	805.0
OG134	240.0
OG135	14.0
OG136	6.0
OG137	1.0
OG138	5.0
OG139	8.0
OG140	28.0
OG141	338.0
OG142	370.0
OG143	0.0
OG144	5.0
OG145	4.0
OG146	4.0
OG147	234.0
OG148	0.0
OG149	3.0
OG150	0.0
OG151	6.0
OG152	6.0
OG153	0.0
OG154	8.0
OG155	152.0
OG156	2.0
OG157	7.0
OG158	127.0
OG159	15.0
OG160	889.0
OG161	14.0
OG162	104.0
OG163	2.0
OG164	0.0
OG165	1.0
OG166	2323.0
OG167	322.0
OG168	37.0
OG169	5.0
OG170	8.0
OG171	195.0
OG172	97.0
OG173	59.0
OG174	0.0
OG175	97.0
OG176	79.0
OG177	3.0
OG178	36.0
OG179	295.0
OG180	0.0
OG181	3303.0
OG182	2.0
OG183	0.0
OG184	1137.0
OG185	29265.0
OG186	587.0
OG187	893.0
OG188	0.0
OG189	6420.0
OG190	745.0
OG191	14.0
OG192	1390.0
OG193	1.0
OG194	193.0
OG195	16.0
OG196	39.0
OG197	8.0
OG198	0.0
OG199	534.0
OG200	371.0
OG201	1.0
OG202	9.0
OG203	76.0
OG204	214.0
OG205	143.0
OG206	253.0
OG207	108.0
OG208	30.0
OG209	367.0
OG210	1.0
OG211	38.0
OG212	35.0
OG213	464.0
OG214	1.0
OG215	26.0
OG216	1.0
OG217	0.0
OG218	1848.0
OG219	0.0
OG220	2.0
OG221	10.0
OG222	140.0
OG223	486.0
OG224	0.0
OG225	276.0
OG226	2855.0
OG227	22.0
OG228	1.0
OG229	1.0
OG230	20.0
OG231	268.0
