OG	sample_6B
OG0	41.0
OG1	7.0
OG2	357.0
OG3	5.0
OG4	5.0
OG5	0.0
OG6	0.0
OG7	17.0
OG8	549.0
OG9	0.0
OG10	0.0
OG11	0.0
OG12	0.0
OG13	0.0
OG14	173.0
OG15	87.0
OG16	0.0
OG17	0.0
OG18	14.0
OG19	5.0
OG20	0.0
OG21	63.0
OG22	0.0
OG23	7.0
OG24	6.0
OG25	1.0
OG26	610.0
OG27	20.0
OG28	25.0
OG29	547.0
OG30	168.0
OG31	78.0
OG32	0.0
OG33	1.0
OG34	4.0
OG35	135.0
OG36	1172.0
OG37	41.0
OG38	29.0
OG39	360.0
OG40	0.0
OG41	114.0
OG42	5.0
OG43	154.0
OG44	163.0
OG45	0.0
OG46	7.0
OG47	47.0
OG48	1.0
OG49	4.0
OG50	85.0
OG51	11.0
OG52	0.0
OG53	10.0
OG54	0.0
OG55	0.0
OG56	4.0
OG57	0.0
OG58	188.0
OG59	17.0
OG60	4.0
OG61	0.0
OG62	0.0
OG63	0.0
OG64	2.0
OG65	0.0
OG66	0.0
OG67	2.0
OG68	0.0
OG69	0.0
OG70	4.0
OG71	471.0
OG72	0.0
OG73	67.0
OG74	82.0
OG75	279.0
OG76	1.0
OG77	429.0
OG78	3.0
OG79	3.0
OG80	111.0
OG81	64.0
OG82	597.0
OG83	1.0
OG84	10.0
OG85	0.0
OG86	2.0
OG87	3.0
OG88	8.0
OG89	1.0
OG90	318.0
OG91	3.0
OG92	8.0
OG93	0.0
OG94	49.0
OG95	2.0
OG96	4.0
OG97	16.0
OG98	0.0
OG99	33.0
OG100	650.0
OG101	0.0
OG102	148.0
OG103	261.0
OG104	132.0
OG105	0.0
OG106	10.0
OG107	0.0
OG108	0.0
OG109	0.0
OG110	0.0
OG111	2.0
OG112	223.0
OG113	130.0
OG114	0.0
OG115	0.0
OG116	16.0
OG117	0.0
OG118	16.0
OG119	0.0
OG120	16.0
OG121	2.0
OG122	20.0
OG123	43.0
OG124	1985.0
OG125	29.0
OG126	79.0
OG127	24.0
OG128	26.0
OG129	4.0
OG130	60.0
OG131	84.0
OG132	179.0
OG133	213.0
OG134	117.0
OG135	12.0
OG136	4.0
OG137	9.0
OG138	0.0
OG139	7.0
OG140	10.0
OG141	428.0
OG142	289.0
OG143	0.0
OG144	5.0
OG145	128.0
OG146	1.0
OG147	0.0
OG148	0.0
OG149	0.0
OG150	0.0
OG151	1.0
OG152	2.0
OG153	0.0
OG154	2.0
OG155	86.0
OG156	15.0
OG157	1.0
OG158	90.0
OG159	119.0
OG160	780.0
OG161	1.0
OG162	93.0
OG163	1.0
OG164	0.0
OG165	0.0
OG166	1456.0
OG167	322.0
OG168	5.0
OG169	4.0
OG170	3.0
OG171	87.0
OG172	133.0
OG173	71.0
OG174	0.0
OG175	12.0
OG176	43.0
OG177	4.0
OG178	9.0
OG179	175.0
OG180	0.0
OG181	2517.0
OG182	66.0
OG183	1.0
OG184	621.0
OG185	9297.0
OG186	295.0
OG187	766.0
OG188	0.0
OG189	1166.0
OG190	92.0
OG191	12.0
OG192	1564.0
OG193	0.0
OG194	244.0
OG195	8.0
OG196	12.0
OG197	3.0
OG198	0.0
OG199	1856.0
OG200	171.0
OG201	2.0
OG202	0.0
OG203	132.0
OG204	159.0
OG205	35.0
OG206	146.0
OG207	24.0
OG208	13.0
OG209	181.0
OG210	24.0
OG211	0.0
OG212	26.0
OG213	306.0
OG214	0.0
OG215	0.0
OG216	3.0
OG217	3.0
OG218	688.0
OG219	2.0
OG220	4.0
OG221	7.0
OG222	56.0
OG223	312.0
OG224	0.0
OG225	151.0
OG226	1570.0
OG227	86.0
OG228	0.0
OG229	0.0
OG230	12.0
OG231	158.0
OG232	18.0
OG233	245.0
OG234	28.0
OG235	394.0
OG236	240.0
OG237	963.0
OG238	134.0
OG239	674.0
OG240	720.0
OG241	59.0
OG242	119.0
OG243	912.0
OG244	697.0
OG245	368.0
OG246	343.0
OG247	1326.0
OG248	313.0
OG249	23.0
OG250	1.0
OG251	84.0
OG252	166.0
OG253	1.0
OG254	364.0
OG255	1284.0
OG256	1035.0
OG257	1441.0
OG258	84.0
OG259	27.0
OG260	119.0
OG261	56.0
OG262	361.0
OG263	48.0
OG264	1435.0
OG265	22.0
OG266	74.0
OG267	73.0
OG268	254.0
OG269	9.0
OG270	39.0
OG271	166.0
OG272	205.0
OG273	193.0
OG274	667.0
OG275	11.0
OG276	0.0
OG277	111.0
OG278	380.0
OG279	20396.0
OG280	648.0
OG281	18.0
OG282	249.0
OG283	111.0
OG284	213.0
OG285	710.0
OG286	423.0
OG287	2056.0
OG288	214.0
OG289	32.0
