OG	sample_6C
OG0	70.0
OG1	8.0
OG2	788.0
OG3	16.0
OG4	5.0
OG5	0.0
OG6	0.0
OG7	22.0
OG8	958.0
OG9	1.0
OG10	0.0
OG11	0.0
OG12	9.0
OG13	0.0
OG14	195.0
OG15	130.0
OG16	0.0
OG17	0.0
OG18	29.0
OG19	36.0
OG20	0.0
OG21	114.0
OG22	0.0
OG23	8.0
OG24	17.0
OG25	2.0
OG26	941.0
OG27	28.0
OG28	44.0
OG29	642.0
OG30	212.0
OG31	103.0
OG32	0.0
OG33	6.0
OG34	6.0
OG35	218.0
OG36	1461.0
OG37	58.0
OG38	58.0
OG39	559.0
OG40	0.0
OG41	200.0
OG42	7.0
OG43	169.0
OG44	296.0
OG45	0.0
OG46	7.0
OG47	66.0
OG48	0.0
OG49	13.0
OG50	129.0
OG51	20.0
OG52	0.0
OG53	4.0
OG54	0.0
OG55	0.0
OG56	8.0
OG57	1.0
OG58	336.0
OG59	19.0
OG60	6.0
OG61	0.0
OG62	0.0
OG63	0.0
OG64	4.0
OG65	0.0
OG66	0.0
OG67	7.0
OG68	0.0
OG69	1.0
OG70	5.0
OG71	609.0
OG72	0.0
OG73	121.0
OG74	106.0
OG75	390.0
OG76	1.0
OG77	531.0
OG78	2.0
OG79	6.0
OG80	153.0
OG81	87.0
OG82	1009.0
OG83	0.0
OG84	30.0
OG85	0.0
OG86	1.0
OG87	1.0
OG88	1.0
OG89	1.0
OG90	378.0
OG91	7.0
OG92	20.0
OG93	0.0
OG94	82.0
OG95	11.0
OG96	9.0
OG97	30.0
OG98	0.0
OG99	87.0
OG100	995.0
OG101	4.0
OG102	268.0
OG103	466.0
OG104	219.0
OG105	0.0
OG106	28.0
OG107	1.0
OG108	0.0
OG109	0.0
OG110	0.0
OG111	7.0
OG112	428.0
OG113	196.0
OG114	0.0
OG115	0.0
OG116	23.0
OG117	0.0
OG118	37.0
OG119	0.0
OG120	47.0
OG121	4.0
OG122	22.0
OG123	54.0
OG124	3013.0
OG125	40.0
OG126	104.0
OG127	19.0
OG128	46.0
OG129	5.0
OG130	92.0
OG131	109.0
OG132	299.0
OG133	345.0
OG134	154.0
OG135	9.0
OG136	3.0
OG137	18.0
OG138	1.0
OG139	5.0
OG140	25.0
OG141	657.0
OG142	304.0
OG143	0.0
OG144	6.0
OG145	160.0
OG146	5.0
OG147	0.0
OG148	0.0
OG149	0.0
OG150	0.0
OG151	3.0
OG152	1.0
OG153	0.0
OG154	12.0
OG155	126.0
OG156	9.0
OG157	0.0
OG158	135.0
OG159	179.0
OG160	1202.0
OG161	4.0
OG162	115.0
OG163	1.0
OG164	0.0
OG165	3.0
OG166	2096.0
OG167	407.0
OG168	9.0
OG169	4.0
OG170	2.0
OG171	150.0
OG172	266.0
OG173	104.0
OG174	0.0
OG175	22.0
OG176	72.0
OG177	2.0
OG178	26.0
OG179	288.0
OG180	0.0
OG181	4354.0
OG182	91.0
OG183	0.0
OG184	840.0
OG185	15364.0
OG186	406.0
OG187	934.0
OG188	1.0
OG189	2127.0
OG190	204.0
OG191	12.0
OG192	2640.0
OG193	0.0
OG194	481.0
OG195	19.0
OG196	27.0
OG197	4.0
OG198	0.0
OG199	2419.0
OG200	308.0
OG201	0.0
OG202	0.0
OG203	152.0
OG204	248.0
OG205	67.0
OG206	252.0
OG207	34.0
OG208	23.0
OG209	256.0
OG210	24.0
OG211	0.0
OG212	34.0
OG213	424.0
OG214	0.0
OG215	0.0
OG216	2.0
OG217	2.0
OG218	959.0
OG219	7.0
OG220	6.0
OG221	6.0
OG222	106.0
OG223	483.0
OG224	0.0
OG225	212.0
OG226	2355.0
OG227	116.0
OG228	0.0
OG229	4.0
OG230	12.0
OG231	200.0
OG232	32.0
OG233	440.0
OG234	45.0
OG235	575.0
OG236	374.0
