Id,Description,baseMean,All_norm,minus.ST_norm,FoldChange.minusSTvsAll,log2FoldChange.minusSTvsAll,pvalue.minusSTvsAll,padj.minusSTvsAll
OG1286,Ammonium transporter,187.38,14.94188862,412.48668280000004,27.772,4.796,4.869999999999999e-107,5.579999999999999e-104
OG1285,Nitrogen regulatory protein P-II,47.56,19.85840708,375.6548673,18.962,4.245,4.379999999999999e-34,9.419999999999999e-32
OG1318,HTH-type transcriptional regulator GlnR,3285.41,1380.090909,19410.90909,14.075,3.815,1.2899999999999998e-139,2.2199999999999996e-136
OG1313,Glutamine synthetase,7415.96,850.7242152000001,11853.53587,13.937000000000001,3.801,1.1699999999999994e-196,4.0299999999999982e-193
OG1724,Membrane-bound lytic murein transglycosylase F,2500.75,283.38095239999996,1852.4523809999998,6.534,2.708,4.1299999999999997e-75,3.5499999999999993e-72
OG6194,Pyrrolidone-carboxylate peptidase,7.03,3.50625,17.53125,5.593999999999999,2.484,0.000970505,0.0048147120000000005
OG1723,Arginine transport ATP-binding protein ArtM,696.98,282.39271260000004,1364.267206,4.834,2.273,3.0199999999999996e-56,1.73e-53
OG1123,Hypoxanthine-guanine phosphoribosyltransferase,867.65,352.1833333,1507.427778,4.289,2.101,4.6100000000000005e-24,5.66e-22
OG832,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",517.85,116.5109034,484.1028037,4.155,2.055,1.6299999999999996e-20,1.4e-18
OG2576,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,235.86,63.22064057,256.8754448,4.0489999999999995,2.0180000000000002,3.12e-18,2.1e-16
OG606,Phosphoribosylformylglycinamidine synthase subunit PurS,286.38,261.375,1009.375,3.877,1.955,1.24e-19,9.45e-18
OG1440,Guanine/hypoxanthine permease PbuO,3437.67,587.0930232999999,2235.302326,3.8080000000000003,1.929,4.270000000000001e-37,1.3299999999999998e-34
OG1617,Orotidine 5'-phosphate decarboxylase,474.35,175.164557,664.3628692000001,3.78,1.9180000000000001,4.41e-23,4.74e-21
OG4526,hypothetical protein,106.63,48.73333333,177.93333330000002,3.73,1.899,1.45e-13,5.72e-12
OG599,"Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit",393.65,124.19083970000001,460.3625954,3.713,1.892,1.02e-20,8.959999999999999e-19
OG591,N5-carboxyaminoimidazole ribonucleotide mutase,1107.93,558.6770186000001,2060.484472,3.6910000000000003,1.8840000000000001,1.15e-17,7.19e-16
OG3852,hypothetical protein,473.8,235.97619049999997,857.0833332999998,3.634,1.8619999999999999,1.87e-18,1.28e-16
OG1300,50S ribosomal protein L31 type B,2037.59,1625.283951,5903.197531,3.6310000000000002,1.86,0.001918889,0.00823613
OG3885,hypothetical protein,213.35,268.1084337,921.4819277,3.415,1.7719999999999998,1.9099999999999996e-36,5.47e-34
OG3496,hypothetical protein,25.5,11.3021978,38.01648352,3.341,1.74,3.4899999999999995e-05,0.000306883
