Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1254	167	242	175	598	590	439	317	271	367	282	93	270	800	1085	1021	320	367	473	190	217	239	441	418	441	242	278	291	265	255	222	935	774	783	373	407	361	396.16	215	433	270	247	831	380	3.863	1.95	15.264	1.32680920736431e-52	1.86531073738769e-50	0.0051	0.0177	0.0086	0.0086	TRUE	0.0465
OG772	446	678	378	2197	2165	1343	823	683	826	793	325	782	1342	2431	2095	1074	1118	1646	506	607	517	1619	1534	1350	627	700	654	747	889	644	1569	1733	1607	1253	1239	1255	1058.42	543	1501	660	760	1636	1249	3.007	1.588	13.657	1.8329476034524e-42	1.91613522545524e-40	0.0068	0.0143	0.0084	0.0084	TRUE	0.0731
OG1399	976	1249	876	2798	3031	1940	2105	1751	2010	1415	544	1446	2209	3493	3657	1831	2253	2865	1108	1118	1198	2062	2148	1950	1605	1794	1591	1332	1489	1191	2583	2490	2806	2136	2498	2184	1849.04	1141	2053	1663	1337	2626	2273	2.303	1.204	12.118	8.43004433060417e-34	6.48477183695721e-32	0.0045	0.0135	0.0064	0.0064	TRUE	0.0373
OG1440	1218	1747	1103	9244	7265	4975	3636	3104	3696	1998	758	1963	5442	6872	5776	3376	2824	4259	1382	1563	1509	6814	5148	5001	2772	3180	2926	1881	2075	1617	6364	4899	4432	3939	3130	3246	3437.67	1485	5654	2959	1858	5232	3438	3.522	1.816	11.977	4.69430439188234e-33	3.35766298345689e-31	0.0176	0.013	0.0161	0.0161	TRUE	0.1452
OG282	82	102	87	396	282	184	159	103	167	135	48	147	415	565	599	230	249	314	93	91	119	292	200	185	121	106	132	127	131	121	485	403	460	268	276	239	213.88	101	226	120	126	449	261	4.469	2.16	11.884	1.43232854643736e-32	9.73267247304189e-31	0.0149	0.0222	0.0173	0.0173	TRUE	0.2512
OG1216	1907	2460	1603	5307	4080	3289	2748	2624	3412	3892	1438	2735	6604	13404	14355	5408	6468	8352	2164	2201	2193	3912	2891	3306	2095	2689	2701	3664	3936	2253	7723	9556	11014	6310	7170	6366	4563.45	2186	3370	2495	3284	9431	6615	4.315	2.109	11.769	5.60919220617282e-32	3.62994867056612e-30	0.0253	0.0128	0.0228	0.0228	TRUE	0.0598
OG1138	233	344	250	555	627	319	343	233	298	465	148	552	716	1350	1076	437	448	645	264	308	342	409	444	321	261	239	236	438	405	455	837	962	826	510	497	492	458.07	305	391	245	433	875	500	2.88	1.526	11.728	9.21343442420146e-32	5.69138971931354e-30	0.0071	0.0169	0.0099	0.0099	TRUE	0.0915
OG1279	425	572	429	1408	1319	922	787	644	795	891	292	827	1194	2227	2130	832	1263	1425	482	512	587	1038	935	927	600	660	629	839	799	681	1396	1588	1634	971	1400	1086	931.32	527	967	630	773	1539	1152	2.927	1.55	11.486	1.54878093860135e-30	8.8934927981376e-29	0.0102	0.0146	0.0118	0.0118	TRUE	0.1396
OG2067	476	682	539	701	775	483	504	363	512	761	315	876	1224	2403	2280	829	980	1331	540	610	737	517	549	486	384	372	405	716	862	722	1431	1713	1749	967	1086	1015	825.7	629	517	387	767	1631	1023	2.601	1.379	11.309	1.1825009187801e-29	6.42807499448863e-28	0.0073	0.0149	0.0095	0.0095	TRUE	0.0842
OG4349	2177	3068	2086	11919	10529	7786	5858	4552	5782	3859	1402	4372	4602	7631	6225	4248	4876	6411	2470	2745	2853	8786	7461	7827	4466	4664	4577	3633	3837	3601	5381	5440	4776	4956	5405	4887	4875.93	2689	8025	4569	3690	5199	5083	1.933	0.951	10.873	1.54478659602205e-27	7.40952347291987e-26	0.0034	0.0128	0.0052	0.0052	TRUE	0.0281
