Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG3906	5531	8263	6836	5700	6186	4856	8	17	10	13815	4872	14911	6529	17652	15548	7176	8618	12108	6277	7394	9350	4201	4384	4881	6	17	8	13005	13334	12282	7635	12584	11929	8372	9553	9230	7469.06	7674	4489	10	12874	10716	9052	1074.674	10.07	33.745	1.26936605730383e-249	5.44558038583343e-246	0.027	0.0126	0.0216	0.0216	TRUE	0.351
OG1991	2419	3998	3682	1760	1946	1520	40	31	45	5895	1540	6767	2690	7640	5095	3186	2285	3870	2745	3577	5036	1297	1379	1528	30	32	36	5549	4215	5574	3146	5447	3909	3717	2533	2950	2927.81	3786	1401	33	5113	4167	3067	127.67	6.996	27.867	6.7772172451213e-171	7.26856549539259e-168	0.0424	0.0131	0.0323	0.0323	TRUE	0.0825
OG2671	857	1324	1151	968	1012	767	169	117	158	2146	651	2375	1648	3745	3747	1453	1687	2114	973	1185	1574	714	717	771	129	120	125	2020	1782	1956	1927	2670	2875	1695	1870	1611	1372.99	1244	734	125	1919	2491	1725	19.982	4.321	25.186	5.63940678710403e-140	2.41930551166763e-137	0.0191	0.0139	0.0176	0.0176	TRUE	0.1778
OG1080	550	1070	916	813	793	681	20	26	24	1701	600	1804	1532	4727	3474	1370	1037	1717	624	957	1253	599	562	685	15	27	19	1601	1642	1486	1791	3370	2665	1598	1150	1309	1186.34	945	615	20	1576	2609	1352	130.722	7.03	24.869	1.61690924716944e-136	6.30594606396082e-134	0.0493	0.0141	0.0361	0.0361	TRUE	0.0199
OG2232	579	834	617	231	318	233	41	38	41	1025	290	751	1108	2129	1330	642	638	908	657	746	844	170	225	234	31	39	32	965	794	619	1296	1518	1020	749	707	692	629.96	749	210	34	793	1278	716	37.614	5.233	24.099	2.54534877069482e-128	8.39965094329291e-126	0.0236	0.0157	0.0211	0.0211	TRUE	0.0254
OG2556	680	1007	1080	838	916	649	52	30	64	1953	815	2110	1263	2920	2680	1218	1121	1635	772	901	1477	618	649	652	40	31	51	1838	2231	1738	1477	2082	2056	1421	1243	1246	1140.12	1050	640	41	1936	1872	1303	46.007	5.524	23.978	4.67055620549104e-127	1.43119186582547e-124	0.034	0.0142	0.0275	0.0275	TRUE	0.4982
OG1986	315	460	430	451	429	319	21	14	23	855	249	879	740	2024	1548	617	688	868	357	412	588	332	304	321	16	14	18	805	681	724	865	1443	1188	720	763	662	567.41	452	319	16	737	1165	715	71.621	6.162	23.621	2.36652869575721e-123	5.9720047675285e-121	0.0259	0.0161	0.0226	0.0226	TRUE	0.0267
OG264	946	1113	925	850	669	758	117	114	134	1690	573	1761	1385	2661	3151	1120	1435	1754	1074	996	1265	627	474	762	89	117	106	1591	1568	1451	1620	1897	2418	1307	1591	1337	1127.09	1112	621	104	1537	1978	1412	19.095	4.255	23.14	1.84499096114087e-118	4.16579538068122e-116	0.0226	0.0142	0.02	0.02	TRUE	0.0567
OG759	1004	1328	1171	1052	1158	820	313	240	295	2281	693	2562	1757	3781	3201	1256	1719	2042	1139	1188	1602	775	821	824	239	246	234	2147	1897	2110	2055	2696	2456	1465	1906	1557	1408.64	1310	807	240	2051	2402	1643	10.047	3.329	23.001	4.52186448723266e-117	9.69939932511406e-115	0.0117	0.0138	0.0131	0.0131	TRUE	0.1034
OG8	319	488	433	458	415	313	40	30	36	916	260	1075	666	1745	1418	618	549	958	362	437	592	338	294	315	30	31	29	862	712	885	779	1244	1088	721	609	730	558.72	464	316	30	820	1037	687	34.762	5.119	22.703	4.23041027311337e-114	8.64212384364588e-112	0.0248	0.0161	0.022	0.022	TRUE	0.0588
