Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1352	5234	7533	4289	3755	3232	2585	8528	5989	7741	6328	2522	7804	2562	3788	4110	5614	5011	8690	5939	6741	5867	2768	2290	2598	6501	6137	6128	5957	6902	6428	2996	2701	3153	6550	5555	6624	5101.97	6182	2552	6255	6429	2950	6243	2.451	1.294	12.556	3.69847792335408e-36	5.79120001498527e-34	0.0058	0.0128	0.0074	0.0074	TRUE	0.0377
OG1101	833	1037	599	902	928	628	1915	1387	1812	731	211	943	283	500	485	453	782	834	945	928	819	665	658	631	1460	1421	1435	688	577	777	331	356	372	529	867	636	783.05	897	651	1439	681	353	677	2.208	1.143	7.903	2.72080367777991e-15	8.38096739434173e-14	0.0139	0.015	0.0141	0.0141	TRUE	0.2323
OG2455	347	462	291	273	277	175	590	356	560	0	0	2	404	528	376	217	220	367	394	413	398	201	196	176	450	365	443	0	0	2	472	376	288	253	244	280	275.13	402	191	419	1	379	259	2.193	1.133	6.881	5.92882076910214e-12	1.35033384547187e-10	0	0.02	0.0164	0.0164	TRUE	0.198
OG2712	605	941	495	883	955	666	1813	1366	1559	741	263	1040	0	0	0	533	345	708	687	842	677	651	677	669	1382	1400	1234	698	720	857	0	0	0	622	382	540	668.7	735	666	1339	758	0	515	2.011	1.008	6.573	4.94015308854631e-11	1.02569587330149e-09	0.0163	0.0155	0.016	0.016	TRUE	0.1918
OG5077	502	800	515	511	580	333	998	660	873	0	0	1	1316	1755	1501	661	577	967	570	716	704	377	411	335	761	676	691	0	0	1	1539	1251	1152	771	640	737	629.5	663	374	709	0	1314	716	1.893	0.921	6.561	5.3276063981394e-11	1.10006290352791e-09	0	0.0157	0.0125	0.0125	TRUE	0.0718
OG4576	368	487	308	252	271	219	521	352	486	34	12	38	322	375	358	209	198	353	418	436	421	186	192	220	397	361	385	32	33	31	377	267	275	244	219	269	264.57	425	199	381	32	306	244	1.918	0.94	6.56	5.36535549880914e-11	1.10180360461884e-09	0	0.0203	0.0116	0.0116	TRUE	0.1432
OG2323	1553	2430	1203	1045	1385	959	2957	2117	2451	1134	378	1487	1380	1733	1079	1192	894	1647	1762	2174	1645	770	981	964	2254	2169	1940	1068	1035	1225	1614	1235	828	1391	991	1255	1405.71	1860	905	2121	1109	1226	1212	2.344	1.229	6.443	1.16932433010358e-10	2.30657373874932e-09	0.0295	0.0138	0.0256	0.0256	TRUE	0.0894
OG2711	715	1321	649	1250	1224	1054	2621	2035	2429	1093	475	1525	0	0	0	740	501	1016	811	1182	888	921	867	1059	1998	2085	1923	1029	1300	1256	0	0	0	863	555	774	972.99	960	949	2002	1195	0	731	2.11	1.077	6.443	1.17231395450005e-10	2.30657373874932e-09	0.0221	0.0145	0.0195	0.0195	TRUE	0.1719
OG741	5865	8014	4474	8796	9630	6820	15253	10413	13219	6305	2079	8541	1445	2129	1724	3821	3620	6399	6656	7171	6120	6484	6824	6856	11628	10670	10465	5935	5690	7035	1690	1518	1323	4458	4013	4878	6078.41	6649	6721	10921	6220	1510	4450	1.625	0.7	6.337	2.3468707350116e-10	4.4097701110868e-09	0.0076	0.0127	0.0087	0.0087	TRUE	0.0538
OG4842	99	140	117	78	71	52	158	120	184	5	0	2	215	257	300	108	146	182	112	125	160	57	50	52	120	123	146	5	0	2	251	183	230	126	162	139	113.59	132	53	130	2	221	142	2.431	1.282	6.286	3.25052287371965e-10	6.04725988091011e-09	0.0124	0.0309	0.0191	0.0191	TRUE	0.273
