Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1362	3266	3935	2362	13478	11689	8502	8758	6657	8080	4872	1856	5881	3096	5115	4778	5583	6586	8461	3706	3521	3231	9935	8283	8546	6676	6821	6397	4586	5080	4844	3620	3647	3666	6514	7301	6450	5712.42	3486	8921	6631	4837	3644	6755	1.937	0.954	10.882	1.40283621287003e-27	1.95648890488274e-24	0.0036	0.0127	0.0053	0.0053	TRUE	0.0403
OG4349	2177	3068	2086	11919	10529	7786	5858	4552	5782	3859	1402	4372	4602	7631	6225	4248	4876	6411	2470	2745	2853	8786	7461	7827	4466	4664	4577	3633	3837	3601	5381	5440	4776	4956	5405	4887	4875.93	2689	8025	4569	3690	5199	5083	1.89	0.918	10.485	1.00844501452421e-25	1.05483348519233e-22	0.0034	0.0128	0.0052	0.0052	TRUE	0.0281
OG595	2352	3005	1866	13015	11684	7875	5274	4156	5137	4302	1373	4178	4476	7573	6619	4181	6069	7596	2669	2689	2552	9593	8280	7916	4020	4258	4067	4050	3758	3441	5234	5399	5078	4878	6728	5790	5022.3	2637	8596	4115	3750	5237	5799	2.199	1.137	10.237	1.34871904804273e-24	1.02954892982162e-21	0.0072	0.0128	0.0086	0.0086	TRUE	0.0475
OG772	446	678	378	2197	2165	1343	823	683	826	793	325	782	1342	2431	2095	1074	1118	1646	506	607	517	1619	1534	1350	627	700	654	747	889	644	1569	1733	1607	1253	1239	1255	1058.42	543	1501	660	760	1636	1249	2.294	1.198	10.229	1.47640859917058e-24	1.02954892982162e-21	0.0068	0.0143	0.0084	0.0084	TRUE	0.0731
OG1399	976	1249	876	2798	3031	1940	2105	1751	2010	1415	544	1446	2209	3493	3657	1831	2253	2865	1108	1118	1198	2062	2148	1950	1605	1794	1591	1332	1489	1191	2583	2490	2806	2136	2498	2184	1849.04	1141	2053	1663	1337	2626	2273	1.992	0.994	9.974	1.97749561346485e-23	1.03423020584212e-20	0.0045	0.0135	0.0064	0.0064	TRUE	0.0373
OG1216	1907	2460	1603	5307	4080	3289	2748	2624	3412	3892	1438	2735	6604	13404	14355	5408	6468	8352	2164	2201	2193	3912	2891	3306	2095	2689	2701	3664	3936	2253	7723	9556	11014	6310	7170	6366	4563.45	2186	3370	2495	3284	9431	6615	3.026	1.597	8.908	5.18715143218625e-19	1.66946473786671e-16	0.0253	0.0128	0.0228	0.0228	TRUE	0.0598
OG3852	227	224	130	1433	829	665	658	549	873	359	108	392	172	180	247	705	734	936	258	200	178	1056	587	668	502	563	691	338	296	323	201	128	190	823	814	713	473.8	212	770	585	319	173	783	3.69	1.884	8.852	8.56514092677516e-19	2.55975354554481e-16	0.0342	0.0168	0.0293	0.0293	TRUE	0.2945
OG486	550	649	469	1515	1439	1027	982	738	981	811	255	846	833	1383	1558	906	1203	1537	624	581	642	1117	1020	1032	749	756	777	763	698	697	974	986	1195	1057	1334	1172	898.47	616	1056	761	719	1052	1188	1.932	0.95	8.668	4.41113897971306e-18	1.23041369940796e-15	0.0052	0.0147	0.0073	0.0073	TRUE	0.0577
OG591	453	508	346	3232	1783	1666	1136	942	1573	663	278	732	645	1171	1710	1301	1792	2244	514	455	473	2382	1264	1675	866	965	1245	624	761	603	754	835	1312	1518	1986	1711	1107.93	481	1774	1025	663	967	1738	3.617	1.855	8.419	3.80296380631451e-17	9.94475035351243e-15	0.0441	0.0142	0.0335	0.0335	TRUE	0.0567
OG1279	425	572	429	1408	1319	922	787	644	795	891	292	827	1194	2227	2130	832	1263	1425	482	512	587	1038	935	927	600	660	629	839	799	681	1396	1588	1634	971	1400	1086	931.32	527	967	630	773	1539	1152	2.189	1.131	8.331	7.99730253914558e-17	1.85892854576584e-14	0.0102	0.0146	0.0118	0.0118	TRUE	0.1396
OG2022	5145	6437	4742	9071	10381	7604	8372	6594	8244	9325	2978	9736	9002	17233	13795	8060	11755	15735	5838	5760	6486	6686	7356	7644	6382	6756	6527	8778	8150	8020	10527	12286	10584	9404	13031	11994	8456.07	6028	7229	6555	8316	11132	11476	1.904	0.929	8.283	1.20427731716244e-16	2.51934814750382e-14	0.0076	0.0126	0.0089	0.0089	TRUE	0.1014
OG832	194	216	136	1386	886	838	461	460	645	359	119	314	383	868	1034	488	770	907	220	193	186	1022	628	842	351	471	511	338	326	259	448	619	793	569	854	691	517.85	200	831	444	308	620	705	3.526	1.818	8.189	2.64487429210905e-16	5.03007001735649e-14	0.0398	0.0164	0.032	0.032	TRUE	0.0399
OG1569	2834	3609	2342	9324	8744	6352	6614	4800	6335	3387	1236	3819	6118	7780	7277	4423	5605	7511	3216	3229	3203	6873	6196	6385	5042	4918	5015	3188	3383	3146	7154	5546	5583	5160	6213	5725	4954.35	3216	6485	4992	3239	6094	5699	1.772	0.826	8.162	3.29947462172738e-16	5.75208409054473e-14	0.0056	0.0128	0.0071	0.0071	TRUE	0.0935
OG1313	1691	2265	1565	43182	35196	27895	2807	2312	2994	3560	977	4070	3655	6768	6234	2964	4284	5567	1919	2027	2141	31830	24942	28040	2140	2369	2370	3351	2674	3352	4274	4825	4783	3458	4749	4244	7415.96	2029	28271	2293	3126	4627	4150	2.046	1.033	8.094	5.79328763046787e-16	8.65682694495627e-14	0.0105	0.0126	0.0113	0.0113	TRUE	0.0097
OG1592	3309	3974	2700	6791	6526	4823	5494	4601	5494	5277	1823	5353	5016	9114	9972	5179	7750	9445	3755	3556	3693	5006	4625	4848	4188	4714	4349	4968	4989	4409	5866	6498	7651	6042	8591	7200	5274.87	3668	4826	4417	4789	6672	7278	1.984	0.989	8.095	5.73151382158429e-16	8.65682694495627e-14	0.0097	0.0127	0.0105	0.0105	TRUE	0.0414
OG1610	6123	7126	4269	25416	25262	14604	14431	11195	13851	8624	2972	9367	7849	12669	10616	9069	13600	16311	6948	6376	5839	18734	17902	14680	11001	11471	10966	8118	8134	7716	9178	9032	8145	10581	15076	12433	10685.05	6388	17105	11146	7989	8785	12697	1.987	0.991	8.095	5.73736619089841e-16	8.65682694495627e-14	0.0099	0.0125	0.0107	0.0107	TRUE	0.0715
OG1440	1218	1747	1103	9244	7265	4975	3636	3104	3696	1998	758	1963	5442	6872	5776	3376	2824	4259	1382	1563	1509	6814	5148	5001	2772	3180	2926	1881	2075	1617	6364	4899	4432	3939	3130	3246	3437.67	1485	5654	2959	1858	5232	3438	2.315	1.211	7.972	1.56557345455775e-15	2.11301913995795e-13	0.0176	0.013	0.0161	0.0161	TRUE	0.1452
OG1318	773	967	684	17402	17753	12207	1152	859	1187	1440	495	1747	1457	2808	2733	1271	2428	2567	877	865	936	12827	12581	12271	878	880	940	1356	1355	1439	1704	2002	2097	1483	2691	1957	3285.41	893	12560	899	1383	1934	2044	2.29	1.196	7.832	4.80483162577849e-15	6.0919440976537e-13	0.0165	0.013	0.0159	0.0159	TRUE	0.2926
OG1166	420	451	296	1244	999	692	571	528	786	563	175	424	1131	1800	1932	819	1142	1323	477	404	405	917	708	696	435	541	622	530	479	349	1323	1283	1482	956	1266	1008	771.13	429	774	533	453	1363	1077	2.513	1.329	7.689	1.48303701834442e-14	1.6770342931765e-12	0.0207	0.0151	0.0198	0.0198	TRUE	0.1719
OG604	2443	3141	1825	11972	8916	7721	5364	4210	5248	3584	1447	3637	4100	6881	8115	4188	6175	7765	2772	2811	2496	8825	6318	7761	4089	4314	4155	3374	3960	2996	4794	4906	6226	4886	6845	5919	4858.18	2693	7635	4186	3443	5309	5883	2.184	1.127	7.57	3.74437940817286e-14	3.59571727439162e-12	0.0167	0.0128	0.0157	0.0157	TRUE	0.0383
OG488	115	153	98	463	411	253	258	169	215	168	46	188	358	485	517	237	331	379	131	137	134	341	291	254	197	173	170	158	126	155	419	346	397	277	367	289	242.26	134	295	180	146	387	311	2.318	1.213	7.535	4.88178468460581e-14	4.34582704689164e-12	0.0094	0.021	0.0129	0.0129	TRUE	0.085
OG773	1625	2171	1415	2866	2953	2147	2547	1888	2403	2775	962	2837	2729	4899	4238	2376	3238	3885	1844	1943	1935	2113	2093	2158	1942	1935	1902	2612	2633	2337	3191	3493	3252	2772	3589	2961	2483.57	1907	2121	1926	2527	3312	3107	1.629	0.704	7.527	5.20238580841012e-14	4.53474629633082e-12	0.0038	0.0132	0.0058	0.0058	TRUE	0.0739
OG599	182	176	115	921	1017	531	440	409	492	298	131	254	272	499	603	367	546	615	207	157	157	679	721	534	335	419	390	281	359	209	318	356	463	428	605	469	393.65	174	645	381	283	379	501	2.881	1.527	7.482	7.29391310492087e-14	6.2194087633936e-12	0.0297	0.0177	0.0257	0.0257	TRUE	0.1303
OG606	102	133	98	832	532	434	299	234	340	155	50	206	243	400	607	284	402	470	116	119	134	613	377	436	228	240	269	146	137	170	284	285	466	331	446	358	286.38	123	475	246	151	345	378	3.083	1.625	7.48	7.43237184917972e-14	6.2194087633936e-12	0.032	0.0197	0.0281	0.0281	TRUE	0.1789
OG4407	223	308	207	1167	1051	666	626	463	624	290	123	355	731	921	876	436	491	746	253	276	283	860	745	669	477	474	494	273	337	292	855	657	672	509	544	569	513.28	271	758	482	301	728	541	2.001	1.001	7.454	9.03312227868023e-14	7.32859433325529e-12	0.0077	0.0165	0.01	0.01	TRUE	0.0848
OG282	82	102	87	396	282	184	159	103	167	135	48	147	415	565	599	230	249	314	93	91	119	292	200	185	121	106	132	127	131	121	485	403	460	268	276	239	213.88	101	226	120	126	449	261	2.598	1.377	7.431	1.07819149055868e-13	8.51160980471231e-12	0.0149	0.0222	0.0173	0.0173	TRUE	0.2512
OG1605	437	516	372	1479	1357	1098	800	654	900	511	209	538	955	1429	1536	755	934	1072	496	462	509	1090	962	1104	610	670	713	481	572	443	1117	1019	1178	881	1035	817	786.56	489	1052	664	499	1105	911	1.864	0.899	7.398	1.38747279619288e-13	1.0554883962311e-11	0.0066	0.015	0.0089	0.0089	TRUE	0.0563
OG754	310	266	200	1168	1429	648	657	468	620	414	139	465	823	1106	905	524	670	933	352	238	274	861	1013	651	501	480	491	390	380	383	962	788	694	611	743	711	584.62	288	842	491	384	815	688	2.397	1.261	7.378	1.60333190126138e-13	1.17690187278555e-11	0.0194	0.0159	0.0184	0.0184	TRUE	0.046
OG1123	321	317	270	1988	2282	1265	518	488	709	633	232	524	1389	2028	1450	694	1190	1071	364	284	369	1465	1617	1272	395	500	561	596	635	432	1624	1446	1112	810	1319	816	867.65	339	1451	485	554	1394	982	2.899	1.536	7.368	1.7328183227807e-13	1.25001928664042e-11	0.0353	0.0148	0.0291	0.0291	TRUE	0.1707
OG4340	347	377	309	1334	1071	856	455	411	577	572	174	639	688	1304	1389	701	800	944	394	337	423	983	759	860	347	421	457	538	476	526	805	930	1066	818	887	720	652.58	385	867	408	513	934	808	2.105	1.074	7.303	2.8241117894897e-13	1.87556884559126e-11	0.0127	0.0156	0.0135	0.0135	TRUE	0.0384
OG2069	1111	1207	890	2568	2317	1618	1917	1474	1966	1489	542	1483	1754	2940	2952	1583	2203	2659	1261	1080	1217	1893	1642	1626	1461	1510	1556	1402	1483	1222	2051	2096	2265	1847	2442	2027	1671.22	1186	1720	1509	1369	2137	2105	1.776	0.829	7.214	5.41742828791856e-13	3.3830626800972e-11	0.0071	0.0136	0.0088	0.0088	TRUE	0.0783
OG1467	550	715	442	1152	1226	787	1096	741	1030	807	303	832	814	1308	1190	815	959	1230	624	640	605	849	869	791	836	759	815	760	829	685	952	932	913	951	1063	938	822.83	623	836	803	758	932	984	1.577	0.657	7.102	1.23087815434427e-12	7.25351295461467e-11	0.0018	0.0149	0.0048	0.0048	TRUE	0.0289
OG396	615	566	539	858	1173	664	675	521	675	1276	650	1307	1260	2189	1840	1192	1920	1921	698	506	737	632	831	667	515	534	534	1201	1779	1077	1473	1561	1412	1391	2128	1464	1063.41	647	710	528	1352	1482	1661	2.57	1.362	7.092	1.31813216969208e-12	7.55488355889267e-11	0.0313	0.0143	0.0254	0.0254	TRUE	0.2893
OG1098	1696	2569	1990	7147	4906	4536	3097	2382	3125	4059	1705	4018	4986	10916	12046	4785	4993	6933	1925	2299	2722	5268	3477	4560	2361	2441	2474	3821	4666	3310	5830	7782	9242	5583	5535	5285	4365.52	2315	4435	2425	3932	7618	5468	2.362	1.24	7.062	1.63562666718579e-12	9.24792158852071e-11	0.0251	0.0128	0.0219	0.0219	TRUE	0.0301
OG4391	57	65	60	67	93	56	0	2	0	77	31	108	260	334	366	138	191	228	65	58	82	49	66	56	0	2	0	72	85	89	304	238	281	161	212	174	110.8	68	57	1	82	274	182	2.695	1.43	6.979	2.97056429311558e-12	1.59344115415328e-10	0.0118	0.0314	0.0192	0.0192	TRUE	0.3191
OG4556	183	190	113	755	565	459	366	326	437	230	103	195	213	321	320	333	434	539	208	170	155	557	400	461	279	334	346	217	282	161	249	229	246	389	481	411	309.58	178	473	320	220	241	427	2.402	1.264	6.907	4.93458194071139e-12	2.54892479505388e-10	0.0204	0.0192	0.0198	0.0198	TRUE	0.119
OG1202	1443	1922	1375	4362	3602	2994	2438	1960	2723	2405	814	2479	2429	4849	5149	2547	3020	4016	1637	1720	1881	3215	2553	3010	1859	2008	2156	2264	2228	2042	2840	3457	3950	2972	3348	3061	2566.68	1746	2926	2008	2178	3416	3127	1.791	0.841	6.859	6.94892119166641e-12	3.42050426658026e-10	0.0089	0.0132	0.0104	0.0104	TRUE	0.0466
OG1356	2742	3836	2225	8256	8137	6520	4435	3743	4854	3630	1176	4091	3014	4344	3676	4029	4707	7013	3112	3433	3043	6086	5766	6554	3381	3835	3843	3417	3219	3370	3524	3097	2820	4701	5218	5346	4097.98	3196	6135	3686	3335	3147	5088	1.592	0.671	6.86	6.87716217500299e-12	3.42050426658026e-10	0.0049	0.0129	0.0066	0.0066	TRUE	0.0439
OG634	950	1328	867	2602	2251	1677	1998	1667	2279	1336	461	1520	1370	2320	2659	1635	1753	2478	1078	1188	1186	1918	1595	1686	1523	1708	1804	1258	1262	1252	1602	1654	2040	1908	1943	1889	1582.98	1151	1733	1678	1257	1765	1913	1.662	0.733	6.818	9.23800734978888e-12	4.39225258539962e-10	0.0054	0.0137	0.0076	0.0076	TRUE	0.0752
OG1240	4126	4893	3260	9168	8289	6265	6858	5602	7581	5874	2096	6504	6022	9844	11009	5593	8137	9898	4682	4378	4459	6758	5874	6298	5228	5740	6002	5530	5736	5357	7042	7018	8446	6525	9020	7545	6202.16	4506	6310	5657	5541	7502	7697	1.708	0.772	6.757	1.4059569714158e-11	6.60957749258845e-10	0.0082	0.0127	0.0092	0.0092	TRUE	0.0669
OG1646	416	521	333	777	810	612	822	725	922	604	215	677	721	1112	1016	622	652	916	472	466	455	573	574	615	627	743	730	569	588	558	843	793	780	726	723	698	640.66	464	587	700	572	805	716	1.538	0.621	6.668	2.59732984151421e-11	1.1439187428311e-09	0	0.0156	0.0043	0.0043	TRUE	0.0341
OG646	3108	4278	2896	8669	7826	5896	5800	5116	6067	4432	1480	4517	5376	8367	7856	4874	5144	7073	3527	3828	3961	6390	5546	5927	4421	5242	4803	4172	4051	3721	6287	5965	6027	5687	5702	5392	5035.99	3772	5954	4822	3981	6093	5594	1.483	0.568	6.655	2.82355415294485e-11	1.23059901832513e-09	0.0032	0.0128	0.005	0.005	TRUE	0.0234
OG1265	1632	2064	1397	4707	5411	3386	3204	2514	3217	2496	803	2392	3563	5536	4581	2302	3241	3927	1852	1847	1911	3470	3835	3404	2442	2576	2547	2350	2198	1970	4166	3947	3515	2686	3593	2993	2850	1870	3570	2522	2173	3876	3091	1.653	0.725	6.624	3.49966729862569e-11	1.49414367116836e-09	0.0065	0.0131	0.0082	0.0082	TRUE	0.0812
OG2039	1819	1989	1390	4274	4273	3098	3222	2500	3657	2727	1273	3003	2583	4045	5591	2857	5111	5488	2064	1780	1901	3150	3028	3114	2456	2562	2895	2567	3484	2474	3020	2884	4290	3333	5666	4183	3047.31	1915	3097	2638	2842	3398	4394	2.295	1.198	6.617	3.66017482456925e-11	1.54688600666644e-09	0.0289	0.013	0.0232	0.0232	TRUE	0.0659
OG1595	664	772	504	2013	2118	1291	1231	1049	1337	885	277	858	927	1482	1485	905	1275	1522	753	691	689	1484	1501	1298	938	1075	1058	833	758	707	1084	1057	1139	1056	1413	1160	1038.62	711	1428	1024	766	1093	1210	1.701	0.766	6.581	4.67165644469614e-11	1.93526837273353e-09	0.0067	0.0144	0.0086	0.0086	TRUE	0.0853
OG1337	4841	6461	4669	18090	15582	11893	8678	8024	9772	10988	3689	10665	7974	19606	19529	8787	12688	15837	5494	5781	6386	13334	11042	11955	6615	8222	7736	10344	10096	8785	9325	13977	14983	10252	14065	12072	10025.83	5887	12110	7524	9742	12762	12130	2.061	1.043	6.572	4.95011696118157e-11	2.0305185652533e-09	0.019	0.0126	0.018	0.018	TRUE	0.1347
OG1724	928	1299	753	10823	8092	7469	2164	1667	2332	1459	546	1545	1246	1939	2586	1637	2170	2709	1053	1162	1030	7978	5734	7508	1650	1708	1846	1373	1494	1273	1457	1382	1984	1910	2405	2065	2500.75	1082	7073	1735	1380	1608	2127	1.965	0.974	6.561	5.36040673470613e-11	2.177470075535e-09	0.0155	0.0132	0.0151	0.0151	TRUE	0.0955
OG1617	187	286	145	1296	1105	784	613	563	669	365	177	347	229	462	566	419	564	672	212	256	198	955	783	788	467	577	530	344	484	286	268	329	434	489	625	512	474.35	222	842	525	371	344	542	2.432	1.282	6.558	5.44580485041577e-11	2.19088918212881e-09	0.029	0.0168	0.0241	0.0241	TRUE	0.2249
OG1185	2818	3682	2411	4676	3821	2892	2782	2289	3299	4753	1542	3709	4318	9027	10015	5028	7366	8953	3198	3295	3298	3447	2708	2907	2121	2345	2612	4474	4220	3055	5049	6436	7684	5866	8165	6825	4316.9	3264	3021	2359	3916	6390	6952	2.13	1.091	6.528	6.66300843323976e-11	2.65505021758811e-09	0.022	0.0128	0.0199	0.0199	TRUE	0.0359
OG1444	1531	2088	1409	3090	2962	2393	3116	2690	3190	2146	781	2330	1926	3283	3086	2245	2403	3543	1737	1868	1927	2278	2099	2405	2375	2756	2525	2020	2137	1919	2252	2341	2368	2619	2664	2701	2277.41	1844	2261	2552	2025	2320	2661	1.444	0.53	6.486	8.79494591411271e-11	3.38972754951342e-09	0.0021	0.0133	0.0043	0.0043	TRUE	0.0195
OG237	465	647	378	1636	1376	1117	967	785	1050	692	284	636	770	1197	1368	843	963	1225	528	579	517	1206	975	1123	737	804	831	651	777	524	900	853	1050	984	1068	934	835.61	541	1101	791	651	934	995	1.835	0.876	6.472	9.65072373108914e-11	3.6707843718979e-09	0.0103	0.0149	0.0116	0.0116	TRUE	0.1059
OG1059	601	678	447	1550	1609	1150	1238	910	1315	652	259	661	806	1208	1564	847	1258	1602	682	607	611	1143	1140	1156	944	932	1041	614	709	544	943	861	1200	988	1395	1221	929.48	633	1146	972	622	1001	1201	1.897	0.924	6.468	9.95416792274236e-11	3.75209356655442e-09	0.0126	0.0146	0.0134	0.0134	TRUE	0.0705
