Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1352	5234	7533	4289	3755	3232	2585	8528	5989	7741	6328	2522	7804	2562	3788	4110	5614	5011	8690	5939	6741	5867	2768	2290	2598	6501	6137	6128	5957	6902	6428	2996	2701	3153	6550	5555	6624	5101.97	6182	2552	6255	6429	2950	6243	2.447	1.291	12.519	5.87354659885147e-36	2.45253201316487e-33	0.0058	0.0128	0.0074	0.0074	TRUE	0.0377
OG6335	2402	3822	3609	1215	1261	921	1	0	1	7619	2878	5509	5133	15081	12812	5567	6396	7770	2726	3420	4936	896	894	926	1	0	1	7172	7877	4538	6002	10752	9830	6495	7090	5923	4415.39	3694	905	1	6529	8861	6503	7.185	2.845	12.343	5.34147697166779e-35	2.00732704595276e-32	0.0538	0.0128	0.0378	0.0378	TRUE	0.1585
OG4009	1543	2385	2117	913	864	727	1	0	0	4977	1690	3504	3396	10589	9563	3768	4506	5506	1751	2134	2896	673	612	731	1	0	0	4685	4625	2886	3971	7549	7337	4396	4995	4197	2968.88	2260	672	0	4065	6286	4529	6.742	2.753	11.893	1.29157303280451e-32	4.41248314298122e-30	0.054	0.0131	0.0379	0.0379	TRUE	0.4211
OG1091	2819	3702	3261	1721	2004	1450	829	667	824	6439	2668	4396	4799	15083	11716	5463	7082	9094	3199	3313	4460	1269	1420	1458	632	683	652	6061	7302	3621	5612	10753	8989	6374	7851	6932	4476.69	3657	1382	656	5661	8451	7052	5.103	2.351	10.608	2.72663194635041e-26	6.83112190292323e-24	0.0425	0.0128	0.035	0.035	TRUE	0.0514
OG2563	188	246	306	97	99	72	0	0	0	593	192	406	351	1152	948	470	492	663	213	220	419	71	70	72	0	0	0	558	525	334	410	821	727	548	545	505	335.69	284	71	0	472	653	533	7.472	2.902	10.48	1.06740831730481e-25	2.50707528526967e-23	0.0692	0.0186	0.0486	0.0486	TRUE	0.172
OG2743	416	662	610	310	357	319	111	75	134	891	354	751	737	2042	1461	1379	1094	1634	472	592	834	229	253	321	85	77	106	839	969	619	862	1456	1121	1609	1213	1246	716.69	633	268	89	809	1146	1356	5.078	2.344	10.389	2.769384104484e-25	6.12196792038287e-23	0.0431	0.0153	0.0348	0.0348	TRUE	0.0469
OG2232	579	834	617	231	318	233	41	38	41	1025	290	751	1108	2129	1330	642	638	908	657	746	844	170	225	234	31	39	32	965	794	619	1296	1518	1020	749	707	692	629.96	749	210	34	793	1278	716	3.416	1.772	9.761	1.64940348969142e-22	3.44358795236687e-20	0.0236	0.0157	0.0211	0.0211	TRUE	0.0254
OG2075	622	835	621	475	633	407	264	233	300	955	411	672	760	2032	1280	1429	1205	2115	706	747	849	350	449	409	201	239	238	899	1125	554	889	1449	982	1667	1336	1612	816.65	767	403	226	859	1107	1538	3.821	1.934	9.166	4.90874313083559e-20	8.38502576621825e-18	0.0387	0.0149	0.0307	0.0307	TRUE	0.1038
OG1849	58	96	82	49	56	41	0	0	0	184	61	145	160	462	428	188	162	239	66	86	112	36	40	41	0	0	0	173	167	119	187	329	328	219	180	182	125.91	88	39	0	153	281	194	4.971	2.313	8.909	5.14691643917144e-19	7.7368447913625e-17	0.0397	0.0291	0.0356	0.0356	TRUE	0.2827
OG727	175	233	170	158	174	110	91	54	64	325	134	331	294	543	564	271	257	368	199	208	233	116	123	111	69	55	51	306	367	273	344	387	433	316	285	281	230.88	213	117	58	315	388	294	2.506	1.326	8.747	2.19294873573337e-18	3.16965436495616e-16	0.0065	0.0215	0.0114	0.0114	TRUE	0.0583
OG995	216	304	174	224	256	172	120	113	156	240	87	210	367	576	457	383	342	525	245	272	238	165	181	173	91	116	124	226	238	173	429	411	351	447	379	400	258.83	252	173	110	212	397	409	2.358	1.238	8.436	3.28564027897338e-17	3.9830439252845e-15	0.0079	0.0205	0.0119	0.0119	TRUE	0.112
OG4391	57	65	60	67	93	56	0	2	0	77	31	108	260	334	366	138	191	228	65	58	82	49	66	56	0	2	0	72	85	89	304	238	281	161	212	174	110.8	68	57	1	82	274	182	3.178	1.668	8.307	9.79020401648382e-17	1.02198851927628e-14	0.0118	0.0314	0.0192	0.0192	TRUE	0.3191
OG1178	4396	5520	3908	6382	6296	4073	4965	4087	5062	6650	1974	5943	6875	13122	10224	6456	8160	10303	4989	4939	5345	4704	4462	4094	3785	4188	4007	6260	5403	4895	8039	9355	7844	7532	9046	7854	5930.08	5091	4420	3993	5519	8413	8144	1.842	0.881	8.135	4.10719499389245e-16	4.06179968080206e-14	0.0071	0.0127	0.0083	0.0083	TRUE	0.0572
OG1311	2557	3033	1642	1554	1792	1151	1413	1123	1530	2486	757	2195	1552	2941	2306	2069	1926	3484	2902	2714	2246	1145	1270	1157	1077	1151	1211	2340	2072	1808	1815	2097	1769	2414	2135	2656	1887.7	2621	1191	1146	2073	1894	2402	2.017	1.012	8.105	5.27425056079391e-16	5.08221374550347e-14	0.0092	0.0135	0.0107	0.0107	TRUE	0.0624
OG2067	476	682	539	701	775	483	504	363	512	761	315	876	1224	2403	2280	829	980	1331	540	610	737	517	549	486	384	372	405	716	862	722	1431	1713	1749	967	1086	1015	825.7	629	517	387	767	1631	1023	1.976	0.982	8.014	1.10982166590631e-15	1.04267745511897e-13	0.0073	0.0149	0.0095	0.0095	TRUE	0.0842
OG2671	857	1324	1151	968	1012	767	169	117	158	2146	651	2375	1648	3745	3747	1453	1687	2114	973	1185	1574	714	717	771	129	120	125	2020	1782	1956	1927	2670	2875	1695	1870	1611	1372.99	1244	734	125	1919	2491	1725	2.352	1.234	7.709	1.26390539634421e-14	1.05550143988034e-12	0.0191	0.0139	0.0176	0.0176	TRUE	0.1778
OG1982	189	226	209	242	252	192	8	8	12	494	157	480	435	1057	1100	382	562	608	214	202	286	178	179	193	6	8	10	465	430	395	509	754	844	446	623	463	344.71	234	183	8	430	702	511	2.787	1.479	7.653	1.95619628287385e-14	1.56412460234892e-12	0	0.0185	0.0237	0.0237	TRUE	0.0668
OG4397	128	173	149	104	129	83	13	15	27	256	85	229	288	594	440	222	182	277	145	155	204	77	91	83	10	15	21	241	233	189	337	423	338	259	202	211	179.67	168	84	15	221	366	224	2.665	1.414	7.453	9.13567063272767e-14	6.13068754246261e-12	0.0152	0.0241	0.0189	0.0189	TRUE	0.218
OG759	1004	1328	1171	1052	1158	820	313	240	295	2281	693	2562	1757	3781	3201	1256	1719	2042	1139	1188	1602	775	821	824	239	246	234	2147	1897	2110	2055	2696	2456	1465	1906	1557	1408.64	1310	807	240	2051	2402	1643	2.036	1.026	7.376	1.63222222336267e-13	1.03964256193168e-11	0.0117	0.0138	0.0131	0.0131	TRUE	0.1034
OG2062	1559	2413	1667	2183	1683	1510	1390	1189	1535	3478	1332	2549	2819	7752	9184	3572	4341	5379	1769	2159	2280	1609	1193	1518	1060	1218	1215	3274	3645	2100	3296	5527	7046	4167	4812	4100	2888.3	2069	1440	1164	3006	5290	4360	3.028	1.598	7.254	4.05250383730526e-13	2.45634022912793e-11	0.0415	0.0131	0.0346	0.0346	TRUE	0.0314
OG6297	1226	1619	1677	1228	1492	939	0	0	2	3365	860	3371	2453	6757	4115	2327	2390	3390	1391	1449	2294	905	1057	944	0	0	2	3168	2354	2777	2868	4817	3157	2715	2649	2584	1951.72	1711	969	1	2766	3614	2649	2.734	1.451	7.235	4.63817418020448e-13	2.76670770939816e-11	0	0.0134	0.0284	0.0284	TRUE	0.3151
OG1185	2818	3682	2411	4676	3821	2892	2782	2289	3299	4753	1542	3709	4318	9027	10015	5028	7366	8953	3198	3295	3298	3447	2708	2907	2121	2345	2612	4474	4220	3055	5049	6436	7684	5866	8165	6825	4316.9	3264	3021	2359	3916	6390	6952	2.302	1.203	7.202	5.91775253160093e-13	3.36953242632671e-11	0.022	0.0128	0.0199	0.0199	TRUE	0.0359
OG364	771	923	605	438	469	373	251	207	319	885	249	643	568	1094	793	716	590	1045	875	826	828	323	332	375	191	212	253	833	681	530	664	780	608	835	654	797	588.74	843	343	219	681	684	762	2.222	1.152	7.19	6.49507263425796e-13	3.58948278816785e-11	0.017	0.0159	0.0167	0.0167	TRUE	0.0506
