Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1313	1691	2265	1565	43182	35196	27895	2807	2312	2994	3560	977	4070	3655	6768	6234	2964	4284	5567	1919	2027	2141	31830	24942	28040	2140	2369	2370	3351	2674	3352	4274	4825	4783	3458	4749	4244	7415.96	2029	28271	2293	3126	4627	4150	13.937	3.801	29.917	1.17249920067579e-196	4.03105225192338e-193	0.0105	0.0126	0.0113	0.0113	TRUE	0.0097
OG1318	773	967	684	17402	17753	12207	1152	859	1187	1440	495	1747	1457	2808	2733	1271	2428	2567	877	865	936	12827	12581	12271	878	880	940	1356	1355	1439	1704	2002	2097	1483	2691	1957	3285.41	893	12560	899	1383	1934	2044	14.075	3.815	25.154	1.28964671908919e-139	2.21690271011431e-136	0.0165	0.013	0.0159	0.0159	TRUE	0.2926
OG1286	42	27	20	1343	1268	839	40	44	44	33	12	44	70	87	81	33	41	54	48	24	27	990	899	843	30	45	35	31	33	36	82	62	62	39	45	41	187.38	33	911	37	33	69	42	27.772	4.796	21.976	4.86583847933297e-107	5.57625089731558e-104	0.0078	0.0236	0.0169	0.0169	TRUE	0.1208
OG1724	928	1299	753	10823	8092	7469	2164	1667	2332	1459	546	1545	1246	1939	2586	1637	2170	2709	1053	1162	1030	7978	5734	7508	1650	1708	1846	1373	1494	1273	1457	1382	1984	1910	2405	2065	2500.75	1082	7073	1735	1380	1608	2127	6.534	2.708	18.338	4.13057107981175e-75	3.5502258430982e-72	0.0155	0.0132	0.0151	0.0151	TRUE	0.0955
OG4349	2177	3068	2086	11919	10529	7786	5858	4552	5782	3859	1402	4372	4602	7631	6225	4248	4876	6411	2470	2745	2853	8786	7461	7827	4466	4664	4577	3633	3837	3601	5381	5440	4776	4956	5405	4887	4875.93	2689	8025	4569	3690	5199	5083	2.984	1.577	18.091	3.75321506721871e-73	2.58071068021959e-70	0.0034	0.0128	0.0052	0.0052	TRUE	0.0281
OG1723	313	412	289	2397	2506	1853	589	446	460	480	202	517	516	942	749	335	543	627	355	369	395	1767	1776	1863	449	457	364	452	553	426	603	672	575	391	602	478	696.98	373	1802	423	477	617	490	4.834	2.273	15.802	3.01631130667327e-56	1.72834637872379e-53	0.0125	0.0154	0.0132	0.0132	TRUE	0.1493
OG1362	3266	3935	2362	13478	11689	8502	8758	6657	8080	4872	1856	5881	3096	5115	4778	5583	6586	8461	3706	3521	3231	9935	8283	8546	6676	6821	6397	4586	5080	4844	3620	3647	3666	6514	7301	6450	5712.42	3486	8921	6631	4837	3644	6755	2.559	1.355	15.506	3.13584525676707e-54	1.54014799896645e-51	0.0036	0.0127	0.0053	0.0053	TRUE	0.0403
OG595	2352	3005	1866	13015	11684	7875	5274	4156	5137	4302	1373	4178	4476	7573	6619	4181	6069	7596	2669	2689	2552	9593	8280	7916	4020	4258	4067	4050	3758	3441	5234	5399	5078	4878	6728	5790	5022.3	2637	8596	4115	3750	5237	5799	3.26	1.705	15.388	1.97647616857758e-53	8.49390633446215e-51	0.0072	0.0128	0.0086	0.0086	TRUE	0.0475
OG1140	1779	2306	1451	6636	7588	5436	3917	3286	3689	2213	776	2410	2544	3469	3024	1816	1862	2465	2019	2063	1985	4891	5377	5464	2986	3367	2920	2083	2124	1985	2975	2473	2320	2119	2064	1879	2838.64	2022	5244	3091	2064	2589	2021	2.592	1.374	13.912	5.32109752490287e-44	2.0326592545129e-41	0.0048	0.0131	0.0067	0.0067	TRUE	0.0675
OG1139	1185	1451	881	4163	4566	3186	2224	1900	2315	1298	448	1365	1477	2044	1726	1054	1171	1606	1345	1298	1205	3069	3236	3203	1695	1947	1833	1222	1226	1124	1727	1457	1324	1230	1298	1224	1703.5	1283	3169	1825	1191	1503	1251	2.469	1.304	13.285	2.82879011622872e-40	9.72538041959434e-38	0.0041	0.0136	0.0064	0.0064	TRUE	0.0666
OG1440	1218	1747	1103	9244	7265	4975	3636	3104	3696	1998	758	1963	5442	6872	5776	3376	2824	4259	1382	1563	1509	6814	5148	5001	2772	3180	2926	1881	2075	1617	6364	4899	4432	3939	3130	3246	3437.67	1485	5654	2959	1858	5232	3438	3.808	1.929	12.725	4.27006202983902e-37	1.33458847805332e-34	0.0176	0.013	0.0161	0.0161	TRUE	0.1452
OG3885	109	140	79	552	570	413	391	321	412	226	94	230	0	0	0	185	184	295	124	125	108	407	404	415	298	329	326	213	257	189	0	0	0	216	204	225	213.35	119	409	318	220	0	215	3.415	1.772	12.608	1.90764366727646e-36	5.46539910674706e-34	3e-04	0.0222	0.0086	0.0086	TRUE	0.0527
OG772	446	678	378	2197	2165	1343	823	683	826	793	325	782	1342	2431	2095	1074	1118	1646	506	607	517	1619	1534	1350	627	700	654	747	889	644	1569	1733	1607	1253	1239	1255	1058.42	543	1501	660	760	1636	1249	2.759	1.464	12.587	2.48361759226192e-36	6.5682132939973e-34	0.0068	0.0143	0.0084	0.0084	TRUE	0.0731
OG1160	1507	2019	1316	4337	4496	3040	2624	1868	2472	2052	688	2193	2077	3287	3163	1692	1992	2614	1710	1807	1800	3197	3186	3056	2000	1914	1957	1932	1883	1806	2429	2343	2427	1974	2208	1993	2201.2	1772	3146	1957	1874	2400	2058	1.776	0.828	12.408	2.36302512793022e-35	5.80291456416008e-33	8e-04	0.0133	0.0028	0.0028	TRUE	0.0161
OG1285	16	13	4	356	313	197	17	14	22	12	3	9	17	21	13	8	4	11	18	12	5	262	222	198	13	14	17	11	8	7	20	15	10	9	4	8	47.56	12	227	15	9	15	7	18.962	4.245	12.172	4.38165072668305e-34	9.4150719989602e-32	0	0.0567	0.0397	0.0397	TRUE	0.0544
OG3635	258	393	247	1368	1186	1150	888	788	845	460	158	489	0	0	0	401	402	583	293	352	338	1008	840	1156	677	807	669	433	432	403	0	0	0	468	446	444	487.03	328	1001	718	423	0	453	3.053	1.61	11.845	2.28247498187561e-32	4.61596999275785e-30	0.0089	0.0167	0.0112	0.0112	TRUE	0.0267
OG607	1149	1592	914	5030	5232	2901	3275	2440	3081	1674	589	1814	1138	1536	1317	1485	1735	2156	1304	1425	1250	3708	3708	2916	2497	2500	2439	1576	1612	1494	1331	1095	1010	1733	1923	1643	1953.53	1326	3444	2479	1561	1145	1766	2.596	1.376	11.772	5.44867424726418e-32	1.04069678122746e-29	0.0077	0.0134	0.0093	0.0093	TRUE	0.0781
