Id,log2FoldChange.minus5614vsAll
OG100,0.17600000000000002
OG1001,0.46399999999999997
OG1002,0.6920000000000001
OG1004,-0.095
OG1005,0.344
OG1006,-0.079
OG1007,0.141
OG1008,0.155
OG1009,-0.605
OG1010,0.18600000000000003
OG1011,-0.013000000000000001
OG1012,-0.8959999999999999
OG1013,0.31
OG1014,0.064
OG1015,0.052000000000000005
OG1016,-0.106
OG1017,-0.235
OG1018,-1.189
OG1019,-0.134
OG1020,-0.009000000000000001
OG1021,-0.7190000000000001
OG1022,-1.308
OG1023,-0.166
OG1024,0.031
OG1025,-1.618
OG1026,0.187
OG1027,-0.27699999999999997
OG103,0.397
OG1039,-0.37200000000000005
OG104,0.035
OG1040,0.16699999999999998
OG1041,-0.139
OG1042,-0.64
OG1054,0.213
OG1059,0.5589999999999999
OG1060,-0.546
OG1061,-0.643
OG1062,-0.278
OG1063,0.077
OG1064,-0.324
OG1075,-0.192
OG1076,0.005
OG1077,0.16
OG1078,0.679
OG1079,-0.43
OG1119,-0.321
OG112,0.299
OG1160,0.085
OG1161,-0.019
OG1162,0.22
OG1163,-0.111
OG1164,-0.392
OG1165,-0.136
OG1166,0.253
OG1167,0.426
OG1168,-0.17800000000000002
OG1169,-0.278
OG1170,0.21
OG1171,-0.54
OG1172,-0.249
OG1173,0.16699999999999998
OG1174,0.297
OG1175,-0.059000000000000004
OG1176,0.08800000000000001
OG1177,-0.145
OG1178,-0.409
OG1179,-0.01
OG1180,-0.273
OG1181,-0.040999999999999995
OG1182,-0.135
OG1183,0.09
OG1184,0.079
OG1185,-0.528
OG1186,0.14400000000000002
OG1187,0.3
OG1188,0.16399999999999998
OG1189,0.478
OG1190,-0.308
OG1191,0.174
OG1192,0.529
OG1193,0.106
OG1194,-0.096
OG1195,-0.35200000000000004
OG1196,0.841
OG1197,1.178
OG1198,-0.32299999999999995
OG1199,0.8490000000000001
OG1200,0.094
OG1201,0.251
OG1202,0.14300000000000002
OG1203,0.043
OG1204,0.046
OG1205,0.078
OG1206,-0.015
OG1207,-0.753
OG1208,0.191
OG1209,-0.11199999999999999
OG1210,-0.473
OG1211,0.537
OG1212,-0.725
OG1213,-1.425
OG1214,-0.579
OG1215,-0.076
OG1216,0.13
OG1217,0.441
OG1218,-0.13699999999999998
OG1219,0.237
OG1220,0.7
OG1221,0.335
OG1222,0.408
OG1223,-0.287
OG1224,-0.057
OG1225,-0.228
OG1226,0.389
OG1227,0.009000000000000001
OG1228,0.005
OG1229,-0.267
OG1230,-0.385
OG1231,0.121
OG1232,-0.262
OG1233,0.095
OG1234,0.19399999999999998
OG1235,0.337
OG1236,0.06
OG1237,0.41700000000000004
OG1238,-0.027000000000000003
OG1239,0.19899999999999998
OG124,-0.624
OG1240,0.268
OG1241,0.115
OG1242,0.171
OG1243,0.265
OG1244,0.27
OG1245,-0.11800000000000001
OG1246,0.105
OG1247,0.308
OG1248,0.225
