Id,log2FoldChange.minusSICOvsAll
OG100,0.07
OG1001,-0.28800000000000003
OG1002,0.298
OG1004,0.369
OG1005,0.08
OG1006,-0.7040000000000001
OG1007,-0.24
OG1008,-0.99
OG1009,0.326
OG1010,-0.384
OG1011,-0.135
OG1012,0.344
OG1013,-0.193
OG1014,-0.141
OG1015,-0.027000000000000003
OG1016,-0.26
OG1017,0.141
OG1018,0.233
OG1019,0.126
OG1020,-0.26899999999999996
OG1021,-0.18899999999999997
OG1022,0.319
OG1023,-0.087
OG1024,0.12300000000000001
OG1025,-0.55
OG1026,0.293
OG1027,-0.268
OG103,-0.301
OG1039,-0.613
OG104,-0.7759999999999999
OG1040,-0.547
OG1041,0.125
OG1042,-0.741
OG1054,-0.051
OG1059,0.77
OG1060,-0.397
OG1061,0.179
OG1062,0.129
OG1063,-0.33299999999999996
OG1064,-0.026000000000000002
OG1075,-0.151
OG1076,-0.539
OG1077,-0.27
OG1078,-0.055
OG1079,-0.532
OG1119,-0.76
OG112,-0.049
OG1160,0.064
OG1161,0.321
OG1162,0.057999999999999996
OG1163,-0.040999999999999995
OG1164,-0.258
OG1165,-0.174
OG1166,1.175
OG1167,0.7859999999999999
OG1168,0.126
OG1169,-0.303
OG1170,-0.10400000000000001
OG1171,-0.89
OG1172,-0.379
OG1173,-0.141
OG1174,0.166
OG1175,0.377
OG1176,-0.614
OG1177,0.006
OG1178,0.526
OG1179,0.316
OG1180,0.011000000000000001
OG1181,-0.23199999999999998
OG1182,-0.264
OG1183,0.35700000000000004
OG1184,0.08
OG1185,0.937
OG1186,0.10800000000000001
OG1187,0.094
OG1188,0.132
OG1189,0.01
OG1190,0.14800000000000002
OG1191,0.38299999999999995
OG1192,0.698
OG1193,0.5539999999999999
OG1194,-0.45299999999999996
OG1195,-0.731
OG1196,0.23199999999999998
OG1197,2.201
OG1198,0.37200000000000005
OG1199,-0.642
OG1200,-0.059000000000000004
OG1201,-0.10400000000000001
OG1202,0.691
OG1203,0.26
OG1204,-0.040999999999999995
OG1205,0.55
OG1206,0.33
OG1207,0.34700000000000003
OG1208,0.07400000000000001
OG1209,0.235
OG1210,-0.042
OG1211,0.43799999999999994
OG1212,0.063
OG1213,-0.305
OG1214,0.33799999999999997
OG1215,-0.179
OG1216,1.446
OG1217,0.638
OG1218,0.308
OG1219,0.485
OG1220,-0.419
OG1221,-0.078
OG1222,0.257
OG1223,-0.292
OG1224,-0.016
OG1225,0.235
OG1226,0.001
OG1227,-0.024
OG1228,0.318
OG1229,0.19399999999999998
OG1230,-0.23199999999999998
OG1231,-0.055999999999999994
OG1232,0.331
OG1233,0.105
OG1234,-0.055999999999999994
OG1235,0.36700000000000005
OG1236,0.2
OG1237,1.262
OG1238,0.29100000000000004
OG1239,0.209
OG124,-0.532
OG1240,0.618
OG1241,0.769
OG1242,-0.192
OG1243,1.0190000000000001
OG1244,-0.501
OG1245,-0.272
OG1246,-0.48
OG1247,0.415
OG1248,-0.284
OG1249,0.9079999999999999
OG1250,0.038
OG1251,0.22399999999999998
OG1252,0.061
OG1253,-0.068
