Id,log2FoldChange.minusSTvsAll
OG100,0.337
OG1001,-0.327
OG1002,1.156
OG1004,0.322
OG1005,0.136
OG1006,-0.22
OG1007,0.963
OG1008,-0.531
OG1009,-0.01
OG1010,0.061
OG1011,-0.153
OG1012,-0.159
OG1013,0.415
OG1014,0.414
OG1015,-0.079
OG1016,-0.49700000000000005
OG1017,-0.06
OG1018,0.037000000000000005
OG1019,0.301
OG1020,0.335
OG1021,-0.48100000000000004
OG1022,-0.455
OG1023,-0.147
OG1024,-0.09
OG1025,-0.419
OG1026,0.175
OG1027,-0.457
OG103,-0.057999999999999996
OG1039,-0.706
OG104,-0.237
OG1040,-0.085
OG1041,-0.003
OG1042,-0.222
OG1054,0.12300000000000001
OG1059,0.745
OG1060,-0.6579999999999999
OG1061,-0.475
OG1062,-0.033
OG1063,0.046
OG1064,1.112
OG1075,0.146
OG1076,-0.299
OG1077,-0.048
OG1078,1.406
OG1079,-0.473
OG1119,-0.261
OG112,-0.055
OG1160,0.718
OG1161,0.48100000000000004
OG1162,0.002
OG1163,-0.18
OG1164,-0.405
OG1165,-0.32799999999999996
OG1166,0.741
OG1167,0.7290000000000001
OG1168,0.38299999999999995
OG1169,-0.127
OG1170,-0.021
OG1171,-0.133
OG1172,-0.265
OG1173,-0.12300000000000001
OG1174,0.8079999999999999
OG1175,0.429
OG1176,0.261
OG1177,-0.021
OG1178,-0.314
OG1179,0.15
OG1180,-0.289
OG1181,-0.26899999999999996
OG1182,-0.2
OG1183,0.213
OG1184,0.038
OG1185,-0.223
OG1186,0.016
OG1187,0.506
OG1188,-0.016
OG1189,0.284
OG1190,-0.25
OG1191,-0.14
OG1192,0.629
OG1193,0.382
OG1194,-0.322
OG1195,-0.28800000000000003
OG1196,0.7290000000000001
OG1197,1.518
OG1198,-0.16699999999999998
OG1199,0.8220000000000001
OG1200,0.17
OG1201,0.07200000000000001
OG1202,0.634
OG1203,0.11
OG1204,-0.11199999999999999
OG1205,0.408
OG1206,0.115
OG1207,-0.428
OG1208,-0.11199999999999999
OG1209,0.033
OG1210,-0.42700000000000005
OG1211,0.556
OG1212,-0.36700000000000005
OG1213,-0.41
OG1214,0.026000000000000002
OG1215,-0.449
OG1216,0.512
OG1217,0.887
OG1218,-0.28600000000000003
OG1219,0.564
OG1220,0.01
OG1221,-0.09
OG1222,0.111
OG1223,-0.335
OG1224,0.02
OG1225,0.032
OG1226,0.46799999999999997
OG1227,-0.1
OG1228,0.324
OG1229,0.038
OG1230,-0.43200000000000005
OG1231,0.028999999999999998
OG1232,-0.071
OG1233,0.45899999999999996
OG1234,0.521
OG1235,0.804
OG1236,0.086
OG1237,0.652
OG1238,-0.302
OG1239,0.48100000000000004
OG124,-0.504
OG1240,0.374
OG1241,0.33399999999999996
OG1242,0.125
OG1243,0.462
OG1244,-0.04
OG1245,0.065
OG1246,-0.33799999999999997
OG1247,0.46
OG1248,-0.146
OG1249,0.3
OG1250,-0.297
OG1251,-0.292
OG1252,-0.105
OG1253,-0.359
OG1254,0.903
OG1255,0.509
OG1256,-0.379
OG1257,0.038
OG1258,-0.04
OG1259,0.556
OG1260,0.848
OG1261,-0.099
OG1262,-0.34
OG1263,-0.23600000000000002
OG1264,0.2
OG1265,0.823
OG1266,0.146
OG1267,-0.087
OG1268,0.271
OG1269,0.037000000000000005
OG1270,-0.5770000000000001
OG1271,0.508
OG1272,0.27399999999999997
