OG	sample_2A
OG14	406.0
OG36	1588.0
OG39	500.0
OG58	405.0
OG100	1082.0
OG103	528.0
OG104	310.0
OG112	407.0
OG124	3153.0
OG134	238.0
OG136	5.0
OG175	44.0
OG183	0.0
OG195	21.0
OG196	33.0
OG204	217.0
OG213	432.0
OG231	276.0
OG242	210.0
OG243	1875.0
OG244	1373.0
OG245	480.0
OG273	349.0
OG304	3534.0
OG305	400.0
OG306	4.0
OG310	15.0
OG336	407.0
OG342	544.0
OG349	5.0
OG356	15.0
OG361	770.0
OG369	52.0
OG370	591.0
OG371	337.0
OG372	201.0
OG373	2973.0
OG374	751.0
OG375	183.0
OG376	31.0
OG377	872.0
OG378	738.0
OG379	1155.0
OG380	573.0
OG381	978.0
OG382	5.0
OG383	203.0
OG384	2472.0
OG385	838.0
OG386	1248.0
OG387	390.0
OG388	142.0
OG389	945.0
OG390	318.0
OG391	520.0
OG392	2181.0
OG393	1160.0
OG394	2270.0
OG395	416.0
OG396	858.0
OG397	1823.0
OG398	71.0
OG399	570.0
OG400	512.0
OG401	4298.0
OG402	102.0
OG403	5915.0
OG404	31.0
OG405	450.0
OG406	1351.0
OG407	568.0
OG408	487.0
OG409	861.0
OG410	791.0
OG411	5986.0
OG412	269.0
OG413	2843.0
OG414	1048.0
OG415	1303.0
OG416	1254.0
OG417	1223.0
OG418	767.0
OG419	820.0
OG420	9177.0
OG421	11.0
OG422	1029.0
OG423	76.0
OG424	803.0
OG425	1884.0
OG426	673.0
OG427	618.0
OG428	3743.0
OG429	8539.0
OG430	2096.0
OG431	467.0
OG432	1116.0
OG433	3037.0
OG434	3307.0
OG435	749.0
OG436	438.0
OG437	500.0
OG438	6431.0
OG439	14.0
OG440	1039.0
OG441	1304.0
OG442	408.0
OG443	3688.0
OG444	3211.0
OG445	700.0
OG446	330.0
OG447	3502.0
OG448	1522.0
OG449	625.0
OG450	1148.0
OG451	976.0
OG452	962.0
OG453	65.0
OG454	146.0
OG455	135.0
OG456	164.0
OG457	2788.0
OG458	94.0
OG459	1716.0
OG460	85.0
OG461	2293.0
OG462	982.0
OG463	1271.0
OG464	37.0
OG465	712.0
OG466	2729.0
OG467	1324.0
OG468	2046.0
OG469	70.0
OG470	23.0
OG471	511.0
OG472	3680.0
OG473	329.0
OG474	64.0
OG475	320.0
OG476	21574.0
OG477	1019.0
OG478	4614.0
OG479	576.0
OG480	4594.0
OG481	4446.0
OG482	3169.0
OG483	2842.0
OG484	83.0
OG485	850.0
OG486	1515.0
OG487	803.0
OG488	463.0
OG489	2796.0
OG490	2402.0
OG491	514.0
OG492	572.0
OG493	58.0
OG494	507.0
OG495	948.0
OG496	2672.0
OG497	137.0
OG498	1554.0
OG499	3517.0
OG500	276.0
OG501	431.0
OG502	171.0
OG503	1629.0
OG504	1036.0
OG505	231.0
OG506	421.0
OG507	54.0
OG508	537.0
OG509	511.0
OG510	634.0
OG511	1062.0
OG512	591.0
OG513	229.0
OG514	217.0
OG515	172.0
OG516	227.0
OG517	12.0
OG518	141.0
OG519	1197.0
OG520	1045.0
OG521	1893.0
OG522	1341.0
OG523	2886.0
OG524	1781.0
OG525	4202.0
OG526	300.0
OG527	10.0
OG528	1320.0
OG529	49.0
OG530	708.0
OG531	184.0
OG532	1197.0
OG533	938.0
OG534	461.0
OG535	379.0
OG536	1171.0
OG537	1237.0
OG538	1232.0
OG539	754.0
OG540	394.0
OG541	1257.0
OG542	689.0
OG543	439.0
OG544	245.0
OG545	1426.0
OG546	1026.0
OG547	900.0
OG548	334.0
OG549	103.0
OG550	885.0
OG551	993.0
OG552	132.0
OG553	1520.0
OG554	4037.0
OG555	2112.0
