OG	sample_2B
OG14	384.0
OG36	1688.0
OG39	536.0
OG58	465.0
OG100	1343.0
OG103	530.0
OG104	356.0
OG112	458.0
OG124	3374.0
OG134	233.0
OG136	3.0
OG175	49.0
OG183	0.0
OG195	18.0
OG196	34.0
OG204	226.0
OG213	401.0
OG231	257.0
OG242	294.0
OG243	1922.0
OG244	1546.0
OG245	514.0
OG273	357.0
OG304	4199.0
OG305	405.0
OG306	4.0
OG310	14.0
OG336	554.0
OG342	628.0
OG349	4.0
OG356	17.0
OG361	825.0
OG369	60.0
OG370	769.0
OG371	406.0
OG372	208.0
OG373	2841.0
OG374	756.0
OG375	190.0
OG376	21.0
OG377	660.0
OG378	921.0
OG379	1056.0
OG380	568.0
OG381	774.0
OG382	4.0
OG383	177.0
OG384	2548.0
OG385	925.0
OG386	1246.0
OG387	459.0
OG388	194.0
OG389	1059.0
OG390	328.0
OG391	552.0
OG392	1756.0
OG393	1209.0
OG394	2137.0
OG395	415.0
OG396	1173.0
OG397	1126.0
OG398	76.0
OG399	523.0
OG400	429.0
OG401	4522.0
OG402	115.0
OG403	5549.0
OG404	33.0
OG405	444.0
OG406	1451.0
OG407	569.0
OG408	440.0
OG409	994.0
OG410	649.0
OG411	6044.0
OG412	254.0
OG413	4336.0
OG414	1103.0
OG415	1414.0
OG416	1145.0
OG417	1190.0
OG418	777.0
OG419	557.0
OG420	8918.0
OG421	10.0
OG422	814.0
OG423	78.0
OG424	733.0
OG425	1679.0
OG426	668.0
OG427	718.0
OG428	5327.0
OG429	9319.0
OG430	2236.0
OG431	473.0
OG432	1584.0
OG433	3099.0
OG434	3923.0
OG435	748.0
OG436	445.0
OG437	388.0
OG438	6259.0
OG439	15.0
OG440	1412.0
OG441	1604.0
OG442	198.0
OG443	3490.0
OG444	4030.0
OG445	839.0
OG446	340.0
OG447	3282.0
OG448	1793.0
OG449	466.0
OG450	1085.0
OG451	897.0
OG452	1090.0
OG453	84.0
OG454	176.0
OG455	175.0
OG456	213.0
OG457	2721.0
OG458	115.0
OG459	1704.0
OG460	139.0
OG461	2269.0
OG462	829.0
OG463	1160.0
OG464	56.0
OG465	863.0
OG466	3013.0
OG467	1216.0
OG468	2106.0
OG469	70.0
OG470	19.0
OG471	461.0
OG472	3927.0
OG473	342.0
OG474	69.0
OG475	428.0
OG476	25996.0
OG477	1096.0
OG478	4559.0
OG479	632.0
OG480	5086.0
OG481	4671.0
OG482	3020.0
OG483	2822.0
OG484	74.0
OG485	969.0
OG486	1439.0
OG487	922.0
OG488	411.0
OG489	2998.0
OG490	2290.0
OG491	530.0
OG492	589.0
OG493	47.0
OG494	468.0
OG495	1123.0
OG496	2117.0
OG497	122.0
OG498	1913.0
OG499	4222.0
OG500	269.0
OG501	352.0
OG502	188.0
OG503	1782.0
OG504	1266.0
OG505	271.0
OG506	643.0
OG507	53.0
OG508	561.0
OG509	644.0
OG510	423.0
OG511	1101.0
OG512	581.0
OG513	305.0
OG514	160.0
OG515	169.0
OG516	202.0
OG517	13.0
OG518	216.0
OG519	1323.0
OG520	1215.0
OG521	2295.0
OG522	1518.0
OG523	3621.0
OG524	1833.0
OG525	4154.0
OG526	327.0
OG527	9.0
OG528	1585.0
OG529	49.0
OG530	800.0
OG531	233.0
OG532	1435.0
OG533	1099.0
OG534	480.0
OG535	372.0
OG536	1520.0
OG537	1378.0
OG538	1483.0
OG539	736.0
OG540	451.0
OG541	1381.0
OG542	628.0
OG543	442.0
OG544	354.0
OG545	1607.0
OG546	1190.0
OG547	866.0
OG548	244.0
OG549	144.0
OG550	831.0
OG551	747.0
OG552	106.0
OG553	1529.0
OG554	4586.0
OG555	2092.0
OG556	1355.0
OG557	2820.0
OG558	996.0
OG559	19.0
OG560	17.0
OG561	345.0
OG562	429.0
OG563	383.0
OG564	880.0
OG565	132.0
OG566	958.0
OG567	280.0
OG568	2271.0
OG569	1471.0
OG570	528.0
OG571	914.0
OG572	1457.0
OG573	180.0
OG574	387.0
OG575	486.0
OG576	1220.0
OG577	389.0
OG578	232.0
OG579	432.0
OG580	497.0
OG581	1099.0
OG582	332.0
OG583	344.0
OG584	743.0
OG585	1182.0
OG586	145.0
OG587	179.0
OG588	168.0
OG589	1295.0
OG590	10116.0
OG591	1783.0
OG592	184.0
OG593	7238.0
OG594	511.0
OG595	11684.0
OG596	128.0
OG597	1787.0
OG598	2834.0
OG599	1017.0
OG600	36.0
OG601	1859.0
OG602	6037.0
