OG	sample_2C
OG14	229.0
OG36	1091.0
OG39	410.0
OG58	305.0
OG100	747.0
OG103	382.0
OG104	186.0
OG112	283.0
OG124	2591.0
OG134	149.0
OG136	8.0
OG175	48.0
OG183	0.0
OG195	15.0
OG196	27.0
OG204	152.0
OG213	368.0
OG231	223.0
OG242	188.0
OG243	1427.0
OG244	1030.0
OG245	366.0
OG273	278.0
OG304	2554.0
OG305	270.0
OG306	14.0
OG310	11.0
OG336	270.0
OG342	458.0
OG349	7.0
OG356	8.0
OG361	471.0
OG369	39.0
OG370	374.0
OG371	256.0
OG372	113.0
OG373	2510.0
OG374	533.0
OG375	122.0
OG376	14.0
OG377	565.0
OG378	556.0
OG379	787.0
OG380	435.0
OG381	700.0
OG382	1.0
OG383	135.0
OG384	1746.0
OG385	591.0
OG386	1016.0
OG387	317.0
OG388	110.0
OG389	794.0
OG390	243.0
OG391	413.0
OG392	1431.0
OG393	816.0
OG394	1525.0
OG395	294.0
OG396	664.0
OG397	1115.0
OG398	49.0
OG399	417.0
OG400	359.0
OG401	3243.0
OG402	99.0
OG403	3864.0
OG404	18.0
OG405	302.0
OG406	966.0
OG407	412.0
OG408	364.0
OG409	728.0
OG410	577.0
OG411	4414.0
OG412	172.0
OG413	2479.0
OG414	699.0
OG415	1027.0
OG416	992.0
OG417	831.0
OG418	546.0
OG419	505.0
OG420	6862.0
OG421	9.0
OG422	666.0
OG423	51.0
OG424	520.0
OG425	1210.0
OG426	545.0
OG427	348.0
OG428	2375.0
OG429	7752.0
OG430	1499.0
OG431	370.0
OG432	844.0
OG433	2226.0
OG434	2535.0
OG435	463.0
OG436	225.0
OG437	353.0
OG438	4815.0
OG439	8.0
OG440	840.0
OG441	926.0
OG442	254.0
OG443	2571.0
OG444	2577.0
OG445	595.0
OG446	260.0
OG447	2496.0
OG448	1305.0
OG449	439.0
OG450	985.0
OG451	738.0
OG452	662.0
OG453	48.0
OG454	114.0
OG455	86.0
OG456	120.0
OG457	1832.0
OG458	57.0
