"Id","Description","baseMean","All_norm","minus.ST_norm","minus.5614_norm","minus.6086_norm","minus.10675_norm","minus.SICO_norm","FoldChange.minusSTvsAll","log2FoldChange.minusSTvsAll","stat.minusSTvsAll","pvalue.minusSTvsAll","padj.minusSTvsAll","FoldChange.minus5614vsAll","log2FoldChange.minus5614vsAll","stat.minus5614vsAll","pvalue.minus5614vsAll","padj.minus5614vsAll","FoldChange.minus6086vsAll","log2FoldChange.minus6086vsAll","stat.minus6086vsAll","pvalue.minus6086vsAll","padj.minus6086vsAll","FoldChange.minus10675vsAll","log2FoldChange.minus10675vsAll","stat.minus10675vsAll","pvalue.minus10675vsAll","padj.minus10675vsAll","FoldChange.minusSICOvsAll","log2FoldChange.minusSICOvsAll","stat.minusSICOvsAll","pvalue.minusSICOvsAll","padj.minusSICOvsAll"
"OG100","putative ABC transporter ATP-binding protein AND Putative multidrug export ATP-binding/permease protein",735.57,234.542372881356,296.523540489642,264.828625235405,292.297551789077,219.751412429379,246.516007532957,1.263,0.337,2.93,0.00338420817779177,0.0110729540693573,1.13,0.176,1.519,0.128872918643126,0.22444766696645,1.25,0.321,2.739,0.00616324079251772,0.0502324265899974,0.935,-0.097,-0.838,0.402250602305429,0.48605281111906,1.05,0.07,0.604,0.545851588704464,0.648881726515221
"OG1001","putative glucose uptake protein GlcU AND Glucose uptake protein GlcU",11735.67,7591.56610169492,6050.5593220339,10471.3661016949,10179.7728813559,4122.87457627119,6219.17627118644,0.797,-0.327,-2.54,0.0110950799225826,0.0298836870127138,1.379,0.464,3.601,0.000317332145962256,0.00152785013905379,1.341,0.423,3.279,0.00104008719974492,0.0137341302832181,0.543,-0.881,-6.823,8.91159328159687e-12,8.96190066302524e-11,0.819,-0.288,-2.233,0.0255740274800273,0.0547012217282917
"OG1002","Protein DedA",269.22,169.230769230769,376.538461538462,274.153846153846,174.307692307692,164.153846153846,208.153846153846,2.229,1.156,7.473,7.83051337350281e-14,1.87781734168423e-12,1.615,0.692,4.411,1.02701753757256e-05,7.44587714740108e-05,1.019,0.027,0.166,0.868416575117781,0.944923350953882,0.965,-0.051,-0.318,0.750185991290064,0.797512302761049,1.23,0.298,1.871,0.0613559236155414,0.115227163777982
"OG1004","Transcriptional regulator LytR AND Biofilm regulatory protein A",1816.04,599.941431670282,749.622559652928,561.405639913232,652.674620390456,1082.24728850325,774.366594360087,1.25,0.322,3.544,0.000394799712228845,0.00175201153433939,0.936,-0.095,-1.037,0.299692597083131,0.424410726324076,1.084,0.116,1.254,0.20970574962165,0.449560404887293,1.804,0.851,9.414,4.77037461885948e-21,1.52529670505584e-19,1.291,0.369,4.045,5.23693820992589e-05,0.000258121025603857
"OG1005","putative protein",1934.19,2126.17919075145,2339.12138728324,2701.23121387283,1817.03468208092,1312.24277456647,2248.32369942197,1.099,0.136,1.667,0.0954428687416093,0.171858876242299,1.269,0.344,4.222,2.42463652707662e-05,0.000161685655040885,0.853,-0.229,-2.741,0.0061323283412213,0.0502324265899974,0.615,-0.7,-8.441,3.15342976822439e-17,7.02201235888537e-16,1.057,0.08,0.976,0.329290948064654,0.436371745203638
"OG1006","hypothetical protein",3096.36,3882,3332,3675,3447,1858,2384,0.859,-0.22,-1.838,0.0659971637934052,0.126613020385194,0.947,-0.079,-0.66,0.50929776001991,0.631306467937204,0.888,-0.172,-1.432,0.152139694053723,0.375395734352347,0.478,-1.065,-8.853,8.51499574090715e-19,2.35959993086916e-17,0.614,-0.704,-5.856,4.7549825231667e-09,8.71979883292481e-08
"OG1007","hypothetical protein",1058.36,1208.21428571429,2356.92857142857,1334.5,1105,682.428571428571,1023.64285714286,1.949,0.963,7.188,6.55836509278304e-13,1.46040736976794e-11,1.103,0.141,1.048,0.294644067658977,0.419456748359197,0.912,-0.132,-0.966,0.33423712728312,0.582254331637631,0.563,-0.828,-6.053,1.41972973452526e-09,1.04757572719112e-08,0.847,-0.24,-1.767,0.0771609657201844,0.137456748932957
"OG1008","hypothetical protein",639.73,1096.55782312925,759.448979591837,1222.49659863946,890.47619047619,362.551020408163,552.095238095238,0.692,-0.531,-2.627,0.00860640485264503,0.0241715920073161,1.114,0.155,0.771,0.440855306482937,0.561538883742822,0.816,-0.293,-1.441,0.149567865184071,0.373022255769072,0.33,-1.602,-7.809,5.74593097329543e-15,9.95163322736029e-14,0.503,-0.99,-4.86,1.17436142097842e-06,9.63439928921116e-06
"OG1009","HTH-type transcriptional regulator MalR AND HTH-type transcriptional regulator DegA",1122.72,570.811728395062,565.617283950617,375.154320987654,771.086419753086,890.558641975309,715.101851851852,0.993,-0.01,-0.094,0.924939532833291,0.948519405792035,0.657,-0.605,-5.437,5.40631973340702e-08,6.67493139362233e-07,1.351,0.434,3.934,8.35622827071133e-05,0.00196607861388246,1.564,0.645,5.935,2.93048985799462e-09,2.05298924321309e-08,1.254,0.326,2.982,0.00286534048604706,0.00827101756041825
"OG1010","hypothetical protein",826.17,906.148571428571,944.617142857143,1030.10285714286,941.411428571429,780.057142857143,694.571428571429,1.043,0.061,0.438,0.661420931616439,0.755996243561594,1.137,0.186,1.334,0.182283058659652,0.290192822380776,1.038,0.054,0.379,0.70447951938806,0.860970580809632,0.861,-0.216,-1.547,0.121972318437386,0.177272122484173,0.766,-0.384,-2.731,0.006312726378738,0.0164341749358795
"OG1011","33 kDa chaperonin",1998.93,1293.51592356688,1163.0923566879,1282.79617834395,1254.2101910828,969.541401273885,1178.57643312102,0.899,-0.153,-2.106,0.0352180370443632,0.0766437909150452,0.991,-0.013,-0.179,0.85817413991683,0.905329031791081,0.974,-0.038,-0.513,0.607736584491101,0.806406920796153,0.749,-0.417,-5.681,1.33809355261014e-08,8.02212817358101e-08,0.911,-0.135,-1.842,0.0655165940569337,0.122121364408066
"OG1012","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE",140.4,144.5,128.714285714286,77.7142857142857,246.5,242.857142857143,182.142857142857,0.895,-0.159,-0.931,0.351920382759786,0.473403147035008,0.537,-0.896,-4.887,1.02238089799688e-06,9.44377022075635e-06,1.674,0.743,4.387,1.14743329586694e-05,0.000550326661517722,1.681,0.749,4.565,4.98728845596914e-06,1.89608192213217e-05,1.27,0.344,2.041,0.0412633960739549,0.0825930255284459
"OG1013","hypothetical protein",24782.32,23819.4773869347,31753.351758794,29528.1457286432,19603.9899497487,14190.3869346734,20832.175879397,1.333,0.415,3.097,0.00195468979262603,0.00692471071421778,1.24,0.31,2.314,0.0206586134259202,0.051522581884245,0.823,-0.281,-2.097,0.0360188322838997,0.156499943756177,0.596,-0.748,-5.579,2.42582470557943e-08,1.39401078703113e-07,0.875,-0.193,-1.443,0.148902648579832,0.230088727111586
