Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1313	1691	2265	1565	43182	35196	27895	2807	2312	2994	3560	977	4070	3655	6768	6234	2964	4284	5567	2115	2212	2300	31743	25491	28271	2259	2474	2458	3450	2728	3490	4369	4764	4608	3491	4532	4171	7495.91	2209	28502	2397	3223	4580	4065	0.084	-3.572	-31.606	3.08915698331669e-219	3.85217875819592e-216	0.0084	0.01	0.009	0.009	TRUE	0.01
OG1318	773	967	684	17402	17753	12207	1152	859	1187	1440	495	1747	1457	2808	2733	1271	2428	2567	967	944	1005	12792	12858	12371	927	919	975	1396	1382	1498	1742	1977	2020	1497	2568	1923	3320.09	972	12674	940	1425	1913	1996	0.074	-3.752	-27.954	5.85543344718991e-172	3.65086275432291e-169	0.013	0.0103	0.0125	0.0125	TRUE	0.2516
OG1286	42	27	20	1343	1268	839	40	44	44	33	12	44	70	87	81	33	41	54	53	26	29	987	918	850	32	47	36	32	34	38	84	61	60	39	43	40	189.46	36	918	38	35	68	41	0.041	-4.597	-23.699	3.68455894923562e-124	1.5315483365656e-121	0.0095	0.018	0.015	0.015	TRUE	0.0895
OG1723	313	412	289	2397	2506	1853	589	446	460	480	202	517	516	942	749	335	543	627	392	402	425	1762	1815	1878	474	477	378	465	564	443	617	663	554	395	574	470	708.19	406	1818	443	491	611	480	0.243	-2.039	-15.641	3.8033095110365e-55	1.18568174006563e-52	0.0105	0.012	0.011	0.011	TRUE	0.1123
OG1724	928	1299	753	10823	8092	7469	2164	1667	2332	1459	546	1545	1246	1939	2586	1637	2170	2709	1161	1269	1107	7956	5861	7570	1741	1784	1915	1414	1525	1325	1489	1365	1911	1928	2295	2030	2535.83	1179	7129	1813	1421	1588	2084	0.254	-1.975	-15.112	1.34943596615818e-51	3.36549329959851e-49	0.0121	0.0104	0.012	0.012	TRUE	0.1099
OG1285	16	13	4	356	313	197	17	14	22	12	3	9	17	21	13	8	4	11	20	13	6	262	227	200	14	15	18	12	8	8	20	15	10	9	4	8	48.2	13	230	16	9	15	7	0.068	-3.88	-13.039	7.3057516985244e-39	1.51837872800999e-36	0	0.0421	0.0335	0.0335	TRUE	0.0459
OG759	1004	1328	1171	1052	1158	820	313	240	295	2281	693	2562	1757	3781	3201	1256	1719	2042	1256	1297	1721	773	839	831	252	257	242	2211	1935	2197	2100	2662	2366	1479	1818	1530	1431.44	1425	814	250	2114	2376	1609	0.307	-1.702	-12.733	3.85966774685071e-37	6.01625710040355e-35	0.0105	0.0109	0.0106	0.0106	TRUE	0.0756
OG772	446	678	378	2197	2165	1343	823	683	826	793	325	782	1342	2431	2095	1074	1118	1646	558	662	556	1615	1568	1361	662	731	678	769	907	671	1604	1711	1548	1265	1183	1233	1071.25	592	1515	690	782	1621	1227	0.455	-1.136	-10.479	1.0830119989283e-25	1.50057329184843e-23	0.0064	0.0112	0.0075	0.0075	TRUE	0.0639
OG1160	1507	2019	1316	4337	4496	3040	2624	1868	2472	2052	688	2193	2077	3287	3163	1692	1992	2614	1885	1972	1934	3188	3256	3081	2112	1999	2030	1989	1921	1881	2483	2314	2338	1993	2107	1958	2246.67	1930	3175	2047	1930	2378	2019	0.645	-0.633	-10.334	4.9285197962677e-25	6.14586418594582e-23	6e-04	0.0105	0.0024	0.0024	TRUE	0.0058
OG595	2352	3005	1866	13015	11684	7875	5274	4156	5137	4302	1373	4178	4476	7573	6619	4181	6069	7596	2942	2935	2743	9567	8462	7981	4244	4448	4218	4169	3834	3583	5350	5331	4892	4925	6420	5691	5096.36	2873	8670	4303	3862	5191	5679	0.496	-1.011	-10.162	2.93481662995294e-24	3.32701485231938e-22	0.0058	0.0101	0.007	0.007	TRUE	0.0523
OG818	407	504	463	315	409	272	94	103	100	832	331	1004	596	1072	801	327	383	488	509	492	681	232	296	276	76	110	82	806	924	861	712	755	592	385	405	366	475.54	561	268	89	864	686	385	0.331	-1.597	-9.599	8.04744893997553e-22	8.36264069012457e-20	0.0136	0.0131	0.0134	0.0134	TRUE	0.1315
OG389	1014	1387	1066	945	1059	794	381	229	366	675	161	465	833	1465	1213	1226	1350	1888	1268	1355	1567	695	767	805	307	245	300	654	450	399	996	1031	897	1444	1428	1414	890.06	1397	756	284	501	975	1429	0.377	-1.407	-9.398	5.55221276620398e-21	5.32585332265874e-19	0.016	0.0115	0.014	0.014	TRUE	0.3002
OG485	919	1320	1076	850	969	659	351	249	327	1756	521	1904	754	1793	1343	839	805	1272	1150	1289	1582	625	702	668	282	266	268	1702	1455	1633	901	1262	993	988	852	953	976.13	1340	665	272	1597	1052	931	0.41	-1.286	-9.289	1.55136610918776e-20	1.38182395582652e-18	0.0116	0.0114	0.0116	0.0116	TRUE	0.1209
OG412	160	210	190	269	254	172	62	72	62	394	118	346	386	733	583	255	366	371	200	205	279	198	184	174	50	77	51	382	329	297	461	516	431	300	387	278	266.68	228	185	59	336	469	322	0.315	-1.665	-8.663	4.58828006125635e-18	3.81439015759111e-16	0.0176	0.0156	0.0168	0.0168	TRUE	0.1807
OG546	591	919	793	1026	1190	765	346	303	399	1580	698	1496	1659	3573	2666	1061	1137	1430	739	898	1166	754	862	775	278	324	328	1531	1949	1283	1983	2515	1971	1250	1203	1071	1159.98	934	797	310	1588	2156	1175	0.389	-1.363	-8.203	2.34716569417142e-16	1.82932226289485e-14	0.0211	0.0111	0.0179	0.0179	TRUE	0.0802
OG811	5282	7783	6679	4193	5245	3823	1904	1352	1612	10018	3099	11906	3444	9528	6387	4035	3562	6319	6607	7601	9817	3082	3799	3874	1532	1447	1324	9709	8653	10210	4117	6707	4721	4753	3768	4734	5358.6	8008	3585	1434	9524	5182	4418	0.4	-1.322	-7.856	3.96263199796822e-15	2.90670711850963e-13	0.0253	0.0101	0.02	0.02	TRUE	0.1544
OG476	21157	26508	23873	21574	25996	17834	10931	7836	10007	41017	16472	40795	17335	41804	34300	20172	22934	31805	26464	25890	35090	15859	18828	18074	8796	8387	8216	39752	45992	34983	20720	29427	25352	23761	24260	23828	24093.29	29148	17587	8466	40242	25166	23950	0.481	-1.055	-7.763	8.27927157864818e-15	5.7356953658746e-13	0.0148	0.0098	0.0132	0.0132	TRUE	0.065
