Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG396	615	566	539	858	1173	664	675	521	675	1276	650	1307	1260	2189	1840	1192	1920	1921	769	553	792	631	850	673	543	558	554	1237	1815	1121	1506	1541	1360	1404	2031	1439	1076.45	705	718	552	1391	1469	1625	1.965	0.975	5.363	8.17420729013285e-08	1.01932364907957e-05	0.029	0.0112	0.0224	0.0224	TRUE	0.2694
OG1188	244	347	250	463	453	325	460	348	473	496	183	535	446	686	638	328	342	481	305	339	367	340	328	329	370	372	388	481	511	459	533	483	472	386	362	360	399.27	337	332	377	484	496	369	1.424	0.51	4.911	9.08330050528705e-07	7.55125048672863e-05	0	0.0137	0.0046	0.0046	TRUE	0.0242
OG1313	1691	2265	1565	43182	35196	27895	2807	2312	2994	3560	977	4070	3655	6768	6234	2964	4284	5567	2115	2212	2300	31743	25491	28271	2259	2474	2458	3450	2728	3490	4369	4764	4608	3491	4532	4171	7495.91	2209	28502	2397	3223	4580	4065	1.463	0.549	4.781	1.74234692337554e-06	0.000135794163340581	0.0084	0.01	0.009	0.009	TRUE	0.01
OG1362	3266	3935	2362	13478	11689	8502	8758	6657	8080	4872	1856	5881	3096	5115	4778	5583	6586	8461	4085	3843	3472	9908	8466	8616	7048	7125	6634	4722	5182	5043	3701	3601	3532	6576	6967	6339	5825.47	3800	8997	6936	4982	3611	6627	1.309	0.389	4.681	2.8597885333302e-06	0.000186998080590123	0.0032	0.01	0.0047	0.0047	TRUE	0.032
OG1650	118	160	143	168	224	135	100	54	81	290	142	335	230	451	337	125	206	255	148	156	210	123	162	137	80	58	67	281	396	287	275	317	249	147	218	191	194.66	171	141	68	321	280	185	1.855	0.891	4.675	2.93681469920351e-06	0.000186998080590123	0.022	0.0178	0.0203	0.0203	TRUE	0.1262
OG546	591	919	793	1026	1190	765	346	303	399	1580	698	1496	1659	3573	2666	1061	1137	1430	739	898	1166	754	862	775	278	324	328	1531	1949	1283	1983	2515	1971	1250	1203	1071	1159.98	934	797	310	1588	2156	1175	1.694	0.76	4.671	2.99916729094022e-06	0.000186998080590123	0.0211	0.0111	0.0179	0.0179	TRUE	0.0802
OG1337	4841	6461	4669	18090	15582	11893	8678	8024	9772	10988	3689	10665	7974	19606	19529	8787	12688	15837	6055	6310	6863	13298	11285	12053	6983	8588	8023	10649	10300	9146	9531	13801	14435	10350	13422	11865	10164.31	6409	12212	7865	10032	12589	11879	1.565	0.646	4.621	3.81936327968137e-06	0.000226797429036317	0.0148	0.0099	0.0139	0.0139	TRUE	0.1625
OG759	1004	1328	1171	1052	1158	820	313	240	295	2281	693	2562	1757	3781	3201	1256	1719	2042	1256	1297	1721	773	839	831	252	257	242	2211	1935	2197	2100	2662	2366	1479	1818	1530	1431.44	1425	814	250	2114	2376	1609	1.489	0.575	4.573	4.80394549586983e-06	0.000260457392754334	0.0105	0.0109	0.0106	0.0106	TRUE	0.0756
OG1498	1941	2241	1626	1444	1691	1586	1526	1143	1521	3804	1037	6340	884	1725	1637	1315	1665	2039	2428	2189	2390	1061	1225	1607	1228	1223	1249	3687	2895	5437	1057	1214	1210	1549	1761	1528	1940.99	2336	1298	1233	4006	1160	1613	1.719	0.782	4.519	6.22422700684868e-06	0.000323400461564179	0.027	0.0106	0.0211	0.0211	TRUE	0.047
OG1012	103	111	82	132	161	104	93	51	74	175	83	241	180	288	248	111	154	210	129	108	121	97	117	105	75	55	61	170	232	207	215	203	183	131	163	157	140.4	119	106	64	203	200	150	1.674	0.743	4.387	1.14743329586694e-05	0.000550326661517722	0.0059	0.0209	0.0121	0.0121	TRUE	0.0584
