Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1988	185	242	131	497	338	357	282	214	345	80	26	97	210	290	313	176	254	361	231	236	193	365	245	362	227	229	283	78	73	83	251	204	231	207	269	270	224.32	220	324	246	78	229	249	0.319	-1.647	-8.498	1.92101691640896e-17	4.69707469561172e-16	0.017	0.0167	0.0169	0.0169	TRUE	0.1803
OG1255	3043	4543	2531	7559	7872	5700	7509	5884	6848	3885	1352	4026	2391	4078	3875	3075	3071	5031	3806	4437	3720	5557	5701	5777	6043	6297	5622	3765	3775	3452	2858	2871	2864	3622	3249	3769	4288.1	3988	5678	5987	3664	2864	3547	0.611	-0.71	-8.492	2.02823197631698e-17	4.86385629705244e-16	0.0032	0.0101	0.0048	0.0048	TRUE	0.0398
OG1463	2829	3769	2482	5814	5492	4235	5639	4410	5633	2897	978	3225	4371	5759	5526	3189	3532	5040	3539	3681	3648	4274	3978	4292	4538	4720	4625	2808	2731	2766	5225	4054	4084	3756	3736	3776	3901.63	3623	4181	4628	2768	4454	3756	0.598	-0.741	-8.4	4.48356583287135e-17	1.03537159140566e-15	0.0038	0.0102	0.0052	0.0052	TRUE	0.0918
OG1663	2239	2901	1780	5985	5520	4265	5012	3980	4838	2584	964	2742	3260	4759	4309	3061	3093	4607	2801	2833	2616	4400	3998	4322	4033	4260	3972	2504	2692	2351	3897	3350	3185	3606	3272	3451	3419.05	2750	4240	4088	2516	3477	3443	0.614	-0.705	-8.093	5.81185816412e-16	1.27147142643116e-14	0.0036	0.0102	0.0051	0.0051	TRUE	0.0444
OG820	431	608	393	942	944	649	923	740	973	462	183	526	426	599	619	498	568	796	539	594	578	692	684	658	743	792	799	448	511	451	509	422	458	587	601	596	592.22	570	678	778	470	463	595	0.596	-0.746	-7.954	1.8099872791476e-15	3.52664708921415e-14	9e-04	0.0124	0.0043	0.0043	TRUE	0.0268
OG575	325	510	289	454	486	345	671	466	647	251	56	259	669	960	713	364	305	568	407	498	425	334	352	350	540	499	531	243	156	222	800	676	527	429	323	426	429.76	443	345	523	207	668	393	0.407	-1.298	-7.834	4.73931703073375e-15	8.69107108430145e-14	0.0173	0.0134	0.0156	0.0156	TRUE	0.033
OG1492	14457	19897	12075	33042	28803	22405	26133	18554	25369	13116	4814	12783	18495	28153	33294	15950	17654	23733	18083	19433	17749	24289	20861	22707	21030	19858	20829	12712	13441	10962	22107	19817	24609	18788	18675	17780	19096.01	18422	22619	20572	12372	22178	18414	0.601	-0.735	-7.759	8.58476438770654e-15	1.50777481570001e-13	0.0053	0.0099	0.0064	0.0064	TRUE	0.0408
OG657	1357	1814	983	2568	2756	1765	2449	1853	2246	1197	418	1312	1175	1717	1506	1191	1214	1854	1697	1772	1445	1888	1996	1789	1971	1983	1844	1160	1167	1125	1404	1209	1113	1403	1284	1389	1535.5	1638	1891	1933	1151	1242	1359	0.595	-0.749	-7.559	4.07425432490442e-14	6.59817551059196e-13	0.0044	0.0108	0.0062	0.0062	TRUE	0.0505
OG2973	234	300	198	553	563	382	500	353	460	235	55	228	280	395	361	207	244	363	293	293	291	407	408	387	402	378	378	228	154	196	335	278	267	244	258	272	303.68	292	401	386	193	293	258	0.515	-0.958	-7.548	4.41620347547904e-14	6.97089333407894e-13	0.0022	0.0149	0.0071	0.0071	TRUE	0.0792
OG717	2477	3242	1975	4331	3991	3163	5563	3690	5164	2301	904	3182	785	1438	1536	1803	1582	2380	3098	3166	2903	3184	2891	3206	4477	3949	4240	2230	2524	2729	938	1012	1135	2124	1673	1783	2625.68	3056	3094	4222	2494	1028	1860	0.591	-0.76	-7.155	8.34888647916966e-13	1.14407268566204e-11	0.0067	0.0104	0.0077	0.0077	TRUE	0.061
OG533	564	693	395	938	1099	634	1298	971	1250	523	209	607	523	660	538	578	638	927	705	677	581	690	796	643	1045	1039	1026	507	584	521	625	465	398	681	675	694	686.08	654	710	1037	537	496	683	0.515	-0.958	-7.038	1.95523974354781e-12	2.56650943179381e-11	0.0117	0.0121	0.0116	0.0116	TRUE	0.1932
OG1226	1514	2092	1160	3596	3523	2586	3027	2412	2905	1783	613	1793	1330	2062	2175	1666	1765	2442	1894	2043	1705	2643	2552	2621	2436	2581	2385	1728	1712	1538	1590	1451	1608	1962	1867	1829	2008.07	1881	2605	2467	1659	1550	1886	0.671	-0.576	-6.968	3.21024150113176e-12	4.08486852235847e-11	0.0023	0.0106	0.0043	0.0043	TRUE	0.0262
