Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1352	5234	7533	4289	3755	3232	2585	8528	5989	7741	6328	2522	7804	2562	3788	4110	5614	5011	8690	6547	7357	6304	2760	2341	2620	6863	6410	6356	6133	7042	6692	3062	2666	3038	6613	5301	6510	5256.38	6736	2574	6543	6622	2922	6141	2.571	1.363	13.143	1.85745971741612e-39	3.86042044602984e-37	0.0063	0.0101	0.0075	0.0075	TRUE	0.0582
OG818	407	504	463	315	409	272	94	103	100	832	331	1004	596	1072	801	327	383	488	509	492	681	232	296	276	76	110	82	806	924	861	712	755	592	385	405	366	475.54	561	268	89	864	686	385	3.217	1.686	11.398	4.28014608674191e-30	5.33734217016716e-28	0.0136	0.0131	0.0134	0.0134	TRUE	0.1315
OG759	1004	1328	1171	1052	1158	820	313	240	295	2281	693	2562	1757	3781	3201	1256	1719	2042	1256	1297	1721	773	839	831	252	257	242	2211	1935	2197	2100	2662	2366	1479	1818	1530	1431.44	1425	814	250	2114	2376	1609	2.602	1.38	10.946	6.94442053868899e-28	7.87244764704107e-26	0.0105	0.0109	0.0106	0.0106	TRUE	0.0756
OG913	164	192	156	93	95	83	49	49	45	265	85	362	133	259	210	125	98	162	205	188	229	68	69	84	39	52	37	257	237	310	159	182	155	147	104	121	146.97	207	74	43	268	165	124	3.708	1.891	10.787	3.96728309166481e-27	4.12266834608835e-25	0.0093	0.0204	0.014	0.014	TRUE	0.0856
OG727	175	233	170	158	174	110	91	54	64	325	134	331	294	543	564	271	257	368	219	228	250	116	126	111	73	58	53	315	374	284	351	382	417	319	272	276	234.66	232	118	61	324	383	289	2.692	1.429	9.844	7.29305565923582e-23	5.34967082768651e-21	0.0051	0.0164	0.0095	0.0095	TRUE	0.0982
OG485	919	1320	1076	850	969	659	351	249	327	1756	521	1904	754	1793	1343	839	805	1272	1150	1289	1582	625	702	668	282	266	268	1702	1455	1633	901	1262	993	988	852	953	976.13	1340	665	272	1597	1052	931	2.408	1.268	9.571	1.05781514811715e-21	6.59547744851041e-20	0.0116	0.0114	0.0116	0.0116	TRUE	0.1209
OG1498	1941	2241	1626	1444	1691	1586	1526	1143	1521	3804	1037	6340	884	1725	1637	1315	1665	2039	2428	2189	2390	1061	1225	1607	1228	1223	1249	3687	2895	5437	1057	1214	1210	1549	1761	1528	1940.99	2336	1298	1233	4006	1160	1613	3.096	1.63	9.412	4.88069531047447e-21	2.76646684189167e-19	0.027	0.0106	0.0211	0.0211	TRUE	0.047
OG1414	5343	6885	4670	6015	6555	4758	7167	5283	6774	7576	2410	8641	4183	7779	6449	4781	5434	7692	6683	6724	6864	4422	4748	4822	5767	5654	5562	7342	6729	7410	5000	5476	4767	5632	5748	5763	5839.59	6757	4664	5661	7160	5081	5714	1.538	0.621	9.266	1.94002534012187e-20	9.6768463965279e-19	0.0015	0.01	0.003	0.003	TRUE	0.0191
OG1469	855	1152	948	811	971	672	544	424	574	1461	513	1706	732	1606	1244	652	895	1185	1069	1125	1393	596	703	681	438	454	471	1416	1432	1463	875	1130	919	768	947	888	931.67	1196	660	454	1437	975	868	2.178	1.123	9.167	4.85504802939713e-20	2.16223031880651e-18	0.0082	0.0115	0.0097	0.0097	TRUE	0.0811
OG1503	18933	26839	19110	18882	20031	16527	16992	12638	15885	31236	9217	40506	11718	24833	21226	14706	16379	24994	23682	26213	28089	13880	14508	16750	13674	13526	13042	30273	25735	34735	14006	17480	15689	17323	17326	18725	19703.1	25995	15046	13414	30248	15725	17791	2.011	1.008	8.892	6.02598523880329e-19	2.59117365268542e-17	0.009	0.0099	0.0092	0.0092	TRUE	0.0264
OG1519	1215	1762	1264	1284	1473	962	1105	757	1023	1992	640	2212	1690	3733	2966	1392	1552	2188	1520	1721	1858	944	1067	975	889	810	840	1931	1787	1897	2020	2628	2192	1640	1642	1639	1555.48	1700	995	846	1872	2280	1640	1.883	0.913	8.828	1.07022469507001e-18	4.30506514436228e-17	0.0051	0.0108	0.0069	0.0069	TRUE	0.0724
OG476	21157	26508	23873	21574	25996	17834	10931	7836	10007	41017	16472	40795	17335	41804	34300	20172	22934	31805	26464	25890	35090	15859	18828	18074	8796	8387	8216	39752	45992	34983	20720	29427	25352	23761	24260	23828	24093.29	29148	17587	8466	40242	25166	23950	2.288	1.194	8.8	1.36932229813406e-18	5.33607783054117e-17	0.0148	0.0098	0.0132	0.0132	TRUE	0.065
OG668	4552	7774	5560	4029	3648	3585	3695	2631	3229	9330	3109	12381	2311	5657	4370	3736	2299	4450	5694	7593	8172	2962	2642	3633	2973	2816	2651	9042	8681	10617	2762	3982	3230	4401	2432	3334	4867.64	7153	3079	2813	9447	3325	3389	3.069	1.618	8.749	2.14473890698842e-18	8.10451338489261e-17	0.0319	0.0101	0.0244	0.0244	TRUE	0.1583
OG897	781	1131	876	739	921	581	692	448	612	1277	447	1656	647	1263	894	604	568	911	977	1105	1288	543	667	589	557	479	502	1238	1248	1420	773	889	661	711	601	683	829.49	1123	600	513	1302	774	665	2.174	1.12	8.556	1.16989142260883e-17	3.94285028106274e-16	0.0109	0.0117	0.0111	0.0111	TRUE	0.0589
OG811	5282	7783	6679	4193	5245	3823	1904	1352	1612	10018	3099	11906	3444	9528	6387	4035	3562	6319	6607	7601	9817	3082	3799	3874	1532	1447	1324	9709	8653	10210	4117	6707	4721	4753	3768	4734	5358.6	8008	3585	1434	9524	5182	4418	2.658	1.41	8.43	3.45231213360692e-17	1.07625830765196e-15	0.0253	0.0101	0.02	0.02	TRUE	0.1544
OG714	1239	1713	1281	1608	1390	1208	1355	1022	1318	2325	753	2673	1204	2831	2502	1401	1436	2128	1550	1673	1883	1182	1007	1224	1090	1094	1082	2253	2102	2292	1439	1993	1849	1650	1519	1594	1582.1	1702	1138	1089	2216	1760	1588	1.952	0.965	8.408	4.15963932512777e-17	1.26513908254496e-15	0.0074	0.0108	0.0088	0.0088	TRUE	0.1001
OG673	1276	1592	1130	1183	1470	981	1120	932	1148	1707	700	1946	1170	2053	1607	978	1088	1488	1596	1555	1661	870	1065	994	901	997	943	1654	1955	1669	1398	1445	1188	1152	1151	1115	1294.91	1604	976	947	1759	1344	1139	1.793	0.843	8.364	6.04687522784536e-17	1.79534604979123e-15	0.0049	0.011	0.0065	0.0065	TRUE	0.0424
