Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1370	13019	18818	11979	18248	19866	14861	21677	16023	20877	15964	5162	19631	8356	13613	11789	9033	8022	13545	16285	18379	17608	13414	14388	15061	17444	17149	17141	15472	14413	16834	9988	9582	8714	10640	8486	10148	13952.47	17424	14288	17245	15573	9428	9758	0.56	-0.836	-8.898	5.67288535106219e-19	1.41481760655491e-16	0.0051	0.0099	0.0063	0.0063	TRUE	0.0529
OG1274	17491	23249	14504	19249	25324	17355	24360	18150	20476	24281	8163	26817	8912	17095	12029	10452	10857	16250	21878	22707	21319	14150	18341	17589	19603	19425	16811	23532	22792	22996	10652	12033	8891	12312	11485	12174	17149.55	21968	16693	18613	23107	10525	11990	0.546	-0.874	-7.831	4.82326419857959e-15	5.01217537969063e-13	0.0082	0.0099	0.0089	0.0089	TRUE	0.0755
OG799	4201	6161	3872	4820	5238	4244	6360	4625	5400	5423	1830	7263	2484	4810	3772	2801	2664	4534	5255	6017	5691	3543	3794	4301	5118	4950	4434	5256	5110	6228	2969	3386	2788	3299	2818	3397	4352.98	5654	3879	4834	5531	3048	3171	0.561	-0.834	-7.438	1.02277091028592e-13	7.97122078204091e-12	0.0082	0.0101	0.0088	0.0088	TRUE	0.0499
OG58	433	507	283	405	465	305	584	370	476	442	167	620	238	354	341	227	188	336	542	495	416	298	337	309	470	396	391	428	466	532	284	249	252	267	199	252	365.73	484	315	419	475	262	239	0.493	-1.019	-7.284	3.23453075504986e-13	2.01672992577359e-11	0.0091	0.014	0.0108	0.0108	TRUE	0.0775
OG1373	9612	13773	8948	11010	13595	9612	15702	11076	12613	11158	3069	15308	4829	8567	6497	5608	5962	8961	12023	13452	13152	8093	9846	9741	12636	11854	10356	10814	8569	13127	5772	6030	4802	6606	6307	6713	9438.59	12876	9227	11615	10837	5535	6542	0.508	-0.977	-7.268	3.64751459668985e-13	2.14479906740412e-11	0.0138	0.0099	0.0129	0.0129	TRUE	0.0483
OG511	873	1420	843	1062	1101	786	1047	771	990	1202	413	1440	1193	1791	1536	685	649	951	1092	1387	1239	781	797	797	843	825	813	1165	1153	1235	1426	1261	1135	807	687	712	1008.55	1239	792	827	1184	1274	735	0.592	-0.757	-7.186	6.64867360853506e-13	3.60473738688836e-11	0.0052	0.0113	0.0068	0.0068	TRUE	0.0423
OG1372	8077	11094	8764	11073	11550	9378	9552	6618	8901	12177	3866	14090	5540	10009	9533	6027	6981	9205	10103	10835	12882	8140	8365	9504	7687	7083	7308	11802	10794	12083	6622	7046	7046	7099	7385	6896	8815.52	11273	8670	7359	11560	6905	7127	0.632	-0.661	-7.133	9.81484548945758e-13	4.89564493014144e-11	0.005	0.01	0.0061	0.0061	TRUE	0.0632
OG1624	44893	59652	39377	50381	58586	43592	62866	45249	53230	59249	17801	78534	22956	42230	35590	28682	30334	48558	56154	58261	57879	37035	42431	44179	50590	48428	43704	57422	49703	67345	27439	29726	26306	33785	32088	36379	44380.75	57431	41215	47574	58157	27824	34084	0.593	-0.753	-7.096	1.2840421518119e-12	6.15846370503632e-11	0.0075	0.0098	0.0081	0.0081	TRUE	0.0506
OG1712	4036	5566	3575	5263	5968	4208	6825	5072	5867	4479	1475	5376	3015	4792	4218	3159	2870	4352	5048	5436	5255	3869	4322	4265	5492	5428	4817	4341	4118	4610	3604	3373	3118	3721	3036	3260	4284.12	5246	4152	5246	4356	3365	3339	0.636	-0.652	-7.076	1.48245347264421e-12	6.84673881624939e-11	0.0045	0.0101	0.0059	0.0059	TRUE	0.0401
OG1273	907	1011	742	823	1139	692	1149	785	934	1066	347	1162	812	1130	848	473	490	726	1135	987	1091	605	825	701	925	840	767	1033	969	996	971	795	627	557	518	544	827	1071	710	844	999	798	540	0.504	-0.988	-6.96	3.40609058399247e-12	1.46461895111676e-10	0.0136	0.0117	0.013	0.013	TRUE	0.068
OG701	199	271	199	228	293	173	237	161	200	246	75	301	177	295	247	116	124	183	249	265	293	168	212	175	191	172	164	238	209	258	212	208	183	137	131	137	200.06	269	185	176	235	201	135	0.504	-0.989	-6.964	3.31333879799359e-12	1.46461895111676e-10	0	0.0176	0.0086	0.0086	TRUE	0.0642
OG619	1324	2374	1256	1799	1703	1470	2730	1891	2380	1444	568	1931	808	1158	1135	973	633	1223	1656	2319	1846	1322	1233	1490	2197	2024	1954	1399	1586	1656	966	815	839	1146	670	916	1446.36	1940	1348	2058	1547	873	911	0.469	-1.093	-6.898	5.26262766374566e-12	2.11693441828737e-10	0.0202	0.0109	0.0172	0.0172	TRUE	0.1666
OG448	1486	2072	1368	1522	1793	1305	1542	1115	1321	2234	757	2916	817	1824	1404	1032	1014	1593	1859	2024	2011	1119	1299	1323	1241	1193	1085	2165	2114	2501	977	1284	1038	1216	1073	1193	1483.96	1965	1247	1173	2260	1100	1161	0.591	-0.759	-6.743	1.55397038390076e-11	5.69941490801249e-10	0.0072	0.0108	0.0084	0.0084	TRUE	0.0874
