Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1362	3266	3935	2362	13478	11689	8502	8758	6657	8080	4872	1856	5881	3096	5115	4778	5583	6586	8461	4085	3843	3472	9908	8466	8616	7048	7125	6634	4722	5182	5043	3701	3601	3532	6576	6967	6339	5825.47	3800	8997	6936	4982	3611	6627	1.743	0.802	9.724	2.38886794198692e-22	1.48945916182885e-19	0.0032	0.01	0.0047	0.0047	TRUE	0.032
OG595	2352	3005	1866	13015	11684	7875	5274	4156	5137	4302	1373	4178	4476	7573	6619	4181	6069	7596	2942	2935	2743	9567	8462	7981	4244	4448	4218	4169	3834	3583	5350	5331	4892	4925	6420	5691	5096.36	2873	8670	4303	3862	5191	5679	1.976	0.983	9.776	1.43064860681064e-22	1.48945916182885e-19	0.0058	0.0101	0.007	0.007	TRUE	0.0523
OG1399	976	1249	876	2798	3031	1940	2105	1751	2010	1415	544	1446	2209	3493	3657	1831	2253	2865	1221	1220	1288	2057	2195	1966	1694	1874	1650	1371	1519	1240	2640	2459	2703	2157	2383	2146	1876.87	1243	2073	1739	1377	2601	2229	1.794	0.843	9.437	3.84334839472081e-21	1.59755181607228e-18	0.0033	0.0106	0.005	0.005	TRUE	0.0308
OG772	446	678	378	2197	2165	1343	823	683	826	793	325	782	1342	2431	2095	1074	1118	1646	558	662	556	1615	1568	1361	662	731	678	769	907	671	1604	1711	1548	1265	1183	1233	1071.25	592	1515	690	782	1621	1227	2.067	1.048	9.385	6.28498666260238e-21	1.95934459206629e-18	0.0064	0.0112	0.0075	0.0075	TRUE	0.0639
OG1216	1907	2460	1603	5307	4080	3289	2748	2624	3412	3892	1438	2735	6604	13404	14355	5408	6468	8352	2385	2403	2356	3901	2955	3333	2211	2808	2801	3772	4015	2345	7894	9435	10610	6370	6842	6257	4594.2	2381	3396	2607	3377	9313	6490	2.725	1.446	8.826	1.08245976170435e-18	2.24971220474221e-16	0.0216	0.0101	0.019	0.019	TRUE	0.0885
OG486	550	649	469	1515	1439	1027	982	738	981	811	255	846	833	1383	1558	906	1203	1537	688	634	689	1114	1042	1041	790	790	805	786	712	725	996	974	1152	1067	1273	1151	912.72	670	1066	795	741	1041	1164	1.739	0.798	8.416	3.91177239476902e-17	6.75112319086785e-15	0.003	0.0115	0.0051	0.0051	TRUE	0.036
OG591	453	508	346	3232	1783	1666	1136	942	1573	663	278	732	645	1171	1710	1301	1792	2244	567	496	509	2376	1291	1688	914	1008	1291	643	776	628	771	824	1264	1532	1896	1681	1119.76	524	1785	1071	682	953	1703	3.252	1.701	8.404	4.33111351459044e-17	6.75112319086785e-15	0.0383	0.0112	0.0281	0.0281	TRUE	0.0536
OG1279	425	572	429	1408	1319	922	787	644	795	891	292	827	1194	2227	2130	832	1263	1425	532	559	631	1035	955	934	633	689	653	864	815	709	1427	1568	1574	980	1336	1068	942.31	574	975	658	796	1523	1128	1.969	0.978	8.233	1.82042716877499e-16	2.52230297718046e-14	0.007	0.0114	0.0087	0.0087	TRUE	0.1028
OG832	194	216	136	1386	886	838	461	460	645	359	119	314	383	868	1034	488	770	907	243	211	200	1019	642	849	371	492	530	348	332	269	458	611	764	575	815	680	522.64	218	837	464	316	611	690	3.165	1.662	8.181	2.80963801042426e-16	3.50361859899905e-14	0.0339	0.0128	0.0262	0.0262	TRUE	0.0365
OG1592	3309	3974	2700	6791	6526	4823	5494	4601	5494	5277	1823	5353	5016	9114	9972	5179	7750	9445	4139	3881	3969	4992	4727	4888	4421	4924	4511	5114	5090	4590	5995	6415	7371	6100	8198	7076	5355.7	3996	4869	4619	4931	6594	7125	1.783	0.834	7.993	1.31176168572961e-15	1.48706074736802e-13	0.0067	0.0101	0.0076	0.0076	TRUE	0.0418
OG1313	1691	2265	1565	43182	35196	27895	2807	2312	2994	3560	977	4070	3655	6768	6234	2964	4284	5567	2115	2212	2300	31743	25491	28271	2259	2474	2458	3450	2728	3490	4369	4764	4608	3491	4532	4171	7495.91	2209	28502	2397	3223	4580	4065	1.84	0.88	7.705	1.31259895843308e-14	1.25908530858927e-12	0.0084	0.01	0.009	0.009	TRUE	0.01
OG1318	773	967	684	17402	17753	12207	1152	859	1187	1440	495	1747	1457	2808	2733	1271	2428	2567	967	944	1005	12792	12858	12371	927	919	975	1396	1382	1498	1742	1977	2020	1497	2568	1923	3320.09	972	12674	940	1425	1913	1996	2.054	1.039	7.63	2.34397361787535e-14	2.08781078677897e-12	0.013	0.0103	0.0125	0.0125	TRUE	0.2516
OG2022	5145	6437	4742	9071	10381	7604	8372	6594	8244	9325	2978	9736	9002	17233	13795	8060	11755	15735	6436	6287	6970	6668	7519	7706	6737	7057	6769	9037	8315	8349	10760	12131	10196	9494	12435	11788	8591.88	6564	7298	6854	8567	11029	11239	1.713	0.776	7.619	2.54859065411911e-14	2.11872836379102e-12	0.0063	0.01	0.0073	0.0073	TRUE	0.0749
OG1166	420	451	296	1244	999	692	571	528	786	563	175	424	1131	1800	1932	819	1142	1323	525	440	435	914	724	701	459	565	645	546	489	364	1352	1267	1428	965	1208	991	778.82	467	780	556	466	1349	1055	2.258	1.175	7.374	1.65837685065053e-13	1.21646819574189e-11	0.0181	0.0118	0.0165	0.0165	TRUE	0.1611
OG606	102	133	98	832	532	434	299	234	340	155	50	206	243	400	607	284	402	470	128	130	144	612	385	440	241	250	279	150	140	177	290	282	449	335	425	352	289.31	134	479	257	156	340	371	2.774	1.472	7.345	2.05703234797761e-13	1.42506629884894e-11	0.0273	0.0152	0.023	0.023	TRUE	0.1806
OG604	2443	3141	1825	11972	8916	7721	5364	4210	5248	3584	1447	3637	4100	6881	8115	4188	6175	7765	3056	3068	2683	8801	6458	7825	4317	4506	4309	3473	4040	3119	4901	4844	5998	4933	6532	5817	4926.54	2936	7695	4377	3544	5248	5761	1.962	0.972	7.322	2.44865043406087e-13	1.60708794277574e-11	0.0133	0.0101	0.0124	0.0124	TRUE	0.0405
OG599	182	176	115	921	1017	531	440	409	492	298	131	254	272	499	603	367	546	615	228	172	169	677	737	538	354	438	404	289	366	218	325	351	446	432	578	461	398.95	190	651	399	291	374	490	2.587	1.371	7.263	3.783927785316e-13	2.14479906740412e-11	0.0263	0.0137	0.0214	0.0214	TRUE	0.1259
OG1610	6123	7126	4269	25416	25262	14604	14431	11195	13851	8624	2972	9367	7849	12669	10616	9069	13600	16311	7659	6960	6275	18683	18296	14801	11613	11982	11372	8358	8298	8032	9382	8918	7847	10683	14386	12220	10875.79	6965	17260	11656	8229	8716	12430	1.785	0.836	7.177	7.12275552182566e-13	3.70086505654858e-11	0.0093	0.0099	0.0096	0.0096	TRUE	0.0759
OG1440	1218	1747	1103	9244	7265	4975	3636	3104	3696	1998	758	1963	5442	6872	5776	3376	2824	4259	1524	1706	1621	6795	5262	5042	2926	3322	3035	1936	2116	1683	6505	4837	4269	3977	2987	3191	3485.26	1617	5700	3094	1912	5204	3385	2.092	1.065	6.931	4.18628877585803e-12	1.74010070116499e-10	0.0198	0.0102	0.0165	0.0165	TRUE	0.1439
OG488	115	153	98	463	411	253	258	169	215	168	46	188	358	485	517	237	331	379	144	149	144	340	298	256	208	181	177	163	128	161	428	341	382	279	350	284	245.22	146	298	189	151	384	304	2.084	1.059	6.886	5.74294657484182e-12	2.23795449338367e-10	0.0087	0.0161	0.0113	0.0113	TRUE	0.0485
OG1605	437	516	372	1479	1357	1098	800	654	900	511	209	538	955	1429	1536	755	934	1072	547	504	547	1087	983	1113	644	700	739	495	584	461	1141	1006	1135	889	988	803	798.12	533	1061	694	513	1094	893	1.678	0.747	6.768	1.30547349600071e-11	4.93310742276633e-10	0.0049	0.0117	0.0071	0.0071	TRUE	0.0415
OG773	1625	2171	1415	2866	2953	2147	2547	1888	2403	2775	962	2837	2729	4899	4238	2376	3238	3885	2033	2120	2080	2107	2139	2176	2050	2021	1973	2689	2686	2433	3262	3448	3132	2799	3425	2911	2526.84	2078	2141	2015	2603	3281	3045	1.465	0.551	6.729	1.71390551155005e-11	5.93677825806365e-10	0.0025	0.0104	0.0044	0.0044	TRUE	0.048
OG2069	1111	1207	890	2568	2317	1618	1917	1474	1966	1489	542	1483	1754	2940	2952	1583	2203	2659	1390	1179	1308	1888	1678	1640	1543	1578	1614	1443	1513	1272	2097	2070	2182	1865	2330	1992	1698.88	1292	1735	1578	1409	2116	2062	1.597	0.676	6.721	1.79867651695273e-11	6.06202599091908e-10	0.005	0.0107	0.0066	0.0066	TRUE	0.0516
OG396	615	566	539	858	1173	664	675	521	675	1276	650	1307	1260	2189	1840	1192	1920	1921	769	553	792	631	850	673	543	558	554	1237	1815	1121	1506	1541	1360	1404	2031	1439	1076.45	705	718	552	1391	1469	1625	2.309	1.207	6.677	2.44510007560648e-11	8.02378893231916e-10	0.029	0.0112	0.0224	0.0224	TRUE	0.2694
OG1569	2834	3609	2342	9324	8744	6352	6614	4800	6335	3387	1236	3819	6118	7780	7277	4423	5605	7511	3545	3525	3442	6854	6333	6438	5322	5137	5201	3283	3451	3275	7313	5476	5379	5210	5929	5627	5041.12	3504	6542	5220	3336	6056	5589	1.595	0.674	6.644	3.06018883246097e-11	9.30745237580203e-10	0.0063	0.0101	0.0071	0.0071	TRUE	0.1332
OG1202	1443	1922	1375	4362	3602	2994	2438	1960	2723	2405	814	2479	2429	4849	5149	2547	3020	4016	1805	1877	2021	3206	2609	3034	1962	2098	2236	2331	2273	2126	2903	3413	3806	3000	3195	3009	2605.75	1901	2950	2099	2243	3374	3068	1.614	0.691	6.569	5.08121067746932e-11	1.4735510964661e-09	0.0061	0.0104	0.0075	0.0075	TRUE	0.0519
OG754	310	266	200	1168	1429	648	657	468	620	414	139	465	823	1106	905	524	670	933	388	260	294	859	1035	657	529	501	509	401	388	399	984	779	669	617	709	699	593.04	314	850	513	396	811	675	2.155	1.108	6.479	9.20785376252022e-11	2.60958946405971e-09	0.0204	0.0124	0.0184	0.0184	TRUE	0.0384
OG1337	4841	6461	4669	18090	15582	11893	8678	8024	9772	10988	3689	10665	7974	19606	19529	8787	12688	15837	6055	6310	6863	13298	11285	12053	6983	8588	8023	10649	10300	9146	9531	13801	14435	10350	13422	11865	10164.31	6409	12212	7865	10032	12589	11879	1.854	0.89	6.374	1.8374661859435e-10	4.98113116059031e-09	0.0148	0.0099	0.0139	0.0139	TRUE	0.1625
OG2039	1819	1989	1390	4274	4273	3098	3222	2500	3657	2727	1273	3003	2583	4045	5591	2857	5111	5488	2275	1943	2043	3142	3095	3140	2593	2676	3003	2643	3554	2575	3087	2847	4133	3365	5407	4112	3090.63	2087	3126	2757	2924	3356	4295	2.058	1.041	6.357	2.06152210465717e-10	5.46961290320742e-09	0.024	0.0103	0.0189	0.0189	TRUE	0.0704
OG1617	187	286	145	1296	1105	784	613	563	669	365	177	347	229	462	566	419	564	672	234	279	213	953	800	795	493	603	549	354	494	298	274	325	418	494	597	503	481.97	242	849	548	382	339	531	2.185	1.128	6.338	2.3322164212471e-10	6.05890391103153e-09	0.0246	0.013	0.0194	0.0194	TRUE	0.2063
OG1240	4126	4893	3260	9168	8289	6265	6858	5602	7581	5874	2096	6504	6022	9844	11009	5593	8137	9898	5161	4779	4792	6739	6003	6349	5519	5996	6224	5693	5852	5577	7198	6929	8137	6588	8607	7415	6308.91	4911	6364	5913	5707	7421	7537	1.535	0.618	6.326	2.51187533253526e-10	6.3924664074928e-09	0.0056	0.01	0.0067	0.0067	TRUE	0.0626
OG1185	2818	3682	2411	4676	3821	2892	2782	2289	3299	4753	1542	3709	4318	9027	10015	5028	7366	8953	3525	3596	3544	3437	2767	2931	2239	2450	2709	4606	4306	3181	5161	6354	7402	5923	7792	6707	4368.33	3555	3045	2466	4031	6306	6807	1.915	0.937	6.302	2.93704510475579e-10	7.32499049126094e-09	0.0176	0.0101	0.0157	0.0157	TRUE	0.0481
OG1724	928	1299	753	10823	8092	7469	2164	1667	2332	1459	546	1545	1246	1939	2586	1637	2170	2709	1161	1269	1107	7956	5861	7570	1741	1784	1915	1414	1525	1325	1489	1365	1911	1928	2295	2030	2535.83	1179	7129	1813	1421	1588	2084	1.767	0.821	6.172	6.73358712095238e-10	1.64642806663287e-08	0.0121	0.0104	0.012	0.012	TRUE	0.1099
OG634	950	1328	867	2602	2251	1677	1998	1667	2279	1336	461	1520	1370	2320	2659	1635	1753	2478	1188	1297	1274	1913	1630	1700	1608	1784	1871	1295	1287	1303	1638	1633	1965	1926	1854	1856	1612.42	1253	1748	1754	1295	1745	1879	1.499	0.584	6.154	7.55539704951492e-10	1.77765662655568e-08	0.0042	0.0107	0.0057	0.0057	TRUE	0.0497
OG551	362	442	345	993	747	617	547	445	637	553	187	549	675	1331	1511	618	886	1139	453	432	507	730	541	625	440	476	523	536	522	471	807	937	1117	728	937	853	646.4	464	632	480	510	954	839	1.814	0.859	6.019	1.75791452137913e-09	3.71545662399962e-08	0.013	0.0122	0.0128	0.0128	TRUE	0.0447
OG1059	601	678	447	1550	1609	1150	1238	910	1315	652	259	661	806	1208	1564	847	1258	1602	752	662	657	1139	1165	1165	996	974	1080	632	723	567	963	850	1156	998	1331	1200	945.07	690	1156	1017	641	990	1176	1.705	0.77	6.002	1.95406253209872e-09	3.99461635660181e-08	0.0098	0.0114	0.0105	0.0105	TRUE	0.0882
OG1691	1296	1862	1238	6681	4928	4193	3275	3018	4020	2678	869	2587	1807	4590	5252	2904	3519	4327	1621	1819	1820	4911	3569	4249	2635	3230	3301	2595	2426	2218	2160	3231	3882	3421	3722	3242	3002.95	1753	4243	3055	2413	3091	3462	1.974	0.981	5.968	2.40403196127234e-09	4.83520621888162e-08	0.0218	0.0103	0.019	0.019	TRUE	0.1136
OG1494	1989	2050	1609	6797	4490	4671	3650	3051	4633	2833	1088	3055	2454	4045	7987	4258	6036	6985	2488	2002	2365	4996	3252	4734	2937	3265	3804	2746	3038	2620	2933	2847	5903	5016	6385	5233	3698.04	2285	4327	3335	2801	3894	5545	2.427	1.279	5.946	2.75587022908928e-09	5.36964089949115e-08	0.0495	0.0102	0.033	0.033	TRUE	0.8279
OG1700	855	1273	861	4290	3682	2854	2206	1956	2533	1837	738	1818	1523	3660	3721	1698	2235	2746	1069	1243	1266	3154	2667	2892	1775	2093	2080	1780	2061	1559	1820	2576	2750	2000	2364	2057	2067.11	1193	2904	1983	1800	2382	2140	1.795	0.844	5.869	4.38999942293345e-09	8.29443830363335e-08	0.0149	0.0105	0.0141	0.0141	TRUE	0.1698
OG926	705	858	546	1382	1263	953	949	713	925	1080	376	1011	874	1809	1797	998	1348	1771	882	838	803	1016	915	966	764	763	759	1047	1050	867	1045	1273	1328	1176	1426	1327	1013.51	841	966	762	988	1215	1310	1.558	0.639	5.833	5.45219465047128e-09	9.71269532733955e-08	0.0062	0.0113	0.0075	0.0075	TRUE	0.0581
OG1704	595	856	597	1429	1231	1012	781	606	851	1160	431	1181	1209	2631	2555	1071	1298	1697	744	836	878	1050	892	1026	628	649	699	1124	1203	1013	1445	1852	1888	1262	1373	1271	1101.84	819	989	659	1113	1728	1302	1.59	0.669	5.813	6.11989566247357e-09	1.05993192932008e-07	0.0073	0.0112	0.0084	0.0084	TRUE	0.0807
OG2063	6043	6640	4488	19267	12827	11891	10947	9406	14226	7915	2467	7624	7007	11927	18248	9767	16466	19422	7559	6485	6597	14163	9290	12051	8809	10067	11680	7671	6888	6538	8375	8396	13488	11505	17418	14551	10085.01	6880	11835	10185	7032	10086	14491	2.106	1.075	5.777	7.59937105961296e-09	1.26352209484498e-07	0.0338	0.0099	0.0248	0.0248	TRUE	0.0862
OG1595	664	772	504	2013	2118	1291	1231	1049	1337	885	277	858	927	1482	1485	905	1275	1522	831	754	741	1480	1534	1308	991	1123	1098	858	773	736	1108	1043	1098	1066	1349	1140	1057.18	775	1441	1071	789	1083	1185	1.529	0.612	5.767	8.05568080192702e-09	1.31907459373887e-07	0.0053	0.0113	0.0069	0.0069	TRUE	0.0575
