Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1199	802	1092	685	2486	2216	1987	2421	1682	2188	1003	319	1429	311	565	513	628	545	877	1003	1067	1007	1827	1605	2014	1948	1800	1796	972	891	1225	372	398	379	740	577	657	1126.53	1026	1815	1848	1029	383	658	0.356	-1.492	-12.342	5.39620490043338e-35	8.08081683839899e-33	0.0085	0.0112	0.0095	0.0095	TRUE	0.0829
OG741	5865	8014	4474	8796	9630	6820	15253	10413	13219	6305	2079	8541	1445	2129	1724	3821	3620	6399	7336	7827	6576	6466	6975	6912	12274	11145	10853	6111	5805	7324	1727	1499	1274	4501	3829	4794	6290.44	7246	6784	11424	6413	1500	4375	0.383	-1.385	-11.514	1.12805058436749e-30	1.12617050006021e-28	0.0104	0.01	0.0103	0.0103	TRUE	0.07
OG243	1103	1452	993	1875	1922	1427	2280	1745	2178	1544	510	1813	594	1009	903	945	912	1415	1380	1418	1460	1378	1392	1446	1835	1868	1788	1496	1424	1555	710	710	667	1113	965	1060	1314.74	1419	1405	1830	1492	696	1046	0.572	-0.807	-11.187	4.74304189041022e-29	4.37089552670111e-27	6e-04	0.011	0.003	0.003	TRUE	0.0177
OG717	2477	3242	1975	4331	3991	3163	5563	3690	5164	2301	904	3182	785	1438	1536	1803	1582	2380	3098	3166	2903	3184	2891	3206	4477	3949	4240	2230	2524	2729	938	1012	1135	2124	1673	1783	2625.68	3056	3094	4222	2494	1028	1860	0.44	-1.184	-11.171	5.62756099632586e-29	4.81558433828456e-27	0.0067	0.0104	0.0077	0.0077	TRUE	0.061
OG1255	3043	4543	2531	7559	7872	5700	7509	5884	6848	3885	1352	4026	2391	4078	3875	3075	3071	5031	3806	4437	3720	5557	5701	5777	6043	6297	5622	3765	3775	3452	2858	2871	2864	3622	3249	3769	4288.1	3988	5678	5987	3664	2864	3547	0.593	-0.755	-9.09	9.88632557336284e-20	4.38659927292174e-18	0.0032	0.0101	0.0048	0.0048	TRUE	0.0398
OG867	505	650	421	1005	1033	698	1019	751	1053	610	180	633	398	691	596	427	471	616	632	635	619	739	748	707	820	804	865	591	503	543	476	486	441	503	498	461	615	629	731	830	546	468	487	0.586	-0.771	-8.967	3.05165393048225e-19	1.2606487616268e-17	0	0.0123	0.0038	0.0038	TRUE	0.0199
OG1370	13019	18818	11979	18248	19866	14861	21677	16023	20877	15964	5162	19631	8356	13613	11789	9033	8022	13545	16285	18379	17608	13414	14388	15061	17444	17149	17141	15472	14413	16834	9988	9582	8714	10640	8486	10148	13952.47	17424	14288	17245	15573	9428	9758	0.566	-0.821	-8.745	2.22315474600186e-18	8.87779795236741e-17	0.0051	0.0099	0.0063	0.0063	TRUE	0.0529
OG1409	10002	15108	9301	17536	18470	12679	21401	16096	18695	12308	3840	14962	6696	10437	8437	7998	6724	11555	12511	14756	13671	12891	13377	12850	17222	17227	15349	11928	10722	12830	8004	7347	6236	9421	7113	8657	11783.94	13646	13039	16599	11827	7196	8397	0.506	-0.983	-8.586	9.02239334885246e-18	3.08823635197864e-16	0.009	0.0099	0.0094	0.0094	TRUE	0.0727
OG1348	9192	11604	7057	12015	12566	9305	15910	11515	14435	10281	3560	12500	4646	8418	7411	7059	7628	11549	11498	11333	10373	8832	9101	9430	12803	12324	11852	9964	9940	10719	5553	5926	5478	8315	8069	8652	9453.46	11068	9121	12326	10208	5652	8345	0.677	-0.562	-8.527	1.5012876177498e-17	4.86092585422773e-16	0.0016	0.0099	0.003	0.003	TRUE	0.0122
OG4442	978	1259	784	2053	2227	1435	2514	1892	2198	1396	412	1560	902	1410	1233	1027	932	1499	1223	1230	1152	1509	1613	1454	2023	2025	1805	1353	1150	1338	1078	993	911	1210	986	1123	1343.12	1202	1525	1951	1280	994	1106	0.567	-0.819	-8.384	5.13429814872763e-17	1.50021687370139e-15	0.0044	0.0109	0.0062	0.0062	TRUE	0.0354
