Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG759	1004	1328	1171	1052	1158	820	313	240	295	2281	693	2562	1757	3781	3201	1256	1719	2042	1256	1297	1721	773	839	831	252	257	242	2211	1935	2197	2100	2662	2366	1479	1818	1530	1431.44	1425	814	250	2114	2376	1609	6.432	2.685	20.239	4.47803379392153e-91	5.36468448511799e-88	0.0105	0.0109	0.0106	0.0106	TRUE	0.0756
OG389	1014	1387	1066	945	1059	794	381	229	366	675	161	465	833	1465	1213	1226	1350	1888	1268	1355	1567	695	767	805	307	245	300	654	450	399	996	1031	897	1444	1428	1414	890.06	1397	756	284	501	975	1429	5.018	2.327	15.64	3.87386729667311e-55	2.32044651070719e-52	0.016	0.0115	0.014	0.014	TRUE	0.3002
OG727	175	233	170	158	174	110	91	54	64	325	134	331	294	543	564	271	257	368	219	228	250	116	126	111	73	58	53	315	374	284	351	382	417	319	272	276	234.66	232	118	61	324	383	289	4.693	2.231	13.922	4.62971371941855e-44	1.84879901195447e-41	0.0051	0.0164	0.0095	0.0095	TRUE	0.0982
OG2075	622	835	621	475	633	407	264	233	300	955	411	672	760	2032	1280	1429	1205	2115	778	816	913	349	458	412	212	249	246	926	1148	576	908	1430	946	1683	1275	1585	828.4	836	406	236	883	1095	1514	6.419	2.682	13.021	9.28364114561786e-39	2.78045052311255e-36	0.0356	0.0117	0.0284	0.0284	TRUE	0.1056
OG412	160	210	190	269	254	172	62	72	62	394	118	346	386	733	583	255	366	371	200	205	279	198	184	174	50	77	51	382	329	297	461	516	431	300	387	278	266.68	228	185	59	336	469	322	5.49	2.457	12.944	2.55150937108908e-38	6.11341645312943e-36	0.0176	0.0156	0.0168	0.0168	TRUE	0.1807
OG485	919	1320	1076	850	969	659	351	249	327	1756	521	1904	754	1793	1343	839	805	1272	1150	1289	1582	625	702	668	282	266	268	1702	1455	1633	901	1262	993	988	852	953	976.13	1340	665	272	1597	1052	931	3.415	1.772	12.837	1.01226143196909e-37	1.89399125552156e-35	0.0116	0.0114	0.0116	0.0116	TRUE	0.1209
OG818	407	504	463	315	409	272	94	103	100	832	331	1004	596	1072	801	327	383	488	509	492	681	232	296	276	76	110	82	806	924	861	712	755	592	385	405	366	475.54	561	268	89	864	686	385	4.35	2.121	12.83	1.10667268686569e-37	1.89399125552156e-35	0.0136	0.0131	0.0134	0.0134	TRUE	0.1315
OG462	630	839	684	982	829	790	463	390	512	1187	368	1082	1122	2471	2199	1026	1233	1655	788	819	1005	722	600	801	373	417	420	1150	1028	928	1341	1739	1625	1209	1304	1240	972.8	871	708	403	1035	1568	1251	3.102	1.633	12.252	1.64451208254394e-34	2.18902830543071e-32	0.0113	0.0114	0.0113	0.0113	TRUE	0.0704
OG546	591	919	793	1026	1190	765	346	303	399	1580	698	1496	1659	3573	2666	1061	1137	1430	739	898	1166	754	862	775	278	324	328	1531	1949	1283	1983	2515	1971	1250	1203	1071	1159.98	934	797	310	1588	2156	1175	3.788	1.922	11.589	4.67672525694787e-31	5.60271685782355e-29	0.0211	0.0111	0.0179	0.0179	TRUE	0.0802
OG817	523	734	616	721	684	537	318	258	372	1045	341	1210	692	1551	1303	680	700	1102	654	717	905	530	495	544	256	276	305	1013	952	1038	827	1092	963	801	740	826	718.62	759	523	279	1001	961	789	2.828	1.5	11.58	5.18998941382677e-31	5.65237028887679e-29	0.0089	0.0119	0.0099	0.0099	TRUE	0.0688
OG1022	167	230	185	263	208	166	101	95	124	335	98	401	318	590	555	252	270	392	209	225	272	193	151	168	81	102	102	325	274	344	380	415	410	297	286	294	251.46	235	171	95	314	402	292	3.088	1.627	11.091	1.38216831361002e-28	1.1038917598032e-26	0.0044	0.016	0.0091	0.0091	TRUE	0.0613
OG476	21157	26508	23873	21574	25996	17834	10931	7836	10007	41017	16472	40795	17335	41804	34300	20172	22934	31805	26464	25890	35090	15859	18828	18074	8796	8387	8216	39752	45992	34983	20720	29427	25352	23761	24260	23828	24093.29	29148	17587	8466	40242	25166	23950	2.829	1.5	11.044	2.35252213788281e-28	1.76145095073975e-26	0.0148	0.0098	0.0132	0.0132	TRUE	0.065
OG1491	495	560	481	520	577	330	283	168	302	837	255	990	451	1022	1035	523	733	999	619	547	707	382	418	334	228	180	248	811	712	849	539	719	765	616	775	748	566.59	624	378	219	791	674	713	3.256	1.703	10.909	1.04274570053898e-27	7.34829028968058e-26	0.016	0.0125	0.0148	0.0148	TRUE	0.1165
OG878	1306	1734	1158	2339	2988	1813	1045	916	1225	2171	614	1693	1888	4227	3639	2008	2568	3151	1634	1694	1702	1719	2164	1837	841	980	1006	2104	1714	1452	2257	2975	2690	2365	2716	2361	1900.65	1677	1907	942	1757	2641	2481	2.633	1.397	10.237	1.35437017378147e-24	9.01408593439e-23	0.0132	0.0106	0.0127	0.0127	TRUE	0.1105
OG1185	2818	3682	2411	4676	3821	2892	2782	2289	3299	4753	1542	3709	4318	9027	10015	5028	7366	8953	3525	3596	3544	3437	2767	2931	2239	2450	2709	4606	4306	3181	5161	6354	7402	5923	7792	6707	4368.33	3555	3045	2466	4031	6306	6807	2.761	1.465	9.849	6.95586323025313e-23	4.38585481570698e-21	0.0176	0.0101	0.0157	0.0157	TRUE	0.0481
