Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1352	5234	7533	4289	3755	3232	2585	8528	5989	7741	6328	2522	7804	2562	3788	4110	5614	5011	8690	6547	7357	6304	2760	2341	2620	6863	6410	6356	6133	7042	6692	3062	2666	3038	6613	5301	6510	5256.38	6736	2574	6543	6622	2922	6141	2.387	1.255	12.132	7.13086995584475e-34	1.038037332382e-31	0.0063	0.0101	0.0075	0.0075	TRUE	0.0582
OG2075	622	835	621	475	633	407	264	233	300	955	411	672	760	2032	1280	1429	1205	2115	778	816	913	349	458	412	212	249	246	926	1148	576	908	1430	946	1683	1275	1585	828.4	836	406	236	883	1095	1514	3.723	1.897	9.343	9.33453242762455e-21	9.70013494770651e-19	0.0356	0.0117	0.0284	0.0284	TRUE	0.1056
OG727	175	233	170	158	174	110	91	54	64	325	134	331	294	543	564	271	257	368	219	228	250	116	126	111	73	58	53	315	374	284	351	382	417	319	272	276	234.66	232	118	61	324	383	289	2.439	1.286	9.003	2.19786028600385e-19	2.10825521280524e-17	0.0051	0.0164	0.0095	0.0095	TRUE	0.0982
OG1178	4396	5520	3908	6382	6296	4073	4965	4087	5062	6650	1974	5943	6875	13122	10224	6456	8160	10303	5499	5391	5744	4691	4560	4128	3995	4374	4156	6445	5512	5096	8217	9237	7557	7605	8632	7719	6031.03	5545	4460	4175	5684	8337	7985	1.79	0.84	8.427	3.54977632485668e-17	2.7661433335916e-15	0.006	0.01	0.007	0.007	TRUE	0.0569
OG1185	2818	3682	2411	4676	3821	2892	2782	2289	3299	4753	1542	3709	4318	9027	10015	5028	7366	8953	3525	3596	3544	3437	2767	2931	2239	2450	2709	4606	4306	3181	5161	6354	7402	5923	7792	6707	4368.33	3555	3045	2466	4031	6306	6807	2.235	1.16	7.812	5.61480030940013e-15	3.50082799291098e-13	0.0176	0.0101	0.0157	0.0157	TRUE	0.0481
OG759	1004	1328	1171	1052	1158	820	313	240	295	2281	693	2562	1757	3781	3201	1256	1719	2042	1256	1297	1721	773	839	831	252	257	242	2211	1935	2197	2100	2662	2366	1479	1818	1530	1431.44	1425	814	250	2114	2376	1609	1.976	0.983	7.813	5.60118127877631e-15	3.50082799291098e-13	0.0105	0.0109	0.0106	0.0106	TRUE	0.0756
OG1311	2557	3033	1642	1554	1792	1151	1413	1123	1530	2486	757	2195	1552	2941	2306	2069	1926	3484	3198	2962	2414	1142	1298	1166	1137	1202	1256	2409	2114	1882	1855	2070	1704	2437	2037	2610	1938.65	2858	1202	1198	2135	1876	2361	1.965	0.974	7.711	1.24387185327981e-14	7.38622952876153e-13	0.0104	0.0106	0.0109	0.0109	TRUE	0.0739
OG399	500	769	550	570	523	417	588	406	479	801	291	1009	715	1513	1571	677	727	1009	625	751	808	419	379	423	473	435	393	776	813	865	855	1065	1161	797	769	756	697.98	728	407	434	818	1027	774	1.904	0.929	7.503	6.25973025114634e-14	3.39386244486065e-12	0.0083	0.012	0.0094	0.0094	TRUE	0.0825
OG1441	14260	18161	13501	22538	21924	16077	19215	16158	19764	24098	7827	21029	23349	45037	37716	21692	26552	33528	17837	17737	19845	16568	15879	16293	15463	17293	16227	23355	21854	18033	27908	31702	27877	25552	28087	25119	21257.17	18473	16247	16328	21081	29162	26253	1.616	0.692	7.178	7.06370215640176e-13	3.38786022655115e-11	0.0056	0.0099	0.0067	0.0067	TRUE	0.0657
OG1238	4033	5198	3740	5974	5337	4356	5925	4813	6585	5885	1751	6437	4316	7845	7864	5193	6206	8575	5045	5077	5497	4391	3865	4415	4768	5151	5407	5704	4889	5520	5159	5522	5813	6117	6565	6424	5296	5206	4224	5109	5371	5498	6369	1.508	0.593	7.01	2.37490396104179e-12	1.09628525089591e-10	0.0035	0.0101	0.005	0.005	TRUE	0.0236
OG1519	1215	1762	1264	1284	1473	962	1105	757	1023	1992	640	2212	1690	3733	2966	1392	1552	2188	1520	1721	1858	944	1067	975	889	810	840	1931	1787	1897	2020	2628	2192	1640	1642	1639	1555.48	1700	995	846	1872	2280	1640	1.648	0.72	7.005	2.46158677025546e-12	1.09628525089591e-10	0.0051	0.0108	0.0069	0.0069	TRUE	0.0724
OG640	1437	1914	1208	2311	2153	1493	2280	1801	2271	2029	673	1638	2124	4488	4067	2374	2844	3437	1797	1869	1776	1699	1559	1513	1835	1928	1865	1966	1879	1405	2539	3159	3006	2796	3008	2575	2120.8	1814	1590	1876	1750	2901	2793	1.755	0.812	6.984	2.8684634564605e-12	1.23343928627802e-10	0.0081	0.0105	0.0093	0.0093	TRUE	0.1266
OG1307	2479	3723	2107	1495	1311	1104	1014	779	1003	2366	695	2112	1117	2054	1511	2337	1493	3177	3101	3636	3097	1099	950	1119	816	834	823	2293	1941	1811	1335	1446	1117	2753	1579	2380	1784.96	3278	1056	824	2015	1299	2237	2.12	1.084	6.827	8.68337773360293e-12	3.38380376056339e-10	0.019	0.0107	0.0176	0.0176	TRUE	0.1213
OG396	615	566	539	858	1173	664	675	521	675	1276	650	1307	1260	2189	1840	1192	1920	1921	769	553	792	631	850	673	543	558	554	1237	1815	1121	1506	1541	1360	1404	2031	1439	1076.45	705	718	552	1391	1469	1625	2.262	1.178	6.557	5.50512421895976e-11	2.08026966698267e-09	0.029	0.0112	0.0224	0.0224	TRUE	0.2694
OG690	885	1193	711	752	861	656	911	689	887	980	366	992	604	1015	991	794	815	1364	1107	1165	1045	553	624	665	733	737	728	950	1022	851	722	714	732	935	862	1022	842.65	1106	614	733	941	723	940	1.536	0.619	6.418	1.38222064212129e-10	4.92465468778644e-09	0.0033	0.0116	0.0055	0.0055	TRUE	0.0302
OG1305	2970	3363	1900	1299	1613	1028	887	742	995	2256	521	1800	872	1507	1165	1951	1684	2858	3715	3285	2793	955	1168	1042	714	794	817	2186	1455	1544	1042	1061	861	2298	1781	2141	1647.31	3264	1055	775	1728	988	2073	1.965	0.975	6.409	1.46718753442542e-10	5.08217459841251e-09	0.0184	0.0107	0.016	0.016	TRUE	0.0636
OG1662	29	38	25	40	38	33	14	24	30	15	4	15	55	78	93	83	70	146	36	37	37	29	28	33	11	26	25	15	11	13	66	55	69	98	74	109	42.85	37	30	21	13	63	94	3.144	1.652	6.392	1.63549817054807e-10	5.33925212886221e-09	0	0.0461	0.0293	0.0293	TRUE	0.1662
OG389	1014	1387	1066	945	1059	794	381	229	366	675	161	465	833	1465	1213	1226	1350	1888	1268	1355	1567	695	767	805	307	245	300	654	450	399	996	1031	897	1444	1428	1414	890.06	1397	756	284	501	975	1429	1.892	0.92	6.394	1.62041477740303e-10	5.33925212886221e-09	0.016	0.0115	0.014	0.014	TRUE	0.3002
OG924	5841	5565	3646	4572	4574	3527	4168	3350	4905	6000	1730	6318	2187	4510	4931	4722	6036	8969	7306	5435	5359	3361	3313	3574	3354	3585	4027	5815	4830	5418	2614	3175	3645	5562	6385	6719	4637.69	6033	3416	3655	5354	3145	6222	1.822	0.865	6.388	1.67970162006781e-10	5.33925212886221e-09	0.0144	0.0101	0.013	0.013	TRUE	0.1383
OG462	630	839	684	982	829	790	463	390	512	1187	368	1082	1122	2471	2199	1026	1233	1655	788	819	1005	722	600	801	373	417	420	1150	1028	928	1341	1739	1625	1209	1304	1240	972.8	871	708	403	1035	1568	1251	1.77	0.824	6.312	2.74721294881374e-10	8.35554767602617e-09	0.0113	0.0114	0.0113	0.0113	TRUE	0.0704
OG773	1625	2171	1415	2866	2953	2147	2547	1888	2403	2775	962	2837	2729	4899	4238	2376	3238	3885	2033	2120	2080	2107	2139	2176	2050	2021	1973	2689	2686	2433	3262	3448	3132	2799	3425	2911	2526.84	2078	2141	2015	2603	3281	3045	1.423	0.509	6.277	3.45710175549491e-10	1.02642997359575e-08	0.0025	0.0104	0.0044	0.0044	TRUE	0.048
OG2022	5145	6437	4742	9071	10381	7604	8372	6594	8244	9325	2978	9736	9002	17233	13795	8060	11755	15735	6436	6287	6970	6668	7519	7706	6737	7057	6769	9037	8315	8349	10760	12131	10196	9494	12435	11788	8591.88	6564	7298	6854	8567	11029	11239	1.54	0.623	6.134	8.58493700402851e-10	2.32726444435295e-08	0.0063	0.01	0.0073	0.0073	TRUE	0.0749
OG1491	495	560	481	520	577	330	283	168	302	837	255	990	451	1022	1035	523	733	999	619	547	707	382	418	334	228	180	248	811	712	849	539	719	765	616	775	748	566.59	624	378	219	791	674	713	1.885	0.914	6.022	1.72026053775445e-09	4.56418061825489e-08	0.016	0.0125	0.0148	0.0148	TRUE	0.1165
OG1061	515	686	526	640	757	473	552	412	547	972	352	941	737	1513	1342	735	687	1027	644	670	773	470	548	479	444	441	449	942	983	807	881	1065	992	866	727	769	719.51	696	499	445	911	979	787	1.574	0.654	5.804	6.47800587325318e-09	1.55347563922052e-07	0.006	0.0119	0.0077	0.0077	TRUE	0.0419
OG1529	1449	1744	1280	2524	2187	1632	2249	1747	2486	1970	590	2253	1675	3197	3217	2123	2286	3247	1812	1703	1881	1855	1584	1654	1810	1870	2041	1909	1647	1932	2002	2250	2378	2501	2418	2433	1982.31	1799	1698	1907	1829	2210	2451	1.443	0.529	5.75	8.90793573205874e-09	2.0196719741595e-07	0.004	0.0106	0.0057	0.0057	TRUE	0.027
OG1022	167	230	185	263	208	166	101	95	124	335	98	401	318	590	555	252	270	392	209	225	272	193	151	168	81	102	102	325	274	344	380	415	410	297	286	294	251.46	235	171	95	314	402	292	1.71	0.774	5.721	1.05598632461437e-08	2.24368165783753e-07	0.0044	0.016	0.0091	0.0091	TRUE	0.0613
OG1191	945	1287	849	1560	1599	1025	1784	1336	1578	1446	378	1518	1438	2451	2291	1379	1560	2052	1182	1257	1248	1147	1158	1039	1436	1430	1296	1401	1055	1302	1719	1725	1693	1624	1650	1537	1383.31	1229	1115	1387	1253	1712	1604	1.437	0.523	5.728	1.01366685694303e-08	2.24368165783753e-07	0.0033	0.0109	0.0053	0.0053	TRUE	0.0617
