Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1352	5234	7533	4289	3755	3232	2585	8528	5989	7741	6328	2522	7804	2562	3788	4110	5614	5011	8690	6547	7357	6304	2760	2341	2620	6863	6410	6356	6133	7042	6692	3062	2666	3038	6613	5301	6510	5256.38	6736	2574	6543	6622	2922	6141	0.382	-1.389	-13.415	4.93419741628232e-41	7.69118022263007e-39	0.0063	0.0101	0.0075	0.0075	TRUE	0.0582
OG1310	2296	3039	1766	1359	1673	1042	1135	866	1130	2064	560	1919	1159	2079	1596	1486	1403	2591	2872	2968	2596	999	1212	1056	913	927	928	2000	1564	1646	1385	1463	1180	1750	1484	1941	1604.68	2812	1089	923	1737	1343	1725	0.387	-1.369	-11.24	2.59818735576382e-29	2.31424259474106e-27	0.0094	0.0108	0.0101	0.0101	TRUE	0.072
OG1305	2970	3363	1900	1299	1613	1028	887	742	995	2256	521	1800	872	1507	1165	1951	1684	2858	3715	3285	2793	955	1168	1042	714	794	817	2186	1455	1544	1042	1061	861	2298	1781	2141	1647.31	3264	1055	775	1728	988	2073	0.323	-1.63	-10.731	7.25908965636408e-27	6.03472320099067e-25	0.0184	0.0107	0.016	0.016	TRUE	0.0636
OG1307	2479	3723	2107	1495	1311	1104	1014	779	1003	2366	695	2112	1117	2054	1511	2337	1493	3177	3101	3636	3097	1099	950	1119	816	834	823	2293	1941	1811	1335	1446	1117	2753	1579	2380	1784.96	3278	1056	824	2015	1299	2237	0.322	-1.635	-10.31	6.37685635888778e-25	4.41774437751837e-23	0.019	0.0107	0.0176	0.0176	TRUE	0.1213
OG1306	4443	5970	2844	2126	2450	1728	1567	1214	1510	3548	1073	2954	1399	2379	1922	2822	2049	4454	5557	5831	4180	1563	1774	1751	1261	1299	1240	3439	2996	2533	1672	1675	1421	3324	2167	3337	2612.26	5189	1696	1267	2989	1589	2943	0.327	-1.614	-10.267	9.91877161433557e-25	6.50984642267182e-23	0.0189	0.0104	0.0174	0.0174	TRUE	0.148
OG1311	2557	3033	1642	1554	1792	1151	1413	1123	1530	2486	757	2195	1552	2941	2306	2069	1926	3484	3198	2962	2414	1142	1298	1166	1137	1202	1256	2409	2114	1882	1855	2070	1704	2437	2037	2610	1938.65	2858	1202	1198	2135	1876	2361	0.421	-1.25	-9.89	4.62093043094357e-23	2.61922738517574e-21	0.0104	0.0106	0.0109	0.0109	TRUE	0.0739
OG690	885	1193	711	752	861	656	911	689	887	980	366	992	604	1015	991	794	815	1364	1107	1165	1045	553	624	665	733	737	728	950	1022	851	722	714	732	935	862	1022	842.65	1106	614	733	941	723	940	0.553	-0.854	-8.826	1.08636787550336e-18	3.76305761320193e-17	0.0033	0.0116	0.0055	0.0055	TRUE	0.0302
OG913	164	192	156	93	95	83	49	49	45	265	85	362	133	259	210	125	98	162	205	188	229	68	69	84	39	52	37	257	237	310	159	182	155	147	104	121	146.97	207	74	43	268	165	124	0.355	-1.495	-8.459	2.70416764335809e-17	8.22462695431108e-16	0.0093	0.0204	0.014	0.014	TRUE	0.0856
OG1414	5343	6885	4670	6015	6555	4758	7167	5283	6774	7576	2410	8641	4183	7779	6449	4781	5434	7692	6683	6724	6864	4422	4748	4822	5767	5654	5562	7342	6729	7410	5000	5476	4767	5632	5748	5763	5839.59	6757	4664	5661	7160	5081	5714	0.69	-0.535	-8	1.24140000233259e-15	3.36527348458421e-14	0.0015	0.01	0.003	0.003	TRUE	0.0191
OG485	919	1320	1076	850	969	659	351	249	327	1756	521	1904	754	1793	1343	839	805	1272	1150	1289	1582	625	702	668	282	266	268	1702	1455	1633	901	1262	993	988	852	953	976.13	1340	665	272	1597	1052	931	0.497	-1.01	-7.628	2.38527941922931e-14	5.83224203093911e-13	0.0116	0.0114	0.0116	0.0116	TRUE	0.1209
OG1519	1215	1762	1264	1284	1473	962	1105	757	1023	1992	640	2212	1690	3733	2966	1392	1552	2188	1520	1721	1858	944	1067	975	889	810	840	1931	1787	1897	2020	2628	2192	1640	1642	1639	1555.48	1700	995	846	1872	2280	1640	0.586	-0.771	-7.469	8.07849239650245e-14	1.90073207895067e-12	0.0051	0.0108	0.0069	0.0069	TRUE	0.0724
OG673	1276	1592	1130	1183	1470	981	1120	932	1148	1707	700	1946	1170	2053	1607	978	1088	1488	1596	1555	1661	870	1065	994	901	997	943	1654	1955	1669	1398	1445	1188	1152	1151	1115	1294.91	1604	976	947	1759	1344	1139	0.609	-0.716	-7.128	1.01940909117293e-12	2.19262133838265e-11	0.0049	0.011	0.0065	0.0065	TRUE	0.0424
