Id	sample_1A	sample_1B	sample_1C	sample_2A	sample_2B	sample_2C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_2A	norm.sample_2B	norm.sample_2C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus ST	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
OG1313	1691	2265	1565	43182	35196	27895	2807	2312	2994	3560	977	4070	3655	6768	6234	2964	4284	5567	2115	2212	2300	31743	25491	28271	2259	2474	2458	3450	2728	3490	4369	4764	4608	3491	4532	4171	7495.91	2209	28502	2397	3223	4580	4065	12.903	3.69	32.487	1.61256647266855e-231	2.01087039141768e-228	0.0084	0.01	0.009	0.009	TRUE	0.01
OG1318	773	967	684	17402	17753	12207	1152	859	1187	1440	495	1747	1457	2808	2733	1271	2428	2567	967	944	1005	12792	12858	12371	927	919	975	1396	1382	1498	1742	1977	2020	1497	2568	1923	3320.09	972	12674	940	1425	1913	1996	13.041	3.705	27.437	9.83014094176011e-166	6.12909287718743e-163	0.013	0.0103	0.0125	0.0125	TRUE	0.2516
OG1286	42	27	20	1343	1268	839	40	44	44	33	12	44	70	87	81	33	41	54	53	26	29	987	918	850	32	47	36	32	34	38	84	61	60	39	43	40	189.46	36	918	38	35	68	41	25.697	4.684	22.12	2.03488875312284e-108	8.4583542504806e-106	0.0095	0.018	0.015	0.015	TRUE	0.0895
OG1724	928	1299	753	10823	8092	7469	2164	1667	2332	1459	546	1545	1246	1939	2586	1637	2170	2709	1161	1269	1107	7956	5861	7570	1741	1784	1915	1414	1525	1325	1489	1365	1911	1928	2295	2030	2535.83	1179	7129	1813	1421	1588	2084	6.043	2.595	19.643	6.69518701548204e-86	2.08722455207653e-83	0.0121	0.0104	0.012	0.012	TRUE	0.1099
OG1723	313	412	289	2397	2506	1853	589	446	460	480	202	517	516	942	749	335	543	627	392	402	425	1762	1815	1878	474	477	378	465	564	443	617	663	554	395	574	470	708.19	406	1818	443	491	611	480	4.479	2.163	16.27	1.60687773284868e-59	4.0075530657246e-57	0.0105	0.012	0.011	0.011	TRUE	0.1123
OG595	2352	3005	1866	13015	11684	7875	5274	4156	5137	4302	1373	4178	4476	7573	6619	4181	6069	7596	2942	2935	2743	9567	8462	7981	4244	4448	4218	4169	3834	3583	5350	5331	4892	4925	6420	5691	5096.36	2873	8670	4303	3862	5191	5679	3.017	1.593	15.893	7.09338147887392e-57	1.4742411173593e-54	0.0058	0.0101	0.007	0.007	TRUE	0.0523
OG1362	3266	3935	2362	13478	11689	8502	8758	6657	8080	4872	1856	5881	3096	5115	4778	5583	6586	8461	4085	3843	3472	9908	8466	8616	7048	7125	6634	4722	5182	5043	3701	3601	3532	6576	6967	6339	5825.47	3800	8997	6936	4982	3611	6627	2.367	1.243	15.121	1.17021121477275e-51	2.08464769260232e-49	0.0032	0.01	0.0047	0.0047	TRUE	0.032
OG1285	16	13	4	356	313	197	17	14	22	12	3	9	17	21	13	8	4	11	20	13	6	262	227	200	14	15	18	12	8	8	20	15	10	9	4	8	48.2	13	230	16	9	15	7	17.514	4.13	12.293	9.87324335295186e-35	1.36799271790344e-32	0	0.0421	0.0335	0.0335	TRUE	0.0459
OG772	446	678	378	2197	2165	1343	823	683	826	793	325	782	1342	2431	2095	1074	1118	1646	558	662	556	1615	1568	1361	662	731	678	769	907	671	1604	1711	1548	1265	1183	1233	1071.25	592	1515	690	782	1621	1227	2.554	1.353	12.209	2.77208324770799e-34	3.45678780989187e-32	0.0064	0.0112	0.0075	0.0075	TRUE	0.0639
OG1440	1218	1747	1103	9244	7265	4975	3636	3104	3696	1998	758	1963	5442	6872	5776	3376	2824	4259	1524	1706	1621	6795	5262	5042	2926	3322	3035	1936	2116	1683	6505	4837	4269	3977	2987	3191	3485.26	1617	5700	3094	1912	5204	3385	3.525	1.817	11.851	2.1211177102918e-32	2.40457616793988e-30	0.0198	0.0102	0.0165	0.0165	TRUE	0.1439
