"Id","Description","baseMean","All_TMP","minus.5614_TMP","minus.6086_TMP","minus.10675_TMP","minus.SICO_TMP","FoldChange.minus5614vsAll","log2FoldChange.minus5614vsAll","stat.minus5614vsAll","pvalue.minus5614vsAll","padj.minus5614vsAll","FoldChange.minus6086vsAll","log2FoldChange.minus6086vsAll","stat.minus6086vsAll","pvalue.minus6086vsAll","padj.minus6086vsAll","FoldChange.minus10675vsAll","log2FoldChange.minus10675vsAll","stat.minus10675vsAll","pvalue.minus10675vsAll","padj.minus10675vsAll","FoldChange.minusSICOvsAll","log2FoldChange.minusSICOvsAll","stat.minusSICOvsAll","pvalue.minusSICOvsAll","padj.minusSICOvsAll"
"NLANBGKA_00001","hypothetical protein",68.26,0.460361282327145,1.27487025587457,0.967820289598226,1.07515638149569,0.544118364483181,2.46,1.299,4.636,3.56072247894737e-06,0.00046210265060117,1.911,0.934,3.349,0.00080958487361086,0.299384486261296,2.135,1.094,4.084,4.42726324099151e-05,0.000400145639424647,0.914,-0.13,-0.329,0.741873970647739,0.871516304240531
"NLANBGKA_00002","hypothetical protein",17.99,1.77209851146257,3.76732819604315,2.495182000545,3.00431628814894,0.83196567420557,2.467,1.303,3.15,0.00163513630372774,0.0498119796660828,1.574,0.654,1.56,0.118774029466237,1,1.972,0.98,2.517,0.011827042268061,0.0425953628892857,0.569,-0.813,-1.065,0.287050648427228,0.517706545145895
"NLANBGKA_00003","Coenzyme PQQ synthesis protein E",40.21,0.4588469360037,1.22909082395908,0.647434066457203,1.06065427216389,0.442328416785961,2.732,1.45,4.306,1.65991159294892e-05,0.0012925178270429,1.519,0.603,1.755,0.0793408390898233,1,2.407,1.267,3.951,7.78327562393962e-05,0.000638408561293082,0.985,-0.022,-0.046,0.963081414284614,0.980199582722746
"NLANBGKA_00004","hypothetical protein",53.33,0.303369875043769,0.859917494571045,0.577035709854904,0.782655159507,0.299095097751589,2.847,1.51,5.423,5.87442582920219e-08,1.37226587370163e-05,1.931,0.95,3.392,0.000693960837870165,0.299384486261296,2.605,1.381,5.237,1.62885665401999e-07,2.81871657567606e-06,0.998,-0.003,-0.007,0.994769108692059,0.996728601355274
"NLANBGKA_00005","Coenzyme PQQ synthesis protein E",208.73,1.0535710967921,2.12425575388668,1.84782870367659,2.65767585280245,1.44725387973042,1.992,0.994,4.313,1.60745197270649e-05,0.0012925178270429,1.754,0.81,3.546,0.000391121812295242,0.241061410311301,2.549,1.35,6.065,1.31764677511645e-09,3.28024697173727e-08,1.252,0.324,1.205,0.228388541375686,0.443975686801652
"NLANBGKA_00006","hypothetical protein",0.13,0,0,0.126947856168079,0,0,1,0,0,1,NA,9.489,3.246,0.675,0.499879422145347,1,1,0,0,1,NA,1,0,0,1,NA
"NLANBGKA_00007","hypothetical protein",11.01,0.154018551945298,0.218286748621881,0.19974313033439,0.1324493346858,0.0140600259626815,1.213,0.279,0.534,0.593679592662191,NA,1.209,0.274,0.539,0.589685629318623,1,0.837,-0.256,-0.524,0.600565961546908,0.739839276192994,0.238,-2.069,-1.956,0.0504602920189971,0.161769759707961
"NLANBGKA_00008","hypothetical protein",5.1,0.08157278862288,0.0578055649128314,0.0564212694080351,0.0420894552445987,0.119145701491168,0.581,-0.782,-0.945,0.344482469835966,NA,0.744,-0.426,-0.558,0.576644272808506,1,0.718,-0.477,-0.681,0.49556718221458,0.653080280345029,0.9,-0.151,-0.147,0.883159126307157,0.940475105893036
"NLANBGKA_00009","hypothetical protein",0.02,0,0,0,0,0,1,0,0,1,NA,4.642,2.215,0.459,0.646263331817302,1,1,0,0,1,NA,1,0,0,1,NA
"NLANBGKA_00010","hypothetical protein",0.1,0,0,0,0,0,5.149,2.364,0.495,0.620871352103761,NA,1.46,0.546,0.114,0.909555122363218,1,0.645,-0.632,-0.132,0.895182433007025,NA,7.438,2.895,0.601,0.547575451625094,NA
