ID	sample_1C
NLANBGKA_00001	12
NLANBGKA_00002	10
NLANBGKA_00003	16
NLANBGKA_00004	14
NLANBGKA_00005	76
NLANBGKA_00006	0
NLANBGKA_00007	7
NLANBGKA_00008	4
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	69
NLANBGKA_00013	12
NLANBGKA_00014	749
NLANBGKA_00015	438
NLANBGKA_00016	22
NLANBGKA_00017	49
NLANBGKA_00018	49
NLANBGKA_00019	58
NLANBGKA_00020	75
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	0
NLANBGKA_00024	1
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	85
NLANBGKA_00028	0
NLANBGKA_00029	121
NLANBGKA_00030	42
NLANBGKA_00031	23
NLANBGKA_00032	16
NLANBGKA_00035	17
NLANBGKA_00036	9
NLANBGKA_00037	9
NLANBGKA_00038	94
NLANBGKA_00039	59
NLANBGKA_00040	22
NLANBGKA_00041	11
NLANBGKA_00042	32
NLANBGKA_00043	3
NLANBGKA_00044	31
NLANBGKA_00045	152
NLANBGKA_00046	31
NLANBGKA_00047	32
NLANBGKA_00048	45
NLANBGKA_00049	120
NLANBGKA_00050	93
NLANBGKA_00051	10
NLANBGKA_00052	14
NLANBGKA_00053	14
NLANBGKA_00054	8
NLANBGKA_00055	3
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	1
NLANBGKA_00059	2
NLANBGKA_00060	20
NLANBGKA_00061	14
NLANBGKA_00062	35
NLANBGKA_00063	18
NLANBGKA_00064	15
NLANBGKA_00065	2
NLANBGKA_00066	0
NLANBGKA_00067	60
NLANBGKA_00068	86
NLANBGKA_00069	58
NLANBGKA_00070	22
NLANBGKA_00071	15
NLANBGKA_00072	15
NLANBGKA_00073	3
NLANBGKA_00074	1
NLANBGKA_00075	100
NLANBGKA_00076	51
NLANBGKA_00077	16
NLANBGKA_00078	32
NLANBGKA_00079	38
NLANBGKA_00080	75
NLANBGKA_00081	34
NLANBGKA_00082	44
NLANBGKA_00083	83
NLANBGKA_00084	3
NLANBGKA_00085	0
NLANBGKA_00086	462
NLANBGKA_00087	1551
NLANBGKA_00088	90
NLANBGKA_00089	10
NLANBGKA_00090	5
NLANBGKA_00091	15
NLANBGKA_00092	0
NLANBGKA_00093	90
NLANBGKA_00094	29
NLANBGKA_00095	0
NLANBGKA_00096	0
NLANBGKA_00097	0
NLANBGKA_00098	21
NLANBGKA_00099	1
NLANBGKA_00100	17
NLANBGKA_00101	80
NLANBGKA_00102	492
NLANBGKA_00103	40
NLANBGKA_00104	9
NLANBGKA_00105	16
NLANBGKA_00106	1
NLANBGKA_00107	0
NLANBGKA_00108	3
NLANBGKA_00109	0
NLANBGKA_00110	2
NLANBGKA_00111	20
NLANBGKA_00112	10
NLANBGKA_00113	264
NLANBGKA_00114	87
NLANBGKA_00115	143
NLANBGKA_00116	189
NLANBGKA_00117	15
NLANBGKA_00118	66
NLANBGKA_00119	42
NLANBGKA_00120	4
NLANBGKA_00123	315
NLANBGKA_00124	13
NLANBGKA_00125	51
NLANBGKA_00126	5
NLANBGKA_00127	46
NLANBGKA_00128	454
NLANBGKA_00129	6
NLANBGKA_00130	23
NLANBGKA_00131	75
NLANBGKA_00132	38
NLANBGKA_00133	91
NLANBGKA_00134	18
NLANBGKA_00135	254
NLANBGKA_00136	266
NLANBGKA_00137	196
NLANBGKA_00138	149
NLANBGKA_00139	37
NLANBGKA_00140	17
NLANBGKA_00141	270
NLANBGKA_00142	83
NLANBGKA_00143	40
NLANBGKA_00144	20
NLANBGKA_00145	2
NLANBGKA_00146	41
NLANBGKA_00147	0
NLANBGKA_00148	82
NLANBGKA_00149	92
NLANBGKA_00150	22
NLANBGKA_00151	87
NLANBGKA_00152	4
NLANBGKA_00153	53
NLANBGKA_00154	22
NLANBGKA_00155	28
NLANBGKA_00156	16
NLANBGKA_00157	22
NLANBGKA_00158	77
NLANBGKA_00159	22
NLANBGKA_00160	0
NLANBGKA_00161	126
NLANBGKA_00162	50
NLANBGKA_00163	10
