ID	sample_6A
NLANBGKA_00001	4
NLANBGKA_00002	1
NLANBGKA_00003	2
NLANBGKA_00004	3
NLANBGKA_00005	17
NLANBGKA_00006	0
NLANBGKA_00007	0
NLANBGKA_00008	2
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	15
NLANBGKA_00013	2
NLANBGKA_00014	120
NLANBGKA_00015	76
NLANBGKA_00016	5
NLANBGKA_00017	6
NLANBGKA_00018	14
NLANBGKA_00019	16
NLANBGKA_00020	7
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	0
NLANBGKA_00024	0
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	37
NLANBGKA_00028	0
NLANBGKA_00029	20
NLANBGKA_00030	12
NLANBGKA_00031	7
NLANBGKA_00032	2
NLANBGKA_00035	6
NLANBGKA_00036	2
NLANBGKA_00037	0
NLANBGKA_00038	22
NLANBGKA_00039	8
NLANBGKA_00040	9
NLANBGKA_00041	0
NLANBGKA_00042	10
NLANBGKA_00043	1
NLANBGKA_00044	6
NLANBGKA_00045	32
NLANBGKA_00046	5
NLANBGKA_00047	5
NLANBGKA_00048	13
NLANBGKA_00049	28
NLANBGKA_00050	21
NLANBGKA_00051	6
NLANBGKA_00052	3
NLANBGKA_00053	3
NLANBGKA_00054	3
NLANBGKA_00055	6
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	0
NLANBGKA_00059	0
NLANBGKA_00060	3
NLANBGKA_00061	0
NLANBGKA_00062	4
NLANBGKA_00063	1
NLANBGKA_00064	0
NLANBGKA_00065	0
NLANBGKA_00066	0
NLANBGKA_00067	19
NLANBGKA_00068	11
NLANBGKA_00069	19
NLANBGKA_00070	8
NLANBGKA_00071	8
NLANBGKA_00072	2
NLANBGKA_00073	0
NLANBGKA_00074	1
NLANBGKA_00075	15
NLANBGKA_00076	3
NLANBGKA_00077	4
NLANBGKA_00078	7
NLANBGKA_00079	6
NLANBGKA_00080	11
NLANBGKA_00081	9
NLANBGKA_00082	8
NLANBGKA_00083	16
NLANBGKA_00084	3
NLANBGKA_00085	0
NLANBGKA_00086	119
NLANBGKA_00087	237
NLANBGKA_00088	14
NLANBGKA_00089	3
NLANBGKA_00090	0
NLANBGKA_00091	3
NLANBGKA_00092	0
NLANBGKA_00093	20
NLANBGKA_00094	4
NLANBGKA_00095	0
NLANBGKA_00096	2
NLANBGKA_00097	0
NLANBGKA_00098	7
NLANBGKA_00099	0
NLANBGKA_00100	9
NLANBGKA_00101	22
NLANBGKA_00102	115
NLANBGKA_00103	8
NLANBGKA_00104	5
NLANBGKA_00105	4
NLANBGKA_00106	0
NLANBGKA_00107	0
NLANBGKA_00108	5
NLANBGKA_00109	1
NLANBGKA_00110	1
NLANBGKA_00111	2
NLANBGKA_00112	0
NLANBGKA_00113	34
NLANBGKA_00114	9
NLANBGKA_00115	18
NLANBGKA_00116	32
NLANBGKA_00117	3
NLANBGKA_00118	22
NLANBGKA_00119	20
NLANBGKA_00120	0
NLANBGKA_00123	39
NLANBGKA_00124	2
NLANBGKA_00125	8
NLANBGKA_00126	0
NLANBGKA_00127	10
NLANBGKA_00128	77
NLANBGKA_00129	1
NLANBGKA_00130	3
NLANBGKA_00131	10
NLANBGKA_00132	6
NLANBGKA_00133	23
NLANBGKA_00134	3
NLANBGKA_00135	33
NLANBGKA_00136	44
NLANBGKA_00137	28
NLANBGKA_00138	32
NLANBGKA_00139	12
NLANBGKA_00140	1
NLANBGKA_00141	40
NLANBGKA_00142	14
NLANBGKA_00143	7
NLANBGKA_00144	9
NLANBGKA_00145	0
NLANBGKA_00146	10
NLANBGKA_00147	0
NLANBGKA_00148	19
NLANBGKA_00149	14
NLANBGKA_00150	3
NLANBGKA_00151	16
NLANBGKA_00152	3
NLANBGKA_00153	16
NLANBGKA_00154	2
NLANBGKA_00155	13
NLANBGKA_00156	7
NLANBGKA_00157	9
NLANBGKA_00158	15
NLANBGKA_00159	6
NLANBGKA_00160	1
NLANBGKA_00161	50
NLANBGKA_00162	26
NLANBGKA_00163	5
NLANBGKA_00164	2
NLANBGKA_00165	15
NLANBGKA_00166	13
NLANBGKA_00167	13
NLANBGKA_00168	1
NLANBGKA_00169	26
NLANBGKA_00170	0
NLANBGKA_00171	0
NLANBGKA_00172	115
NLANBGKA_00173	1
NLANBGKA_00174	0
NLANBGKA_00175	2
NLANBGKA_00176	4
NLANBGKA_00177	1
NLANBGKA_00178	0
NLANBGKA_00179	8
NLANBGKA_00180	17
NLANBGKA_00181	5
NLANBGKA_00182	0
NLANBGKA_00183	33
NLANBGKA_00184	0
NLANBGKA_00185	0
NLANBGKA_00186	0
NLANBGKA_00187	3
NLANBGKA_00188	0
NLANBGKA_00189	0
NLANBGKA_00190	0
NLANBGKA_00191	18
NLANBGKA_00192	1
NLANBGKA_00193	0
NLANBGKA_00194	13
NLANBGKA_00195	2
NLANBGKA_00196	9
NLANBGKA_00197	28
NLANBGKA_00198	0
NLANBGKA_00199	0
NLANBGKA_00200	4
NLANBGKA_00201	7
NLANBGKA_00202	13
NLANBGKA_00203	0
NLANBGKA_00204	0
NLANBGKA_00205	1
