ID	sample_6B
NLANBGKA_00001	8
NLANBGKA_00002	0
NLANBGKA_00003	3
NLANBGKA_00004	2
NLANBGKA_00005	24
NLANBGKA_00006	0
NLANBGKA_00007	0
NLANBGKA_00008	0
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	19
NLANBGKA_00013	6
NLANBGKA_00014	224
NLANBGKA_00015	113
NLANBGKA_00016	6
NLANBGKA_00017	22
NLANBGKA_00018	32
NLANBGKA_00019	16
NLANBGKA_00020	22
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	1
NLANBGKA_00024	0
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	56
NLANBGKA_00028	0
NLANBGKA_00029	44
NLANBGKA_00030	17
NLANBGKA_00031	10
NLANBGKA_00032	2
NLANBGKA_00035	3
NLANBGKA_00036	7
NLANBGKA_00037	0
NLANBGKA_00038	41
NLANBGKA_00039	16
NLANBGKA_00040	8
NLANBGKA_00041	5
NLANBGKA_00042	16
NLANBGKA_00043	3
NLANBGKA_00044	19
NLANBGKA_00045	57
NLANBGKA_00046	11
NLANBGKA_00047	6
NLANBGKA_00048	29
NLANBGKA_00049	57
NLANBGKA_00050	39
NLANBGKA_00051	7
NLANBGKA_00052	10
NLANBGKA_00053	6
NLANBGKA_00054	13
NLANBGKA_00055	4
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	0
NLANBGKA_00059	0
NLANBGKA_00060	9
NLANBGKA_00061	5
NLANBGKA_00062	4
NLANBGKA_00063	6
NLANBGKA_00064	2
NLANBGKA_00065	0
NLANBGKA_00066	0
NLANBGKA_00067	39
NLANBGKA_00068	49
NLANBGKA_00069	35
NLANBGKA_00070	7
NLANBGKA_00071	3
NLANBGKA_00072	2
NLANBGKA_00073	1
NLANBGKA_00074	5
NLANBGKA_00075	40
NLANBGKA_00076	12
NLANBGKA_00077	4
NLANBGKA_00078	18
NLANBGKA_00079	8
NLANBGKA_00080	16
NLANBGKA_00081	10
NLANBGKA_00082	13
NLANBGKA_00083	21
NLANBGKA_00084	2
NLANBGKA_00085	0
NLANBGKA_00086	228
NLANBGKA_00087	515
NLANBGKA_00088	24
NLANBGKA_00089	8
NLANBGKA_00090	1
NLANBGKA_00091	3
NLANBGKA_00092	1
NLANBGKA_00093	48
NLANBGKA_00094	4
NLANBGKA_00095	0
NLANBGKA_00096	2
NLANBGKA_00097	0
NLANBGKA_00098	10
NLANBGKA_00099	1
NLANBGKA_00100	5
NLANBGKA_00101	42
NLANBGKA_00102	244
NLANBGKA_00103	24
NLANBGKA_00104	9
NLANBGKA_00105	6
NLANBGKA_00106	0
NLANBGKA_00107	0
NLANBGKA_00108	2
NLANBGKA_00109	1
NLANBGKA_00110	1
NLANBGKA_00111	8
NLANBGKA_00112	0
NLANBGKA_00113	71
NLANBGKA_00114	15
NLANBGKA_00115	39
NLANBGKA_00116	67
NLANBGKA_00117	8
NLANBGKA_00118	29
NLANBGKA_00119	35
NLANBGKA_00120	2
NLANBGKA_00123	66
NLANBGKA_00124	3
NLANBGKA_00125	13
NLANBGKA_00126	0
NLANBGKA_00127	20
NLANBGKA_00128	168
NLANBGKA_00129	16
NLANBGKA_00130	4
NLANBGKA_00131	24
NLANBGKA_00132	7
NLANBGKA_00133	52
NLANBGKA_00134	1
NLANBGKA_00135	86
NLANBGKA_00136	60
NLANBGKA_00137	48
NLANBGKA_00138	47
NLANBGKA_00139	17
NLANBGKA_00140	9
NLANBGKA_00141	68
NLANBGKA_00142	17
NLANBGKA_00143	7
NLANBGKA_00144	15
NLANBGKA_00145	1
NLANBGKA_00146	33
NLANBGKA_00147	1
NLANBGKA_00148	51
NLANBGKA_00149	11
NLANBGKA_00150	8
NLANBGKA_00151	49
NLANBGKA_00152	2
NLANBGKA_00153	25
NLANBGKA_00154	10
NLANBGKA_00155	10
NLANBGKA_00156	6
NLANBGKA_00157	8
NLANBGKA_00158	16
NLANBGKA_00159	10
NLANBGKA_00160	2
NLANBGKA_00161	131
NLANBGKA_00162	56
NLANBGKA_00163	6
NLANBGKA_00164	5
NLANBGKA_00165	29
NLANBGKA_00166	40
NLANBGKA_00167	30
NLANBGKA_00168	3
NLANBGKA_00169	43
NLANBGKA_00170	0
NLANBGKA_00171	4
NLANBGKA_00172	201
NLANBGKA_00173	0
NLANBGKA_00174	1
NLANBGKA_00175	8
