Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01572	265	326	15	4	93	18	90	16	17	6465	788	739	4	4	9	46	38	33	15	41	26	29	28	29	672	621	548	45	24	19	147.51	39	27	29	614	29	15.149	3.921	19.402	7.47373145470202e-84	1.06052249342222e-80	0.0321	0.0195	0.0235	0.0235	TRUE	0.1542
NLANBGKA_00258	888	1300	72	53	379	136	489	127	107	7326	844	828	14	33	87	154	152	158	195	168	194	158	219	180	761	665	614	156	201	183	277.18	155	186	186	680	180	4.434	2.149	15.489	4.13624560776564e-54	2.93466625870972e-51	0.0091	0.0149	0.0117	0.0117	TRUE	0.0711
NLANBGKA_01573	308	429	23	12	124	34	156	58	43	3625	382	372	6	5	20	53	50	51	44	55	48	50	100	72	377	301	276	67	30	42	107.82	51	49	74	318	46	6.2	2.632	12.149	5.82112021668675e-34	2.75338986249283e-31	0.0337	0.023	0.028	0.028	TRUE	0.2221
NLANBGKA_00259	582	824	48	34	196	61	254	58	62	3392	395	450	7	24	51	101	96	105	125	87	87	82	100	105	352	311	334	78	146	107	147.77	101	100	96	332	110	3.345	1.742	11.462	2.05141230872657e-30	7.27738516520752e-28	0.0065	0.0194	0.0134	0.0134	TRUE	0.0696
NLANBGKA_01704	1527	2567	119	171	1792	503	1430	306	259	6790	1093	1382	42	65	186	264	300	262	628	796	717	461	528	437	705	861	1025	469	395	390	549.23	275	714	475	864	418	3.107	1.635	11.399	4.2500581814283e-30	1.20616651188935e-27	0.0141	0.0124	0.0134	0.0134	TRUE	0.0325
NLANBGKA_01560	73	110	5	4	19	6	40	6	4	1099	136	132	1	2	4	13	13	11	15	8	9	13	10	7	114	107	98	11	12	8	29.94	12	11	10	106	10	8.497	3.087	11.33	9.30802172776904e-30	2.20134713861738e-27	0	0.0576	0.037	0.037	TRUE	0.1693
NLANBGKA_01561	96	111	10	5	54	7	42	7	8	1243	172	256	1	1	4	17	13	22	18	24	10	14	12	13	129	136	190	11	6	8	41.55	17	17	13	152	8	9.635	3.268	11.31	1.16525380398334e-29	2.36213592550337e-27	0	0.0442	0.0454	0.0454	TRUE	0.6
NLANBGKA_00257	66	108	4	5	36	9	34	10	8	931	105	183	2	6	5	11	13	9	18	16	13	11	17	13	97	83	136	22	37	10	33.75	11	16	14	105	23	8.974	3.166	10.394	2.62986021626215e-25	4.66471455859499e-23	0.042	0.0522	0.0482	0.0482	TRUE	0.3333
NLANBGKA_00679	5581	7889	500	296	2269	677	3056	599	577	20940	2617	3492	126	308	686	965	923	1099	1087	1008	965	985	1033	973	2176	2062	2591	1406	1874	1440	1372.34	996	1020	997	2276	1573	2.301	1.202	10.348	4.27326846460508e-25	6.73751994586068e-23	0.0082	0.0108	0.0092	0.0092	TRUE	0.1212
NLANBGKA_00388	259	352	10	9	91	25	130	32	21	2138	265	202	5	7	20	45	41	22	33	40	36	42	55	35	222	209	150	56	43	42	71.38	36	36	44	194	47	4.931	2.302	9.949	2.54673853936702e-23	3.61382198736181e-21	0.0325	0.0298	0.031	0.031	TRUE	0.1219
NLANBGKA_00766	254	337	29	35	240	84	217	41	30	1808	216	192	15	23	76	44	39	64	129	107	120	70	71	51	188	170	142	167	140	160	110.7	49	119	64	167	156	3.75	1.907	9.919	3.43174221516187e-23	4.42694745755882e-21	0.0178	0.0227	0.0202	0.0202	TRUE	0.0892
NLANBGKA_00260	351	522	28	30	150	52	195	34	48	2166	284	432	19	25	48	61	61	62	110	67	74	63	59	81	225	224	321	212	152	101	124.72	61	84	68	257	155	4.19	2.067	9.658	4.53215783343216e-22	4.59366568974302e-20	0.0355	0.0212	0.0276	0.0276	TRUE	0.0842
NLANBGKA_00389	259	365	24	17	170	43	134	18	22	1515	211	205	6	1	24	45	43	53	62	76	61	43	31	37	157	166	152	67	6	50	70	47	66	37	158	41	3.52	1.816	9.459	3.10828384311801e-21	2.94043651558964e-19	0.0052	0.0302	0.02	0.02	TRUE	0.2702
NLANBGKA_01337	713	956	55	49	276	94	362	70	64	2797	412	422	16	41	75	123	112	121	180	123	134	117	121	108	291	325	313	178	249	157	176.77	119	146	115	310	195	2.612	1.385	9.288	1.57745311116652e-20	1.39900372796581e-18	0.0073	0.0178	0.013	0.013	TRUE	0.2493
