Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01572	265	326	15	4	93	18	90	16	17	6465	788	739	4	4	9	46	38	33	15	41	26	29	28	29	672	621	548	45	24	19	147.51	39	27	29	614	29	18.85	4.237	17.411	6.80416520031441e-68	8.68211479560118e-65	0.0321	0.0195	0.0235	0.0235	TRUE	0.1542
NLANBGKA_00258	888	1300	72	53	379	136	489	127	107	7326	844	828	14	33	87	154	152	158	195	168	194	158	219	180	761	665	614	156	201	183	277.18	155	186	186	680	180	3.744	1.904	12.772	2.3600776816903e-37	1.50572956091841e-34	0.0091	0.0149	0.0117	0.0117	TRUE	0.0711
NLANBGKA_01573	308	429	23	12	124	34	156	58	43	3625	382	372	6	5	20	53	50	51	44	55	48	50	100	72	377	301	276	67	30	42	107.82	51	49	74	318	46	6.268	2.648	10.956	6.18494963622254e-28	2.63066524527332e-25	0.0337	0.023	0.028	0.028	TRUE	0.2221
NLANBGKA_00259	582	824	48	34	196	61	254	58	62	3392	395	450	7	24	51	101	96	105	125	87	87	82	100	105	352	311	334	78	146	107	147.77	101	100	96	332	110	3.562	1.833	10.688	1.15515615679122e-26	3.68494814016398e-24	0.0065	0.0194	0.0134	0.0134	TRUE	0.0696
NLANBGKA_00679	5581	7889	500	296	2269	677	3056	599	577	20940	2617	3492	126	308	686	965	923	1099	1087	1008	965	985	1033	973	2176	2062	2591	1406	1874	1440	1372.34	996	1020	997	2276	1573	2.24	1.164	9.79	1.24348656412555e-22	3.17337771164841e-20	0.0082	0.0108	0.0092	0.0092	TRUE	0.1212
NLANBGKA_01560	73	110	5	4	19	6	40	6	4	1099	136	132	1	2	4	13	13	11	15	8	9	13	10	7	114	107	98	11	12	8	29.94	12	11	10	106	10	11.591	3.535	9.546	1.34609388360756e-21	2.86269299247209e-19	0	0.0576	0.037	0.037	TRUE	0.1693
NLANBGKA_00388	259	352	10	9	91	25	130	32	21	2138	265	202	5	7	20	45	41	22	33	40	36	42	55	35	222	209	150	56	43	42	71.38	36	36	44	194	47	5.168	2.37	9.018	1.92367907625296e-19	3.50659214471254e-17	0.0325	0.0298	0.031	0.031	TRUE	0.1219
NLANBGKA_01561	96	111	10	5	54	7	42	7	8	1243	172	256	1	1	4	17	13	22	18	24	10	14	12	13	129	136	190	11	6	8	41.55	17	17	13	152	8	8.019	3.003	9.002	2.22348998489714e-19	3.54646652591093e-17	0	0.0442	0.0454	0.0454	TRUE	0.6
NLANBGKA_01212	29176	45072	2418	1488	11916	3350	15712	2795	2925	79354	10576	11314	443	725	2462	5047	5271	5314	5464	5293	4775	5064	4820	4930	8244	8333	8395	4942	4411	5168	5698.11	5211	5177	4938	8324	4840	1.61	0.687	8.704	3.19443544372577e-18	4.07609962619408e-16	0.0023	0.01	0.0043	0.0043	TRUE	0.0299
NLANBGKA_00257	66	108	4	5	36	9	34	10	8	931	105	183	2	6	5	11	13	9	18	16	13	11	17	13	97	83	136	22	37	10	33.75	11	16	14	105	23	6.811	2.768	7.82	5.26834809640448e-15	6.11128379182919e-13	0.042	0.0522	0.0482	0.0482	TRUE	0.3333
