Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00561	2864	4548	246	101	897	317	1487	310	277	2358	332	345	21	37	102	495	532	541	371	398	452	479	535	467	245	262	256	234	225	214	380.4	523	407	494	254	224	0.515	-0.958	-8.662	4.63999620720833e-18	4.67925771357702e-16	0	0.0135	0.0067	0.0067	TRUE	0.0361
NLANBGKA_01029	9992	12766	638	309	3039	895	4473	778	880	7085	942	907	86	174	618	1728	1493	1402	1135	1350	1276	1442	1342	1483	736	742	673	959	1059	1297	1207.8	1541	1254	1422	717	1105	0.504	-0.988	-8.585	9.10702264016448e-18	7.95953778750376e-16	0.0073	0.0109	0.0087	0.0087	TRUE	0.1261
NLANBGKA_01031	12946	21001	973	523	4012	982	6452	1352	1307	11443	1577	1478	129	207	646	2239	2456	2138	1920	1782	1400	2080	2331	2203	1189	1243	1097	1439	1259	1356	1742.19	2278	1701	2205	1176	1351	0.534	-0.905	-8.041	8.9136013055433e-16	7.30358206972954e-14	0.0074	0.0106	0.0086	0.0086	TRUE	0.1148
NLANBGKA_01768	779	1103	66	23	264	76	382	74	59	397	73	48	9	11	30	135	129	145	84	117	108	123	128	99	41	58	36	100	67	63	95.58	136	103	117	45	77	0.374	-1.418	-7.107	1.1892025427712e-12	7.79522266786524e-11	0.0102	0.0247	0.0188	0.0188	TRUE	0.1598
NLANBGKA_01590	1328	2221	116	64	512	145	676	131	163	1091	172	137	17	23	67	230	260	255	235	227	207	218	226	275	113	136	102	190	140	141	196.85	248	223	240	117	157	0.491	-1.026	-6.858	6.99522102573102e-12	3.85136822561314e-10	0.0065	0.017	0.0117	0.0117	TRUE	0.0659
NLANBGKA_01030	48379	87089	4691	1959	16670	4810	25247	3873	5782	41290	5849	5549	562	730	2586	8368	10186	10310	7194	7405	6856	8138	6679	9746	4290	4609	4117	6269	4441	5428	6935.64	9621	7152	8188	4339	5379	0.53	-0.916	-6.686	2.28722375784669e-11	1.15328859482193e-09	0.0161	0.0099	0.0134	0.0134	TRUE	0.0597
NLANBGKA_01032	23398	27425	1587	701	6549	1907	9307	1766	1638	17992	2053	2308	140	353	1035	4047	3208	3488	2574	2909	2718	3000	3045	2761	1869	1618	1712	1562	2148	2172	2588.76	3581	2734	2935	1733	1961	0.591	-0.759	-6.543	6.02580243034536e-11	2.92586184673436e-09	0.0108	0.0103	0.0093	0.0093	TRUE	0.1086
NLANBGKA_01851	718	1139	54	28	289	90	398	65	85	604	73	71	5	16	37	124	133	119	103	128	128	128	112	143	63	58	53	56	97	78	101.53	125	120	128	58	77	0.458	-1.126	-6.521	6.98044307065796e-11	3.26834316629735e-09	0.0033	0.0239	0.0134	0.0134	TRUE	0.0336
NLANBGKA_00398	2901	3792	183	123	986	308	1371	270	273	2627	366	352	23	71	179	502	443	402	452	438	439	442	466	460	273	288	261	257	432	376	395.37	449	443	456	274	355	0.603	-0.73	-6.253	4.0264374167199e-10	1.82022739769648e-08	0.0033	0.0134	0.0076	0.0076	TRUE	0.0746
NLANBGKA_01217	5557	7855	376	279	2043	766	2510	373	513	4627	527	558	65	126	267	961	919	826	1025	907	1092	809	643	865	481	415	414	725	767	560	760.61	902	1008	772	437	684	0.566	-0.82	-6.069	1.2838576804606e-09	5.42947554543174e-08	0.0118	0.0116	0.0118	0.0118	TRUE	0.1668
