Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01670	29702	47384	2454	1092	8848	2149	13381	3203	2754	31384	4241	3102	187	265	883	5138	5542	5393	4010	3930	3063	4313	5523	4642	3261	3342	2302	2086	1612	1853	3734.01	5358	3668	4826	2968	1850	0.344	-1.541	-10.097	5.68317956213368e-24	8.672532011816e-21	0.0182	0.0101	0.0151	0.0151	TRUE	0.1868
NLANBGKA_01672	15375	28100	1537	640	5635	1553	8146	1499	1662	20469	2505	1705	102	89	445	2659	3286	3378	2350	2503	2214	2626	2585	2801	2127	1974	1265	1138	541	934	2158.77	3108	2356	2671	1789	871	0.277	-1.851	-9.457	3.1660898772748e-21	2.41572657636068e-18	0.0409	0.0104	0.024	0.024	TRUE	0.4338
NLANBGKA_00667	167607	240861	11694	5518	51138	13953	79787	13579	15000	190845	24742	21876	1344	2055	7785	28991	28170	25700	20263	22715	19889	25718	23417	25284	19828	19495	16232	14992	12503	16341	21302.39	27620	20956	24806	18518	14612	0.529	-0.918	-8.22	2.03186819066758e-16	1.03354361965291e-13	0.0081	0.0098	0.0087	0.0087	TRUE	0.0784
NLANBGKA_00561	2864	4548	246	101	897	317	1487	310	277	2358	332	345	21	37	102	495	532	541	371	398	452	479	535	467	245	262	256	234	225	214	380.4	523	407	494	254	224	0.423	-1.24	-7.887	3.0997192779048e-15	1.18254290452068e-12	0	0.0135	0.0067	0.0067	TRUE	0.0361
NLANBGKA_00831	1296	2048	101	41	375	95	586	77	94	1353	150	108	5	6	16	224	240	222	151	167	135	189	133	158	141	118	80	56	37	34	138.87	229	151	160	113	42	0.164	-2.608	-7.632	2.3046915167135e-14	7.03391850900961e-12	0.0262	0.0201	0.0234	0.0234	TRUE	0.1741
NLANBGKA_00229	2380	3364	169	63	682	185	996	200	191	2740	308	283	7	21	72	412	393	371	231	303	264	321	345	322	285	243	210	78	128	151	270.45	392	266	329	246	119	0.336	-1.572	-7.556	4.15130229550436e-14	1.05581455048994e-11	0.0105	0.015	0.0126	0.0126	TRUE	0.2024
NLANBGKA_01838	2759	3595	195	80	797	246	1101	190	232	4627	431	531	14	22	83	477	420	429	294	354	351	355	328	391	481	340	394	156	134	174	338.45	442	333	358	405	155	0.361	-1.471	-7.422	1.15674656523789e-13	2.20649407319127e-11	0.0116	0.014	0.0126	0.0126	TRUE	0.1122
NLANBGKA_01559	2745	3613	193	93	830	219	1245	209	250	3719	370	386	12	23	86	475	423	424	342	369	312	401	360	421	386	292	286	134	140	181	329.71	441	341	394	321	152	0.365	-1.456	-7.347	2.02167091853589e-13	3.42785535742864e-11	0.0116	0.0141	0.0127	0.0127	TRUE	0.1637
NLANBGKA_00830	1433	2057	75	42	376	95	670	105	97	1332	156	130	4	6	27	248	241	165	154	167	135	216	181	164	138	123	96	45	37	57	144.4	218	152	187	119	46	0.222	-2.172	-7.04	1.92902148272266e-12	2.45307231886232e-10	0.0235	0.0197	0.0216	0.0216	TRUE	0.1712
NLANBGKA_01669	20720	36610	1484	729	6833	1703	11151	1775	2415	27827	3576	2905	170	156	803	3584	4282	3261	2677	3035	2427	3594	3061	4071	2891	2818	2155	1896	949	1685	2825.85	3709	2713	3575	2621	1510	0.405	-1.305	-6.97	3.17593308671337e-12	3.46176706451758e-10	0.0364	0.0102	0.0231	0.0231	TRUE	0.3304
