Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00766	254	337	29	35	240	84	217	41	30	1808	216	192	15	23	76	44	39	64	129	107	120	70	71	51	188	170	142	167	140	160	110.7	49	119	64	167	156	3.465	1.793	7.503	6.22331831541611e-14	1.35668339276071e-11	0.0178	0.0227	0.0202	0.0202	TRUE	0.0892
NLANBGKA_01081	739	1314	80	43	364	113	516	114	100	2564	382	544	28	77	178	128	154	176	158	162	161	166	197	169	266	301	404	312	468	374	239.66	153	160	177	324	385	2.621	1.39	7.228	4.88499693088894e-13	7.45450531653652e-11	0.0193	0.0157	0.0177	0.0177	TRUE	0.0692
NLANBGKA_00162	507	634	50	51	205	113	384	53	85	1228	179	305	26	56	161	88	74	110	187	91	161	124	91	143	128	141	226	290	341	338	168.88	91	146	119	165	323	3.716	1.894	7.1	1.24448645504037e-12	1.72644211853783e-10	0.0598	0.0182	0.0389	0.0389	TRUE	0.582
NLANBGKA_01733	856	965	66	45	320	126	508	127	99	2231	283	335	25	69	145	148	113	145	165	142	180	164	219	167	232	223	249	279	420	304	209.93	135	162	183	235	334	2.51	1.328	7.026	2.1216085120736e-12	2.49044199186485e-10	0.0154	0.0166	0.0157	0.0157	TRUE	0.1445
NLANBGKA_01742	4116	5172	311	221	1559	521	2332	425	393	9303	1351	1644	87	272	589	712	605	684	812	692	743	752	733	662	967	1065	1220	970	1655	1236	900.43	667	749	716	1084	1287	1.958	0.969	6.602	4.05489019330771e-11	3.63986025587504e-09	0.014	0.0113	0.0127	0.0127	TRUE	0.0592
NLANBGKA_00161	1307	2006	126	124	622	210	863	200	222	3062	550	589	50	131	227	226	235	277	455	276	299	278	345	374	318	433	437	558	797	476	385.7	246	343	332	396	610	2.483	1.312	6.294	3.09768576979004e-10	2.48793078142084e-08	0.0364	0.0135	0.025	0.025	TRUE	0.1533
NLANBGKA_00993	663	739	42	28	244	82	360	75	53	1998	267	252	12	48	115	115	86	92	103	108	117	116	129	89	208	210	187	134	292	241	148.56	98	109	111	202	222	2.38	1.251	6.132	8.69182160293124e-10	6.02896353003321e-08	0.0129	0.0194	0.0165	0.0165	TRUE	0.0414
NLANBGKA_01732	542	627	41	25	270	120	303	60	71	1235	226	527	35	86	173	94	73	90	92	120	171	98	103	120	128	178	391	390	523	363	195.66	86	128	107	232	425	4.975	2.315	6.024	1.69797631282193e-09	1.0364447413465e-07	0.0949	0.0171	0.0564	0.0949	TRUE	0.5379
NLANBGKA_01082	1027	1562	104	72	492	164	661	135	112	3181	522	691	52	88	146	178	183	229	264	219	234	213	233	189	330	411	513	580	535	306	307.78	197	239	212	418	474	2.332	1.221	5.756	8.61181309953197e-09	5.05447184226376e-07	0.0341	0.0144	0.0244	0.0244	TRUE	0.1824
NLANBGKA_00958	667	996	65	42	440	153	469	85	78	2533	329	366	14	49	119	115	116	143	154	195	218	151	147	131	263	259	272	156	298	250	191.32	125	189	143	265	235	2.044	1.031	5.741	9.41251471770637e-09	5.31981387378515e-07	0.0038	0.0172	0.0112	0.0112	TRUE	0.0436
NLANBGKA_01717	818	997	79	57	337	132	478	60	76	1537	224	361	31	79	136	141	117	174	209	150	188	154	103	128	160	176	268	346	481	285	205.36	144	182	128	201	371	2.594	1.375	5.724	1.04113502196413e-08	5.57849610506901e-07	0.044	0.0167	0.0314	0.0314	TRUE	0.0927
NLANBGKA_01719	2120	3112	158	127	897	324	1134	241	273	4543	639	752	54	123	273	367	364	347	466	398	462	366	416	460	472	503	558	602	748	573	473.53	359	442	414	511	641	1.757	0.813	5.721	1.06013359794889e-08	5.57849610506901e-07	0.0067	0.0128	0.0095	0.0095	TRUE	0.0863
NLANBGKA_00119	472	819	42	32	252	81	332	70	55	1450	203	202	20	35	81	82	96	92	118	112	115	107	121	93	151	160	150	223	213	170	133.44	90	115	107	154	202	2.141	1.098	5.713	1.11041631727484e-08	5.64831766720468e-07	0	0.0205	0.0115	0.0115	TRUE	0.1275
NLANBGKA_01715	491	831	41	27	226	67	303	98	67	1038	162	310	18	66	106	85	97	90	99	100	96	98	169	113	108	128	230	201	402	222	149.15	91	98	127	155	275	3.031	1.6	5.647	1.62841419843864e-08	8.01600021553989e-07	0.0704	0.0193	0.0439	0.0439	TRUE	0.7767
NLANBGKA_01416	4719	8785	534	505	3819	1053	3619	888	595	24646	3340	3162	156	293	904	816	1027	1174	1854	1696	1501	1167	1531	1003	2561	2632	2346	1740	1783	1897	1648.57	1006	1684	1234	2513	1807	1.816	0.861	5.599	2.1567755300633e-08	9.97345290568664e-07	0.0183	0.0106	0.015	0.015	TRUE	0.2038
NLANBGKA_00052	99	157	14	15	84	31	71	15	21	525	66	72	3	10	45	17	18	31	55	37	44	23	26	35	55	52	53	33	61	94	42.38	22	45	28	53	63	3.751	1.907	5.545	2.94534771451836e-08	1.32194135657501e-06	0.0368	0.0436	0.0406	0.0406	TRUE	0.0446
NLANBGKA_00129	112	140	6	6	72	29	61	14	6	398	66	75	1	16	32	19	16	13	22	32	41	20	24	10	41	52	56	11	97	67	34.86	16	32	18	50	58	3.808	1.929	5.366	8.0538018791673e-08	3.32164909935386e-06	0.0276	0.0508	0.0435	0.0435	TRUE	0.023
NLANBGKA_00054	64	110	8	20	54	25	39	12	13	428	69	66	3	13	27	11	13	18	73	24	36	13	21	22	44	54	49	33	79	57	36.45	14	44	19	49	56	4.609	2.204	5.332	9.6916127782054e-08	3.89194765777406e-06	0.0814	0.0491	0.0633	0.0633	TRUE	0.0679
NLANBGKA_00679	5581	7889	500	296	2269	677	3056	599	577	20940	2617	3492	126	308	686	965	923	1099	1087	1008	965	985	1033	973	2176	2062	2591	1406	1874	1440	1372.34	996	1020	997	2276	1573	1.591	0.67	5.316	1.06275059222765e-07	4.15835231728048e-06	0.0082	0.0108	0.0092	0.0092	TRUE	0.1212
NLANBGKA_00146	508	688	41	30	220	59	316	65	57	1181	162	159	10	33	87	88	80	90	110	98	84	102	112	96	123	128	118	112	201	183	114.91	86	97	103	123	165	2.064	1.046	5.305	1.12490640682717e-07	4.29151794204565e-06	9e-04	0.0222	0.0117	0.0117	TRUE	0.063
NLANBGKA_01374	444	699	28	32	202	87	284	54	48	997	151	303	13	38	100	77	82	62	118	90	124	92	93	81	104	119	225	145	231	210	123.36	74	111	89	149	195	2.679	1.422	5.13	2.89014397172471e-07	9.80079933522646e-06	0.0534	0.0214	0.0377	0.0377	TRUE	0.6657
