Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01672	15375	28100	1537	640	5635	1553	8146	1499	1662	20469	2505	1705	102	89	445	2659	3286	3378	2350	2503	2214	2626	2585	2801	2127	1974	1265	1138	541	934	2158.77	3108	2356	2671	1789	871	0.365	-1.453	-7.389	1.47916906481753e-13	1.5693983777714e-10	0.0409	0.0104	0.024	0.024	TRUE	0.4338
NLANBGKA_01670	29702	47384	2454	1092	8848	2149	13381	3203	2754	31384	4241	3102	187	265	883	5138	5542	5393	4010	3930	3063	4313	5523	4642	3261	3342	2302	2086	1612	1853	3734.01	5358	3668	4826	2968	1850	0.502	-0.994	-6.476	9.3932200801864e-11	4.98310325253888e-08	0.0182	0.0101	0.0151	0.0151	TRUE	0.1868
NLANBGKA_01705	516	796	54	55	538	156	450	97	92	2664	289	269	7	6	38	89	93	119	202	239	222	145	167	155	277	228	200	78	37	80	155.34	100	221	156	235	65	0.304	-1.719	-6.341	2.28389897105709e-10	6.05804202072892e-08	0.0139	0.019	0.0163	0.0163	TRUE	0.2146
NLANBGKA_01272	581	839	48	46	462	133	349	75	53	2002	227	198	8	9	27	100	98	105	169	205	190	112	129	89	208	179	147	89	55	57	128.9	101	188	110	178	67	0.319	-1.649	-5.847	5.00190624634092e-09	1.06140450547354e-06	0.0123	0.0209	0.0166	0.0166	TRUE	0.0492
NLANBGKA_00831	1296	2048	101	41	375	95	586	77	94	1353	150	108	5	6	16	224	240	222	151	167	135	189	133	158	141	118	80	56	37	34	138.87	229	151	160	113	42	0.247	-2.017	-5.782	7.36685338748289e-09	1.11660449201705e-06	0.0262	0.0201	0.0234	0.0234	TRUE	0.1741
NLANBGKA_01271	767	1463	73	65	655	206	569	113	105	3303	326	239	10	9	49	133	171	160	239	291	294	183	195	177	343	257	177	112	55	103	192.62	155	275	185	259	90	0.327	-1.614	-5.79	7.05401603934385e-09	1.11660449201705e-06	0.0352	0.0172	0.0263	0.0263	TRUE	0.048
NLANBGKA_00561	2864	4548	246	101	897	317	1487	310	277	2358	332	345	21	37	102	495	532	541	371	398	452	479	535	467	245	262	256	234	225	214	380.4	523	407	494	254	224	0.537	-0.898	-5.528	3.23458310092894e-08	4.28986583760701e-06	0	0.0135	0.0067	0.0067	TRUE	0.0361
NLANBGKA_01559	2745	3613	193	93	830	219	1245	209	250	3719	370	386	12	23	86	475	423	424	342	369	312	401	360	421	386	292	286	134	140	181	329.71	441	341	394	321	152	0.47	-1.088	-5.353	8.6449956101987e-08	8.33849122038257e-06	0.0116	0.0141	0.0127	0.0127	TRUE	0.1637
NLANBGKA_01838	2759	3595	195	80	797	246	1101	190	232	4627	431	531	14	22	83	477	420	429	294	354	351	355	328	391	481	340	394	156	134	174	338.45	442	333	358	405	155	0.473	-1.081	-5.309	1.10486528806799e-07	9.76885058866778e-06	0.0116	0.014	0.0126	0.0126	TRUE	0.1122
NLANBGKA_00830	1433	2057	75	42	376	95	670	105	97	1332	156	130	4	6	27	248	241	165	154	167	135	216	181	164	138	123	96	45	37	57	144.4	218	152	187	119	46	0.323	-1.628	-5.15	2.60135042927224e-07	2.1231021580445e-05	0.0235	0.0197	0.0216	0.0216	TRUE	0.1712
NLANBGKA_01840	1379	1908	95	53	387	111	563	67	111	1506	164	164	3	9	35	239	223	209	195	172	158	181	116	187	156	129	122	33	55	73	149.89	224	175	161	136	54	0.362	-1.466	-5.119	3.06750434360093e-07	2.32473007754328e-05	0.0172	0.0193	0.0184	0.0184	TRUE	0.2879
NLANBGKA_00229	2380	3364	169	63	682	185	996	200	191	2740	308	283	7	21	72	412	393	371	231	303	264	321	345	322	285	243	210	78	128	151	270.45	392	266	329	246	119	0.486	-1.04	-4.854	1.20989282644858e-06	6.7562962571681e-05	0.0105	0.015	0.0126	0.0126	TRUE	0.2024
