Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01717	818	997	79	57	337	132	478	60	76	1537	224	361	31	79	136	141	117	174	209	150	188	154	103	128	160	176	268	346	481	285	205.36	144	182	128	201	371	2.781	1.476	5.997	2.00592458438369e-09	2.34291991456015e-07	0.044	0.0167	0.0314	0.0314	TRUE	0.0927
NLANBGKA_01081	739	1314	80	43	364	113	516	114	100	2564	382	544	28	77	178	128	154	176	158	162	161	166	197	169	266	301	404	312	468	374	239.66	153	160	177	324	385	2.216	1.148	5.84	5.22723567037517e-09	5.08784271916517e-07	0.0193	0.0157	0.0177	0.0177	TRUE	0.0692
NLANBGKA_01742	4116	5172	311	221	1559	521	2332	425	393	9303	1351	1644	87	272	589	712	605	684	812	692	743	752	733	662	967	1065	1220	970	1655	1236	900.43	667	749	716	1084	1287	1.816	0.861	5.812	6.16110866257779e-09	5.53551916760835e-07	0.014	0.0113	0.0127	0.0127	TRUE	0.0592
NLANBGKA_00162	507	634	50	51	205	113	384	53	85	1228	179	305	26	56	161	88	74	110	187	91	161	124	91	143	128	141	226	290	341	338	168.88	91	146	119	165	323	2.723	1.445	5.355	8.55474045345668e-08	5.87760991155141e-06	0.0598	0.0182	0.0389	0.0389	TRUE	0.582
NLANBGKA_00679	5581	7889	500	296	2269	677	3056	599	577	20940	2617	3492	126	308	686	965	923	1099	1087	1008	965	985	1033	973	2176	2062	2591	1406	1874	1440	1372.34	996	1020	997	2276	1573	1.579	0.659	5.18	2.22247537144822e-07	1.3662374915008e-05	0.0082	0.0108	0.0092	0.0092	TRUE	0.1212
NLANBGKA_01732	542	627	41	25	270	120	303	60	71	1235	226	527	35	86	173	94	73	90	92	120	171	98	103	120	128	178	391	390	523	363	195.66	86	128	107	232	425	3.987	1.995	5.16	2.47038165479079e-07	1.44270288639782e-05	0.0949	0.0171	0.0564	0.0949	TRUE	0.5379
NLANBGKA_00766	254	337	29	35	240	84	217	41	30	1808	216	192	15	23	76	44	39	64	129	107	120	70	71	51	188	170	142	167	140	160	110.7	49	119	64	167	156	2.386	1.255	5.065	4.09157705544831e-07	2.11126391078346e-05	0.0178	0.0227	0.0202	0.0202	TRUE	0.0892
NLANBGKA_00993	663	739	42	28	244	82	360	75	53	1998	267	252	12	48	115	115	86	92	103	108	117	116	129	89	208	210	187	134	292	241	148.56	98	109	111	202	222	2.095	1.067	5.051	4.38605471423267e-07	2.13454662759323e-05	0.0129	0.0194	0.0165	0.0165	TRUE	0.0414
NLANBGKA_01082	1027	1562	104	72	492	164	661	135	112	3181	522	691	52	88	146	178	183	229	264	219	234	213	233	189	330	411	513	580	535	306	307.78	197	239	212	418	474	2.124	1.087	5.043	4.58404914788986e-07	2.14166776189414e-05	0.0341	0.0144	0.0244	0.0244	TRUE	0.1824
NLANBGKA_00086	6023	8655	462	293	2388	750	3085	599	553	14738	1750	2063	119	228	664	1042	1012	1015	1076	1061	1069	994	1033	932	1531	1379	1531	1327	1387	1394	1185.58	1023	1069	986	1480	1369	1.395	0.48	5	5.7241348307713e-07	2.57145749320803e-05	0.001	0.011	0.0041	0.0041	TRUE	0.0167
NLANBGKA_00960	1541	2318	125	106	976	293	935	136	139	5662	688	644	32	71	240	267	271	275	389	434	418	301	235	234	588	542	478	357	432	504	381.59	271	414	257	536	431	1.718	0.781	4.83	1.36691219429005e-06	5.32184480976926e-05	0.0089	0.0135	0.0109	0.0109	TRUE	0.0769
NLANBGKA_00129	112	140	6	6	72	29	61	14	6	398	66	75	1	16	32	19	16	13	22	32	41	20	24	10	41	52	56	11	97	67	34.86	16	32	18	50	58	3.555	1.83	4.737	2.17189852746844e-06	7.92742962525982e-05	0.0276	0.0508	0.0435	0.0435	TRUE	0.023
NLANBGKA_00964	3662	4932	250	176	1447	454	1880	373	343	6789	882	1148	61	232	452	633	577	549	646	643	647	606	643	578	705	695	852	680	1412	949	721.07	586	645	609	751	1014	1.691	0.758	4.711	2.46850660073678e-06	8.48004620488399e-05	0.0186	0.0117	0.0148	0.0148	TRUE	0.0701
NLANBGKA_01733	856	965	66	45	320	126	508	127	99	2231	283	335	25	69	145	148	113	145	165	142	180	164	219	167	232	223	249	279	420	304	209.93	135	162	183	235	334	1.852	0.889	4.618	3.87437717336794e-06	0.000129293501099822	0.0154	0.0166	0.0157	0.0157	TRUE	0.1445
NLANBGKA_00997	642	938	44	30	220	75	330	68	59	1140	149	253	12	56	97	111	110	97	110	98	107	106	117	99	118	117	188	134	341	204	137.14	106	105	107	141	226	2.15	1.104	4.581	4.6294100543642e-06	0.000150198637319372	0.0317	0.0202	0.0252	0.0252	TRUE	0.0542
NLANBGKA_01743	1329	2094	103	61	524	143	710	136	121	3358	496	481	26	68	168	230	245	226	224	233	204	229	235	204	349	391	357	290	414	353	278.8	234	220	223	366	352	1.605	0.682	4.46	8.2053116847938e-06	0.000242248680503393	0.0019	0.0149	0.0076	0.0076	TRUE	0.0241
NLANBGKA_01018	109	122	12	8	36	15	41	8	11	349	63	58	5	4	34	19	14	26	29	16	21	13	14	19	36	50	43	56	24	71	30.15	20	22	15	43	50	3.744	1.905	4.437	9.10704992961953e-06	0.000259439861409649	0.0503	0.0573	0.0542	0.0542	TRUE	0.0763
NLANBGKA_01719	2120	3112	158	127	897	324	1134	241	273	4543	639	752	54	123	273	367	364	347	466	398	462	366	416	460	472	503	558	602	748	573	473.53	359	442	414	511	641	1.551	0.633	4.374	1.2177389676094e-05	0.000334065087549176	0.0067	0.0128	0.0095	0.0095	TRUE	0.0863
NLANBGKA_00963	3896	5618	319	200	1689	510	2084	397	401	8024	931	1197	81	185	420	674	657	701	734	750	727	672	685	676	834	734	888	904	1126	882	776.13	677	737	678	819	971	1.423	0.508	4.313	1.61003143328294e-05	0.000417892603127661	0.0028	0.0116	0.0064	0.0064	TRUE	0.0819
NLANBGKA_00119	472	819	42	32	252	81	332	70	55	1450	203	202	20	35	81	82	96	92	118	112	115	107	121	93	151	160	150	223	213	170	133.44	90	115	107	154	202	1.792	0.842	4.203	2.63016098346818e-05	0.000653622984827838	0	0.0205	0.0115	0.0115	TRUE	0.1275
NLANBGKA_00225	17609	24408	1408	882	7052	2474	9064	1948	1815	38920	5588	8961	375	963	2230	3046	2855	3094	3239	3132	3526	2922	3359	3059	4044	4403	6649	4183	5859	4681	3870.07	2998	3299	3113	5032	4908	1.58	0.66	4.181	2.90665785697547e-05	0.000674324011563445	0.0236	0.0101	0.0171	0.0171	TRUE	0.3856
NLANBGKA_01374	444	699	28	32	202	87	284	54	48	997	151	303	13	38	100	77	82	62	118	90	124	92	93	81	104	119	225	145	231	210	123.36	74	111	89	149	195	2.269	1.182	4.178	2.94439422857326e-05	0.000674324011563445	0.0534	0.0214	0.0377	0.0377	TRUE	0.6657
NLANBGKA_01783	392	537	33	17	246	71	204	44	34	1033	141	124	12	24	61	68	63	73	62	109	101	66	76	57	107	111	92	134	146	128	92.89	68	91	66	103	136	2.028	1.02	4.183	2.87613157566868e-05	0.000674324011563445	0.0079	0.0252	0.0171	0.0171	TRUE	0.1125
NLANBGKA_01810	260	408	21	15	90	45	136	16	26	509	69	79	12	14	41	45	48	46	55	40	64	44	28	44	53	54	59	134	85	86	58.95	46	53	39	55	102	2.367	1.243	4.188	2.81237391019656e-05	0.000674324011563445	0.0133	0.034	0.0252	0.0252	TRUE	0.3582
NLANBGKA_00161	1307	2006	126	124	622	210	863	200	222	3062	550	589	50	131	227	226	235	277	455	276	299	278	345	374	318	433	437	558	797	476	385.7	246	343	332	396	610	1.831	0.872	4.161	3.16755137155348e-05	0.000698056604146126	0.0364	0.0135	0.025	0.025	TRUE	0.1533
NLANBGKA_00958	667	996	65	42	440	153	469	85	78	2533	329	366	14	49	119	115	116	143	154	195	218	151	147	131	263	259	272	156	298	250	191.32	125	189	143	265	235	1.705	0.77	4.144	3.41602217180676e-05	0.000738872943827833	0.0038	0.0172	0.0112	0.0112	TRUE	0.0436
NLANBGKA_00054	64	110	8	20	54	25	39	12	13	428	69	66	3	13	27	11	13	18	73	24	36	13	21	22	44	54	49	33	79	57	36.45	14	44	19	49	56	3.469	1.795	4.124	3.7210711709041e-05	0.000790220205021089	0.0814	0.0491	0.0633	0.0633	TRUE	0.0679
NLANBGKA_00191	592	857	58	50	243	94	357	73	59	1145	169	246	18	50	90	102	100	127	184	108	134	115	126	99	119	133	183	201	304	189	148.31	110	142	113	145	231	2.002	1.002	4.114	3.89402455196747e-05	0.000802623881740014	0.0331	0.0194	0.026	0.026	TRUE	0.1809
NLANBGKA_01610	930	1722	82	46	439	151	504	93	50	2459	277	265	20	47	125	161	201	180	169	195	215	162	160	84	255	218	197	223	286	262	198.03	181	193	135	223	257	1.88	0.911	4.112	3.91691449136822e-05	0.000802623881740014	0.0256	0.017	0.0212	0.0212	TRUE	0.3485
NLANBGKA_01097	85	129	10	5	31	12	55	10	10	139	28	46	4	18	19	15	15	22	18	14	17	18	17	17	14	22	34	45	110	40	27.83	17	16	17	23	65	3.573	1.837	4.106	4.02136157103185e-05	0.000809819019821587	0.0859	0.0612	0.0727	0.0727	TRUE	0.3425
NLANBGKA_01017	1734	2452	151	107	711	234	882	162	174	2904	432	523	35	108	180	300	287	332	393	316	334	284	279	293	302	340	388	390	657	378	351.55	306	348	285	343	475	1.643	0.716	4.046	5.1997386939721e-05	0.00102937199907787	0.0158	0.0138	0.0148	0.0148	TRUE	0.4108
NLANBGKA_00052	99	157	14	15	84	31	71	15	21	525	66	72	3	10	45	17	18	31	55	37	44	23	26	35	55	52	53	33	61	94	42.38	22	45	28	53	63	2.733	1.451	4.028	5.61557473426184e-05	0.0010931652149363	0.0368	0.0436	0.0406	0.0406	TRUE	0.0446
NLANBGKA_01715	491	831	41	27	226	67	303	98	67	1038	162	310	18	66	106	85	97	90	99	100	96	98	169	113	108	128	230	201	402	222	149.15	91	98	127	155	275	2.215	1.147	4.011	6.0454421388188e-05	0.00115755351117055	0.0704	0.0193	0.0439	0.0439	TRUE	0.7767
NLANBGKA_01521	1581	2395	120	71	798	234	963	159	195	3659	518	728	33	96	235	273	280	264	261	354	334	310	274	329	380	408	540	368	584	493	363.55	272	316	304	443	482	1.618	0.694	3.978	6.9409587383318e-05	0.00128683171529707	0.0153	0.0137	0.0145	0.0145	TRUE	0.0567
NLANBGKA_01658	306	376	26	25	130	40	161	25	21	751	112	185	11	18	46	53	44	57	92	58	57	52	43	35	78	88	137	123	110	97	74.89	51	69	43	101	110	2.339	1.226	3.928	8.57175144526867e-05	0.00149429935642893	0.04	0.0289	0.0345	0.0345	TRUE	0.3413
NLANBGKA_00946	2630	3558	219	129	1035	310	1451	272	215	5390	776	873	50	118	294	455	416	481	474	460	442	468	469	362	560	611	648	558	718	617	515.92	451	459	433	606	631	1.456	0.542	3.883	0.000103086163647041	0.00177065645793741	0.0056	0.0125	0.0086	0.0086	TRUE	0.0806
NLANBGKA_00323	570	762	41	21	235	105	352	67	66	669	113	211	10	51	136	99	89	90	77	104	150	113	116	111	70	89	157	112	310	285	131.44	93	110	113	105	236	2.201	1.138	3.873	0.00010757971996801	0.00182105960757442	0.0793	0.0206	0.0457	0.0457	TRUE	0.4149
NLANBGKA_00422	753	984	65	41	319	124	429	81	72	2137	296	527	15	48	127	130	115	143	151	142	177	138	140	121	222	233	391	167	292	267	188.58	129	157	133	282	242	1.888	0.917	3.863	0.000111842874877665	0.00186617825510162	0.0347	0.0173	0.0256	0.0256	TRUE	0.5181
NLANBGKA_00260	351	522	28	30	150	52	195	34	48	2166	284	432	19	25	48	61	61	62	110	67	74	63	59	81	225	224	321	212	152	101	124.72	61	84	68	257	155	2.072	1.051	3.836	0.000124802791045457	0.00202457861029297	0.0355	0.0212	0.0276	0.0276	TRUE	0.0842
NLANBGKA_00961	218	301	24	10	98	38	114	18	17	600	82	130	6	16	35	38	35	53	37	44	54	37	31	29	62	65	96	67	97	73	54.51	42	45	32	74	79	2.376	1.249	3.803	0.000142858447957008	0.00225484685424034	0.0273	0.036	0.0317	0.0317	TRUE	0.2495
NLANBGKA_00418	177	201	16	39	74	39	91	14	27	219	40	36	13	21	28	31	24	35	143	33	56	29	24	46	23	32	27	145	128	59	55.5	30	77	33	27	111	3.132	1.647	3.77	0.000163034694875022	0.00250558583702665	0.1612	0.0356	0.0927	0.0927	TRUE	0.2871
