"","Id","Description","baseMean","log2FoldChange","padj"
"58","NLANBGKA_01074","hypothetical protein",96.94,4.515,0
"61","NLANBGKA_01078","N-acetylmuramoyl-L-alanine amidase domain-containing protein",280.84,3.539,0.002
"59","NLANBGKA_01075","hypothetical protein",656.73,3.533,0.005
"18","NLANBGKA_00246","hypothetical protein",30.73,3.169,0.002
"57","NLANBGKA_01067","hypothetical protein",798.73,3.113,0.01
"60","NLANBGKA_01076","hypothetical protein",667.99,3.065,0.009
"66","NLANBGKA_01240","Alcohol dehydrogenase 1",7.64,2.957,0.008
"79","NLANBGKA_01604","Oligopeptide-binding protein AmiA",11.84,2.906,0
"55","NLANBGKA_01057","putative HTH-type transcriptional regulator",15.3,2.722,0.003
"5","NLANBGKA_00055","Oligopeptide-binding protein AmiA",22.94,2.511,0
"88","NLANBGKA_01732","50S ribosomal protein L18",195.66,2.315,0
"82","NLANBGKA_01703","hypothetical protein",26.05,2.297,0
"56","NLANBGKA_01058","hypothetical protein",13.22,2.288,0.008
"4","NLANBGKA_00054","Oligopeptide transport system permease protein OppB",36.45,2.204,0
"32","NLANBGKA_00584","putative ABC transporter ATP-binding protein YbhF",9.45,2.126,0.008
"2","NLANBGKA_00051","Oligopeptide transport ATP-binding protein OppF",27.95,2.028,0
"64","NLANBGKA_01097","D-alanyl-D-alanine carboxypeptidase DacA",27.83,1.952,0
"9","NLANBGKA_00129","Aspartokinase 3",34.86,1.929,0
"3","NLANBGKA_00052","Oligopeptide transport ATP-binding protein OppD",42.38,1.907,0
"7","NLANBGKA_00108","hypothetical protein",19.85,1.907,0
"13","NLANBGKA_00162","50S ribosomal protein L27",168.88,1.894,0
"26","NLANBGKA_00418","putative iron export ATP-binding protein FetA",55.5,1.822,0
"99","NLANBGKA_01908","hypothetical protein",23.16,1.801,0.002
"35","NLANBGKA_00766","hypothetical protein",110.7,1.793,0
"42","NLANBGKA_00959","Acetolactate synthase small subunit",20.96,1.77,0.001
"31","NLANBGKA_00515","Ribonuclease HIII",30.41,1.703,0.005
"36","NLANBGKA_00796","hypothetical protein",44.15,1.69,0.002
"67","NLANBGKA_01301","2-iminobutanoate/2-iminopropanoate deaminase",22.11,1.684,0.002
"74","NLANBGKA_01477","tRNA (cytidine(34)-2'-O)-methyltransferase",16.92,1.651,0.004
"53","NLANBGKA_01018","Argininosuccinate synthase",30.15,1.606,0.001
"84","NLANBGKA_01715","30S ribosomal protein S10",149.15,1.6,0
"14","NLANBGKA_00180","Ribosome-recycling factor",57.9,1.593,0
"39","NLANBGKA_00929","S-adenosylmethionine:tRNA ribosyltransferase-isomerase",37.72,1.502,0.006
