label	files	condition
sample_1A	ST_pan_count_sample_1A_3.csv	All
sample_1B	ST_pan_count_sample_1B_3.csv	All
sample_1C	ST_pan_count_sample_1C_3.csv	All
sample_3A	ST_pan_count_sample_3A_3.csv	minus 5614
sample_3B	ST_pan_count_sample_3B_3.csv	minus 5614
sample_3C	ST_pan_count_sample_3C_3.csv	minus 5614
sample_4A	ST_pan_count_sample_4A_3.csv	minus 6086
sample_4B	ST_pan_count_sample_4B_3.csv	minus 6086
sample_4C	ST_pan_count_sample_4C_3.csv	minus 6086
sample_5A	ST_pan_count_sample_5A_3.csv	minus 10675
sample_5B	ST_pan_count_sample_5B_3.csv	minus 10675
sample_5C	ST_pan_count_sample_5C_3.csv	minus 10675
sample_6A	ST_pan_count_sample_6A_3.csv	minus SICO
sample_6B	ST_pan_count_sample_6B_3.csv	minus SICO
sample_6C	ST_pan_count_sample_6C_3.csv	minus SICO
