,Total_singletons,Sinlg_count_sum10,Sinlg_count_sum50
CHCC10541-GS815,55,12,4
LLm1,82,63,52
CHCC11547-GS820-49,131,26,10
CHCC11553-GS816-84,17,7,6
CHCC11562-GS805-49,65,30,24
CHCC11563-GS802-50,35,9,2
CHCC11806-GS806-49,120,19,9
CHCC11877-GS807-49,27,10,8
CHCC12001-GS808J-54,25,2,1
CHCC12076-GS809-57,104,21,14
CHCC12087-GS810-64,38,8,3
CHCC12088-GS811-49,17,3,
CHCC13371-GS817-49,47,13,7
CHCC2289-PO35,33,7,3
CHCC3027-GS813-49,57,19,18
CHCC3370-GS818-49,23,11,9
CHCC4421-GS935-60,304,89,57
CHCC4433-GS981-66,88,15,5
LC,132,109,78
CHCC6052-GS489-31,29,5,3
LLm2,288,256,209
CHCC7249-GS982-66,57,7,4
CHCC9673-GS819,278,124,65
Il1403,135,,
Ll,136,,
