"","Id","Description","baseMean","log2FoldChange","padj"
"122","NLANBGKA_01572","Orotidine 5'-phosphate decarboxylase",147.51,3.921,0
"61","NLANBGKA_00811","hypothetical protein",7.12,3.404,0
"121","NLANBGKA_01561","Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",41.55,3.268,0
"24","NLANBGKA_00257","Bifunctional protein PyrR",33.75,3.166,0
"120","NLANBGKA_01560","Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit",29.94,3.087,0
"30","NLANBGKA_00263","hypothetical protein",4.38,2.772,0.001
"124","NLANBGKA_01574","6-aminohexanoate-cyclic-dimer hydrolase",5.44,2.742,0.002
"123","NLANBGKA_01573","Orotate phosphoribosyltransferase",107.82,2.632,0
"9","NLANBGKA_00055","Oligopeptide-binding protein AmiA",22.94,2.512,0
"41","NLANBGKA_00388","Membrane lipoprotein TpN32",71.38,2.302,0
"40","NLANBGKA_00387","Peptide methionine sulfoxide reductase MsrA",21.02,2.202,0
"29","NLANBGKA_00262","Ribosomal RNA small subunit methyltransferase J",11.6,2.17,0
"25","NLANBGKA_00258","Uracil permease",277.18,2.149,0
"27","NLANBGKA_00260","Carbamoyl-phosphate synthase small chain",124.72,2.067,0
"28","NLANBGKA_00261","Carbamoyl-phosphate synthase large chain",260.97,1.946,0
"8","NLANBGKA_00054","Oligopeptide transport system permease protein OppB",36.45,1.94,0
"62","NLANBGKA_00812","Acryloyl-CoA reductase (NADH)",13.05,1.91,0
"59","NLANBGKA_00766","hypothetical protein",110.7,1.907,0
"42","NLANBGKA_00389","Isochorismatase family protein YecD",70,1.816,0
"128","NLANBGKA_01604","Oligopeptide-binding protein AmiA",11.84,1.79,0.006
"91","NLANBGKA_01192","hypothetical protein",23.15,1.766,0
"26","NLANBGKA_00259","Aspartate carbamoyltransferase",147.77,1.742,0
"142","NLANBGKA_01729","30S ribosomal protein S14 type Z",21.95,1.721,0
"103","NLANBGKA_01336","hypothetical protein",10.88,1.69,0.001
"100","NLANBGKA_01301","2-iminobutanoate/2-iminopropanoate deaminase",22.11,1.674,0
"92","NLANBGKA_01194","50S ribosomal protein L19",79.44,1.655,0
"135","NLANBGKA_01704","Putative 2-aminoethylphosphonate import ATP-binding protein PhnT",549.23,1.635,0
"43","NLANBGKA_00390","GTP-sensing transcriptional pleiotropic repressor CodY",94.33,1.59,0
"47","NLANBGKA_00515","Ribonuclease HIII",30.41,1.521,0.002
"15","NLANBGKA_00129","Aspartokinase 3",34.86,1.507,0
"107","NLANBGKA_01376","Putative triphosphatase YjbK",13.72,1.463,0.002
"6","NLANBGKA_00052","Oligopeptide transport ATP-binding protein OppD",42.38,1.453,0
"143","NLANBGKA_01732","50S ribosomal protein L18",195.66,1.439,0.001
"104","NLANBGKA_01337","GTPase Obg",176.77,1.385,0
"3","NLANBGKA_00004","hypothetical protein",53.33,1.381,0
"137","NLANBGKA_01706","hypothetical protein",37.78,1.377,0
"5","NLANBGKA_00051","Oligopeptide transport ATP-binding protein OppF",27.95,1.371,0.001
"75","NLANBGKA_00959","Acetolactate synthase small subunit",20.96,1.367,0.001
"4","NLANBGKA_00005","Coenzyme PQQ synthesis protein E",208.73,1.35,0
"132","NLANBGKA_01640","hypothetical protein",29.4,1.35,0
"57","NLANBGKA_00680","putative dihydroorotate dehydrogenase A (fumarate)",34.42,1.34,0.001
"110","NLANBGKA_01416","Oligopeptide-binding protein AmiA",1648.57,1.331,0
"129","NLANBGKA_01605","Oligopeptide-binding protein AmiA",53.81,1.326,0
"60","NLANBGKA_00805","hypothetical protein",40.84,1.32,0
"86","NLANBGKA_01023","50S ribosomal protein L34",19.31,1.3,0.005
"136","NLANBGKA_01705","hypothetical protein",155.34,1.298,0
"72","NLANBGKA_00929","S-adenosylmethionine:tRNA ribosyltransferase-isomerase",37.72,1.282,0.003
"67","NLANBGKA_00863","hypothetical protein",27.41,1.28,0
"131","NLANBGKA_01639","DNA replication and repair protein RecF",43.06,1.275,0
"2","NLANBGKA_00003","Coenzyme PQQ synthesis protein E",40.21,1.267,0.001
"95","NLANBGKA_01270","hypothetical protein",50.23,1.243,0
"85","NLANBGKA_01018","Argininosuccinate synthase",30.15,1.237,0.001
"56","NLANBGKA_00679","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",1372.34,1.202,0
"105","NLANBGKA_01338","hypothetical protein",26.47,1.195,0.001
"82","NLANBGKA_00994","N-acetyldiaminopimelate deacetylase",127.35,1.182,0
"70","NLANBGKA_00877","DNA topoisomerase 4 subunit B",127.82,1.165,0
"78","NLANBGKA_00973","hypothetical protein",36.12,1.156,0.001
"7","NLANBGKA_00053","Oligopeptide transport system permease protein OppC",26.58,1.145,0.005
"80","NLANBGKA_00990","23S rRNA (guanine(745)-N(1))-methyltransferase",65.63,1.141,0
"44","NLANBGKA_00422","Glycerol facilitator-aquaporin gla",188.58,1.138,0
"74","NLANBGKA_00958","Acetolactate synthase large subunit",191.32,1.133,0
"87","NLANBGKA_01081","30S ribosomal protein S9",239.66,1.113,0
"88","NLANBGKA_01082","50S ribosomal protein L13",307.78,1.111,0
"31","NLANBGKA_00267","50S ribosomal protein L10",368.65,1.107,0
"1","NLANBGKA_00001","hypothetical protein",68.26,1.094,0
"64","NLANBGKA_00834","Xaa-Pro dipeptidase",206.41,1.093,0
"52","NLANBGKA_00673","hypothetical protein",82.54,1.08,0
"71","NLANBGKA_00882","Amino-acid permease RocE",29.51,1.076,0.01
"49","NLANBGKA_00603","CTP synthase",68.22,1.074,0
"35","NLANBGKA_00318","1-acyl-sn-glycerol-3-phosphate acyltransferase",36.86,1.067,0.001
"36","NLANBGKA_00344","Tryptophan synthase beta chain",22.66,1.059,0.004
"81","NLANBGKA_00993","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",148.56,1.031,0
"20","NLANBGKA_00196","Foldase protein PrsA",74.03,1.028,0
"151","NLANBGKA_01780","Leu/Ile/Val-binding protein",99.61,1.022,0
"98","NLANBGKA_01273","hypothetical protein",372.02,1.014,0.005
"68","NLANBGKA_00875","Branched-chain-amino-acid aminotransferase",188.39,1.011,0
"32","NLANBGKA_00268","50S ribosomal protein L7/L12",154.85,1.001,0
"134","NLANBGKA_01658","30S ribosomal protein S4",74.89,0.997,0
"76","NLANBGKA_00960","Ketol-acid reductoisomerase (NADP(+))",381.59,0.993,0
"23","NLANBGKA_00249","Putative peptidyl-prolyl cis-trans isomerase",36.35,0.988,0.009
"102","NLANBGKA_01325","CRISPR-associated endoribonuclease Cas2",22.26,0.982,0.005
"139","NLANBGKA_01725","30S ribosomal protein S17",42.82,0.974,0.01
"106","NLANBGKA_01374","Cysteine desulfurase IscS",123.36,0.972,0.001
"50","NLANBGKA_00608","Trifunctional nucleotide phosphoesterase protein YfkN",399.32,0.949,0
"77","NLANBGKA_00961","Tyrosine--tRNA ligase",54.51,0.909,0.001
"19","NLANBGKA_00162","50S ribosomal protein L27",168.88,0.899,0.002
"13","NLANBGKA_00118","4-hydroxy-tetrahydrodipicolinate synthase",192.96,0.897,0
"51","NLANBGKA_00616","L-threonine dehydratase biosynthetic IlvA",98.66,0.89,0
"147","NLANBGKA_01740","30S ribosomal protein S13",43.98,0.889,0.001
"53","NLANBGKA_00675","3-isopropylmalate dehydratase large subunit",149.41,0.886,0
"37","NLANBGKA_00347","Anthranilate phosphoribosyltransferase",26.33,0.885,0.01
"111","NLANBGKA_01449","putative amino-acid-binding protein YxeM",50.7,0.883,0.004
"55","NLANBGKA_00678","2-isopropylmalate synthase",131.6,0.86,0
"109","NLANBGKA_01389","Putative N-acetyl-LL-diaminopimelate aminotransferase",36.1,0.86,0.005
"34","NLANBGKA_00293","Spermidine/putrescine import ATP-binding protein PotA",37.92,0.854,0.006
"12","NLANBGKA_00102","L-lactate dehydrogenase",1240.23,0.852,0
"97","NLANBGKA_01272","N(1)-aminopropylagmatine ureohydrolase",128.9,0.84,0
"46","NLANBGKA_00503","Single-stranded DNA-binding protein",210.13,0.823,0
"79","NLANBGKA_00974","Acetate kinase",99.26,0.822,0
"84","NLANBGKA_01012","50S ribosomal protein L1",297.85,0.819,0
"69","NLANBGKA_00876","DNA topoisomerase 4 subunit A",99.25,0.817,0
"144","NLANBGKA_01733","30S ribosomal protein S5",209.93,0.814,0
"119","NLANBGKA_01553","hypothetical protein",54.18,0.789,0.003
"141","NLANBGKA_01727","50S ribosomal protein L24",143.38,0.78,0
"14","NLANBGKA_00119","Aspartate-semialdehyde dehydrogenase",133.44,0.777,0
"96","NLANBGKA_01271","Putative mycofactocin radical SAM maturase MftC",192.62,0.763,0.001
"54","NLANBGKA_00677","3-isopropylmalate dehydrogenase",121.06,0.758,0
"21","NLANBGKA_00225","Elongation factor Tu",3870.07,0.747,0
"22","NLANBGKA_00226","Triosephosphate isomerase",307.19,0.745,0
"38","NLANBGKA_00358","hypothetical protein",59.22,0.735,0.004
"45","NLANBGKA_00502","30S ribosomal protein S18",65.59,0.732,0.005
"83","NLANBGKA_01011","50S ribosomal protein L11",274.28,0.725,0
"133","NLANBGKA_01651","tRNA-specific 2-thiouridylase MnmA",52.9,0.724,0.002
"145","NLANBGKA_01735","50S ribosomal protein L15",456.22,0.722,0
"146","NLANBGKA_01736","Protein translocase subunit SecY",713.35,0.721,0
"94","NLANBGKA_01269","hypothetical protein",742.74,0.714,0
"113","NLANBGKA_01478","Trk system potassium uptake protein TrkA",53.87,0.71,0.008
"127","NLANBGKA_01587","30S ribosomal protein S12",129.08,0.71,0.001
"48","NLANBGKA_00581","hypothetical protein",165.09,0.708,0.001
"148","NLANBGKA_01742","DNA-directed RNA polymerase subunit alpha",900.43,0.701,0
"18","NLANBGKA_00161","50S ribosomal protein L21",385.7,0.699,0.002
"152","NLANBGKA_01781","High-affinity branched-chain amino acid transport system permease protein LivH",94.47,0.692,0.004
"118","NLANBGKA_01521","Leucine--tRNA ligase",363.55,0.689,0
"93","NLANBGKA_01212","Fructose-bisphosphate aldolase",5698.11,0.677,0
"150","NLANBGKA_01770","Lipid II flippase MurJ",99.72,0.677,0.007
"90","NLANBGKA_01143","50S ribosomal protein L20",83.38,0.676,0.008
"116","NLANBGKA_01515","NH(3)-dependent NAD(+) synthetase",82.85,0.662,0.008
"117","NLANBGKA_01516","Nicotinate phosphoribosyltransferase pncB2",120.97,0.66,0.001
"58","NLANBGKA_00719","Lysine--tRNA ligase",266.03,0.658,0
"66","NLANBGKA_00850","ADP-dependent (S)-NAD(P)H-hydrate dehydratase",108.26,0.657,0.001
"39","NLANBGKA_00360","Dihydroxy-acid dehydratase",889.67,0.656,0
"154","NLANBGKA_01787","Cysteine synthase",62.42,0.654,0.003
"153","NLANBGKA_01783","Lipopolysaccharide export system ATP-binding protein LptB",92.89,0.644,0.002
"149","NLANBGKA_01743","50S ribosomal protein L17",278.8,0.63,0
"17","NLANBGKA_00153","Glutathione reductase",140.71,0.627,0
"126","NLANBGKA_01586","30S ribosomal protein S7",392.66,0.584,0.001
"101","NLANBGKA_01323","CRISPR-associated endonuclease Cas9",247.78,0.583,0.004
"115","NLANBGKA_01513","Aminopeptidase C",1088.08,0.581,0
"99","NLANBGKA_01290","Aminopeptidase PepS",88.18,0.576,0.009
"63","NLANBGKA_00828","Enolase",6143.76,0.572,0
"33","NLANBGKA_00285","Phosphoserine aminotransferase",248.23,0.565,0.001
"112","NLANBGKA_01462","Urease subunit alpha",372.97,0.56,0
"10","NLANBGKA_00082","putative ABC transporter ATP-binding protein YheS",94.94,0.559,0.01
