"","Id","Description","baseMean","log2FoldChange","padj"
"105","NLANBGKA_01540","Cadmium, cobalt and zinc/H(+)-K(+) antiporter",19,-2.437,0
"121","NLANBGKA_01682","hypothetical protein",13.25,-2.01,0.001
"91","NLANBGKA_01249","Niacin transporter NiaX",11.89,-1.77,0.004
"136","NLANBGKA_01856","hypothetical protein",12.99,-1.668,0.001
"126","NLANBGKA_01773","Cystathionine beta-lyase PatB",56.95,-1.627,0
"124","NLANBGKA_01768","Aminoacyltransferase FemB",95.58,-1.614,0
"132","NLANBGKA_01850","Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha",111.72,-1.434,0
"125","NLANBGKA_01772","Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase",95.48,-1.393,0
"97","NLANBGKA_01410","5,10-methylenetetrahydrofolate reductase",25.07,-1.233,0.002
"63","NLANBGKA_00824","3-dehydroquinate dehydratase",28.61,-1.227,0.001
"110","NLANBGKA_01591","Thiamine pyrophosphokinase",62.23,-1.212,0
"62","NLANBGKA_00823","Shikimate dehydrogenase (NADP(+))",124.48,-1.186,0
"45","NLANBGKA_00693","Ultraviolet N-glycosylase/AP lyase",34.09,-1.182,0.001
"46","NLANBGKA_00695","Homoserine O-succinyltransferase",59.9,-1.17,0
"73","NLANBGKA_01030","Chaperone protein DnaK",6935.64,-1.149,0
"133","NLANBGKA_01851","2-oxoisovalerate dehydrogenase subunit beta",101.53,-1.113,0
"15","NLANBGKA_00373","Glycine/sarcosine N-methyltransferase",42.34,-1.11,0
"71","NLANBGKA_00957","Dihydroxy-acid dehydratase",56.82,-1.109,0
"72","NLANBGKA_01029","Chaperone protein DnaJ",1207.8,-1.108,0
"109","NLANBGKA_01590","hypothetical protein",196.85,-1.088,0
"85","NLANBGKA_01178","hypothetical protein",20.53,-1.078,0.005
"22","NLANBGKA_00406","hypothetical protein",25.9,-1.053,0.006
"23","NLANBGKA_00439","Sensor protein CitS",53.47,-1.052,0
"89","NLANBGKA_01217","Copper-exporting P-type ATPase B",760.61,-1.048,0
"75","NLANBGKA_01032","Heat-inducible transcription repressor HrcA",2588.76,-1.046,0
"32","NLANBGKA_00561","Branched-chain amino acid transport system 2 carrier protein",380.4,-1.039,0
"66","NLANBGKA_00831","hypothetical protein",138.87,-0.996,0
"134","NLANBGKA_01852","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex",203.07,-0.975,0
"58","NLANBGKA_00818","L-2-hydroxyisocaproate dehydrogenase",122.85,-0.969,0
"84","NLANBGKA_01177","hypothetical protein",171.32,-0.967,0
"74","NLANBGKA_01031","Protein GrpE",1742.19,-0.957,0
"34","NLANBGKA_00628","putative ABC transporter ATP-binding protein",192.2,-0.938,0
"135","NLANBGKA_01853","Dihydrolipoyl dehydrogenase",228.39,-0.924,0
"18","NLANBGKA_00400","Ribosomal RNA small subunit methyltransferase H",31.03,-0.92,0.003
"79","NLANBGKA_01115","hypothetical protein",47.79,-0.92,0.006
"59","NLANBGKA_00820","Prephenate dehydrogenase",151.91,-0.911,0
"115","NLANBGKA_01644","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase",50.53,-0.91,0.001
"61","NLANBGKA_00822","3-dehydroquinate synthase",83.95,-0.905,0
"64","NLANBGKA_00825","Ribosomal RNA large subunit methyltransferase I",149.09,-0.896,0
"90","NLANBGKA_01220","Glucose uptake protein GlcU",151.71,-0.894,0
"83","NLANBGKA_01171","putative glutamine ABC transporter permease protein GlnP",245.74,-0.892,0
"28","NLANBGKA_00480","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",133.26,-0.89,0
"65","NLANBGKA_00830","Glycerate kinase",144.4,-0.889,0
"14","NLANBGKA_00372","hypothetical protein",89.98,-0.887,0
"60","NLANBGKA_00821","Chorismate synthase",178.36,-0.871,0
"119","NLANBGKA_01670","Stress response regulator gls24",3734.01,-0.851,0
"87","NLANBGKA_01181","hypothetical protein",138.53,-0.831,0
