,Description,Length
OG0,hypothetical protein,1998
OG1,Aconitate hydratase A,425
OG2,hypothetical protein,1448
OG3,hypothetical protein,177
OG4,hypothetical protein,416
OG5,hypothetical protein,76
OG6,hypothetical protein,229
OG7,hypothetical protein,103
OG8,N-acetylmuramoyl-L-alanine amidase domain-containing protein,303
OG9,hypothetical protein,119
OG10,hypothetical protein,154
OG11,Release factor glutamine methyltransferase,537
OG12,hypothetical protein,281
OG13,hypothetical protein,72
OG14,Shikimate dehydrogenase (NADP(+)),286
OG15,"PTS system oligo-beta-mannoside-specific EIIC component AND PTS system N,N'-diacetylchitobiose-specific EIIC component",494
OG16,hypothetical protein,416
OG17,hypothetical protein,64
OG18,hypothetical protein,300
OG19,pH-gated potassium channel KcsA,257
OG20,hypothetical protein,96
OG21,Galactoside O-acetyltransferase,207
OG22,hypothetical protein,104
OG23,ComF operon protein 1 AND Transcription-repair-coupling factor,658
OG24,hypothetical protein,121
OG25,putative multiple-sugar transport system permease YteP,296
OG26,hypothetical protein,184
OG27,hypothetical protein,963
OG28,hypothetical protein,178
OG29,hypothetical protein,399
OG30,hypothetical protein,147
OG31,hypothetical protein,312
OG32,hypothetical protein,604
OG33,hypothetical protein,322
OG34,hypothetical protein,172
OG35,hypothetical protein,278
OG36,3-dehydroquinate synthase,356
OG37,hypothetical protein,145
OG38,hypothetical protein,1677
OG39,hypothetical protein,334
OG40,hypothetical protein,234
OG41,Tyrosine recombinase XerD,379
OG42,Xylose isomerase,152
OG43,Oligopeptide transport ATP-binding protein OppD AND Vitamin B12 import ATP-binding protein BtuD,223
OG44,Indole-3-pyruvate decarboxylase AND Alpha-keto-acid decarboxylase,548
OG45,hypothetical protein,65
OG46,hypothetical protein,187
OG47,IS6 family transposase ISS1M AND IS6 family transposase ISS1E,159
OG48,hypothetical protein,427
OG49,hypothetical protein,112
OG50,hypothetical protein,144
OG51,hypothetical protein,265
OG52,hypothetical protein,93
OG53,hypothetical protein,238
OG54,hypothetical protein,264
OG55,hypothetical protein,235
OG56,PTS system oligo-beta-mannoside-specific EIIC component AND Lichenan permease IIC component,559
OG57,putative transport protein HsrA,260
OG58,hypothetical protein,896
OG59,hypothetical protein,194
OG60,hypothetical protein,394
OG61,hypothetical protein,65
OG62,hypothetical protein,236
OG63,hypothetical protein,999
OG64,hypothetical protein,515
OG65,hypothetical protein,658
OG66,hypothetical protein,99
OG67,hypothetical protein,171
OG68,hypothetical protein,141
OG69,hypothetical protein,207
OG70,hypothetical protein,65
OG71,hypothetical protein,217
OG72,hypothetical protein,239
OG73,N(5)-(carboxyethyl)ornithine synthase,310
OG74,hypothetical protein,62
OG75,hypothetical protein,827
OG76,hypothetical protein,386
OG77,hypothetical protein,456
OG78,hypothetical protein,84
OG79,hypothetical protein,255
OG80,hypothetical protein,256
OG81,hypothetical protein,225
OG82,hypothetical protein,217
OG83,hypothetical protein,108
OG84,hypothetical protein,133
OG85,hypothetical protein,264
OG86,HTH-type transcriptional activator RhaR,386
OG87,hypothetical protein,36
OG88,hypothetical protein,144
OG89,hypothetical protein,192
OG90,Tyrosine recombinase XerC AND Prophage integrase IntS,360
OG91,hypothetical protein,163
OG92,Ascorbate-specific PTS system EIIC component,466
OG93,hypothetical protein,356
OG94,hypothetical protein,68
OG95,hypothetical protein,115
OG96,hypothetical protein,75
OG97,hypothetical protein,115
OG98,hypothetical protein,111
OG99,hypothetical protein,116
OG100,putative ABC transporter ATP-binding protein AND Putative multidrug export ATP-binding/permease protein,531
OG101,hypothetical protein,222
OG102,Glycerol-3-phosphate cytidylyltransferase,155
OG103,PTS system EIIBC component,655
OG104,FMN-binding protein,138
OG105,hypothetical protein,64
OG106,Nitronate monooxygenase,281
OG107,hypothetical protein,83
OG108,hypothetical protein,76
OG109,hypothetical protein,317
OG110,hypothetical protein,212
OG111,hypothetical protein,79
OG112,putative inner membrane transporter YicL,310
OG113,putative oxidoreductase AND Serine 3-dehydrogenase AND 3-oxoacyl-[acyl-carrier-protein] reductase FabG,243
OG114,hypothetical protein,139
OG115,hypothetical protein,508
OG116,putative acetyl-CoA acyltransferase,382
OG117,hypothetical protein,81
OG118,hypothetical protein,1823
OG119,hypothetical protein,936
OG120,hypothetical protein,192
OG121,hypothetical protein,461
OG122,hypothetical protein,416
OG123,hypothetical protein,269
OG124,N-acetylmuramoyl-L-alanine amidase domain-containing protein,575
OG125,hypothetical protein,131
OG126,hypothetical protein,66
OG127,hypothetical protein,96
OG128,hypothetical protein,58
OG129,hypothetical protein,59
OG130,Tyrosine recombinase XerC,377
OG131,Multidrug resistance protein MdtH,408
OG132,hypothetical protein,185
OG133,hypothetical protein,255
OG134,hypothetical protein,207
OG135,hypothetical protein,103
OG136,hypothetical protein,221
OG137,hypothetical protein,152
OG138,hypothetical protein,99
OG139,hypothetical protein,69
OG140,hypothetical protein,110
OG141,hypothetical protein,188
OG142,hypothetical protein,118
OG143,hypothetical protein,294
OG144,hypothetical protein,158
OG145,hypothetical protein,316
OG146,hypothetical protein,91
OG147,hypothetical protein,1582
OG148,hypothetical protein,60
OG149,hypothetical protein,154
OG150,hypothetical protein,88
OG151,hypothetical protein,63
OG152,hypothetical protein,109
OG153,hypothetical protein,94
OG154,IS3 family transposase ISLla3,87
OG155,hypothetical protein,224
OG156,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase AND putative glycosyltransferase EpsJ,337
OG157,Xylulose kinase,501
OG158,hypothetical protein,175
OG159,hypothetical protein,192
OG160,hypothetical protein,540
OG161,ComE operon protein 3,736
OG162,Neutral endopeptidase,115
OG163,hypothetical protein,73
OG164,hypothetical protein,78
OG165,hypothetical protein,37
OG166,hypothetical protein,255
OG167,IS3 family transposase IS1076,125
OG168,hypothetical protein,69
OG169,Riboflavin biosynthesis protein RibD,362
OG170,hypothetical protein,64
OG171,Glycosyltransferase Gtf1,1067
OG172,ATP phosphoribosyltransferase,208
OG173,hypothetical protein,349
OG174,hypothetical protein,182
OG175,2-dehydro-3-deoxygluconokinase,316
OG176,hypothetical protein,544
OG177,hypothetical protein,93
OG178,Xylose isomerase,448
OG179,"Fructose-1,6-bisphosphatase class 3",640
OG180,hypothetical protein,232
OG181,Manganese transport system membrane protein MntB,281
OG182,hypothetical protein,226
OG183,ComE operon protein 1,218
OG184,hypothetical protein,64
OG185,hypothetical protein,121
OG186,putative cation-transporting ATPase E,841
OG187,Ubiquinone biosynthesis O-methyltransferase,248
OG188,hypothetical protein,158
OG189,TRAP-T-associated universal stress protein TeaD,142
OG190,hypothetical protein,117
OG191,hypothetical protein,252
OG192,High-affinity zinc uptake system ATP-binding protein ZnuC AND Fe(3+) dicitrate transport ATP-binding protein FecE,237
OG193,ComE operon protein 3,394
OG194,hypothetical protein,387
OG195,hypothetical protein,431
OG196,hypothetical protein,170
OG197,hypothetical protein,111
OG198,hypothetical protein,55
OG199,Manganese ABC transporter substrate-binding lipoprotein,315
OG200,Bifunctional ligase/repressor BirA,323
OG201,hypothetical protein,54
OG202,hypothetical protein,70
OG203,Isochorismatase family protein YecD,179
OG204,Multidrug resistance protein MdtG,398
OG205,hypothetical protein,235
OG206,Biotin transporter BioY,189
OG207,Regulatory protein Spx,139
OG208,hypothetical protein,161
OG209,putative protein YedJ,244
OG210,hypothetical protein,75
OG211,Cephalosporin-C deacetylase,312
OG212,hypothetical protein,264
OG213,hypothetical protein,195
OG214,hypothetical protein,212
OG215,hypothetical protein,1209
OG216,hypothetical protein,277
OG217,hypothetical protein,804
OG218,"Oligoendopeptidase F, plasmid",231
OG219,hypothetical protein,62
OG220,hypothetical protein,84
OG221,hypothetical protein,108
OG222,Inner membrane protein YgaZ,235
OG223,hypothetical protein,137
OG224,hypothetical protein,119
OG225,Amylopullulanase,600
OG226,Putative phosphatase,271
OG227,Signal transduction histidine-protein kinase ArlS,394
OG228,hypothetical protein,440
OG229,hypothetical protein,79
OG230,hypothetical protein,464
OG231,Maltose O-acetyltransferase AND Galactoside O-acetyltransferase,203
OG232,hypothetical protein,53
